Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.543969,[153  14] ; [29 16],[143.36792453  23.63207547] ; [38.63207547  6.36792453],1
p10,1,1.1e-05,19.318622,[145  21] ; [27 19],[134.67924528  31.32075472] ; [37.32075472  8.67924528],1
r4,1,0.000112,14.923081,[154  14] ; [33 14],[146.12093023  21.87906977] ; [40.87906977  6.12093023],1
v4,1,0.000167,14.172265,[162   6] ; [37  9],[156.22429907  11.77570093] ; [42.77570093  3.22429907],1
r3,1,0.00046,12.269275,[160   7] ; [37  9],[154.45539906  12.54460094] ; [42.54460094  3.45539906],1
n6,1,0.000474,12.215508,[146  22] ; [29 16],[138.02816901  29.97183099] ; [36.97183099  8.02816901],1
p4,1,0.000612,11.738568,[115  52] ; [19 27],[105.06103286  61.93896714] ; [28.93896714 17.06103286],1
p8,1,0.001165,10.545619,[100  62] ; [16 30],[90.34615385 71.65384615] ; [25.65384615 20.34615385],0
v2,1,0.006924,7.292667,[122  45] ; [24 22],[114.46948357  52.53051643] ; [31.53051643 14.46948357],0
s1,1,0.007707,7.100303,[  1 167] ; [ 3 42],[  3.15492958 164.84507042] ; [ 0.84507042 44.15492958],0
n5,1,0.0108,6.497931,[135  33] ; [28 17],[128.56338028  39.43661972] ; [34.43661972 10.56338028],0
a6,1,0.018712,5.528222,[123  45] ; [26 21],[116.42790698  51.57209302] ; [32.57209302 14.42790698],0
p7,1,0.021141,5.315164,[114  52] ; [22 22],[107.5047619  58.4952381] ; [28.4952381 15.5047619],0
s2,1,0.021301,5.302005,[ 23 143] ; [13 33],[ 28.18867925 137.81132075] ; [ 7.81132075 38.18867925],0
b1,1,0.032115,4.592372,[ 57 111] ; [24 23],[ 63.29302326 104.70697674] ; [17.70697674 29.29302326],0
a1,1,0.049693,3.851782,[  4 164] ; [ 4 43],[  6.25116279 161.74883721] ; [ 1.74883721 45.25116279],0
d1,1,0.05897,3.56612,[101  67] ; [21 26],[95.33023256 72.66976744] ; [26.66976744 20.33023256],0
n4,1,0.076851,3.130274,[134  34] ; [31 15],[129.53271028  38.46728972] ; [35.46728972 10.53271028],0
a8,1,0.094142,2.802076,[ 21 122] ; [ 2 39],[ 17.875 125.125] ; [ 5.125 35.875],0
p6,1,0.108596,2.57453,[69 95] ; [13 32],[64.34449761 99.65550239] ; [17.65550239 27.34449761],0
r1,1,0.127147,2.326994,[140  28] ; [33 12],[136.45070423  31.54929577] ; [36.54929577  8.45070423],0
a4,1,0.181494,1.785345,[74 93] ; [26 21],[78.03738318 88.96261682] ; [21.96261682 25.03738318],0
a5,1,0.230514,1.43769,[132  36] ; [33 14],[128.93023256  39.06976744] ; [36.06976744 10.93023256],0
p5,1,0.271731,1.207986,[ 21 147] ; [ 3 42],[ 18.92957746 149.07042254] ; [ 5.07042254 39.92957746],0
d2,1,0.287921,1.129317,[79 89] ; [18 29],[75.79534884 92.20465116] ; [21.20465116 25.79534884],0
p2,1,0.307615,1.040888,[147  20] ; [37  8],[144.94339623  22.05660377] ; [39.05660377  5.94339623],0
p1,1,0.346377,0.886686,[ 14 154] ; [ 2 45],[ 12.50232558 155.49767442] ; [ 3.49767442 43.50232558],0
p12,1,0.357879,0.845322,[  9 157] ; [ 1 45],[  7.83018868 158.16981132] ; [ 2.16981132 43.83018868],0
u3,1,0.445422,0.582274,[31 20] ; [8 8],[29.68656716 21.31343284] ; [9.31343284 6.68656716],0
s7,1,0.450523,0.569337,[ 48 110] ; [16 28],[ 50.05940594 107.94059406] ; [13.94059406 30.05940594],0
u1,1,0.459542,0.547011,[ 33 135] ; [ 7 40],[ 31.25581395 136.74418605] ; [ 8.74418605 38.25581395],0
b4,1,0.481625,0.495182,[99 69] ; [25 22],[96.89302326 71.10697674] ; [27.10697674 19.89302326],0
s6,1,0.485896,0.485602,[82 83] ; [25 20],[84.07142857 80.92857143] ; [22.92857143 22.07142857],0
d3,1,0.549955,0.357397,[115  53] ; [30 17],[113.30232558  54.69767442] ; [31.69767442 15.30232558],0
u2,1,0.574265,0.315598,[28 23] ; [7 8],[27.04545455 23.95454545] ; [7.95454545 7.04545455],0
n2,1,0.588571,0.292581,[21  7] ; [8 4],[20.3  7.7] ; [8.7 3.3],0
d5,1,0.69024,0.158826,[140  28] ; [38  9],[139.08837209  28.91162791] ; [38.91162791  8.08837209],0
a7,1,0.715535,0.132812,[125  43] ; [33 13],[124.03738318  43.96261682] ; [33.96261682 12.03738318],0
s5,1,0.7377,0.112158,[ 36 127] ; [11 34],[ 36.83173077 126.16826923] ; [10.16826923 34.83173077],0
a3,1,0.769547,0.08583,[117  51] ; [31 15],[116.18691589  51.81308411] ; [31.81308411 14.18691589],0
p3,1,0.777957,0.079514,[93 74] ; [24 21],[92.16509434 74.83490566] ; [24.83490566 20.16509434],0
b3,1,0.822137,0.050534,[48 64] ; [10 12],[48.47761194 63.52238806] ; [ 9.52238806 12.47761194],0
b2,1,0.822137,0.050534,[48 64] ; [10 12],[48.47761194 63.52238806] ; [ 9.52238806 12.47761194],0
b5,1,0.854972,0.033408,[112  56] ; [32 15],[112.52093023  55.47906977] ; [31.47906977 15.52093023],0
n1,1,0.884966,0.020931,[10 18] ; [4 8],[ 9.8 18.2] ; [4.2 7.8],0
a2,1,0.909684,0.012868,[ 38 130] ; [11 36],[ 38.28837209 129.71162791] ; [10.71162791 36.28837209],0
d4,1,0.913619,0.011767,[137  31] ; [38  9],[136.74418605  31.25581395] ; [38.25581395  8.74418605],0
s4,1,0.921469,0.009719,[ 17 147] ; [ 5 41],[ 17.18095238 146.81904762] ; [ 4.81904762 41.18095238],0
n3,1,0.951264,0.003736,[20  7] ; [9 3],[20.07692308  6.92307692] ; [8.92307692 3.07692308],0
s8,1,0.95278,0.003507,[ 49 118] ; [13 32],[ 48.83962264 118.16037736] ; [13.16037736 31.83962264],0
r2,1,0.955028,0.00318,[152  14] ; [42  4],[151.90566038  14.09433962] ; [42.09433962  3.90566038],0
v3,1,0.993536,6.6e-05,[73 91] ; [20 25],[72.97607656 91.02392344] ; [20.02392344 24.97607656],0
