Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.413781,[ 9 35] ; [58 36],[21.36231884 22.63768116] ; [45.63768116 48.36231884],1
r3,1,4.2e-05,16.764073,[23 21] ; [79 14],[32.75912409 11.24087591] ; [69.24087591 23.75912409],1
v4,1,0.001554,10.013869,[26 17] ; [79 14],[33.19852941  9.80147059] ; [71.80147059 21.19852941],0
b1,1,0.001643,9.910984,[27 17] ; [31 63],[18.49275362 25.50724638] ; [39.50724638 54.49275362],0
n4,1,0.007865,7.063997,[19 25] ; [63 31],[26.14492754 17.85507246] ; [55.85507246 38.14492754],0
p11,1,0.010764,6.503918,[21 23] ; [66 28],[27.73913043 16.26086957] ; [59.26086957 34.73913043],0
p10,1,0.014544,5.970842,[20 23] ; [63 29],[26.43703704 16.56296296] ; [56.56296296 35.43703704],0
p9,1,0.015845,5.819961,[24 19] ; [68 21],[29.96969697 13.03030303] ; [62.03030303 26.96969697],0
a1,1,0.018494,5.548764,[ 7 37] ; [ 4 90],[ 3.50724638 40.49275362] ; [ 7.49275362 86.50724638],0
d4,1,0.029867,4.716931,[22 22] ; [65 29],[27.73913043 16.26086957] ; [59.26086957 34.73913043],0
b4,1,0.030668,4.67144,[20 24] ; [61 33],[25.82608696 18.17391304] ; [55.17391304 38.82608696],0
r2,1,0.056198,3.646187,[26 15] ; [72 19],[30.43939394 10.56060606] ; [67.56060606 23.43939394],0
s6,1,0.065646,3.388678,[13 31] ; [42 49],[17.92592593 26.07407407] ; [37.07407407 53.92592593],0
p2,1,0.108642,2.573861,[22 21] ; [61 32],[26.24264706 16.75735294] ; [56.75735294 36.24264706],0
s5,1,0.117699,2.447676,[ 5 38] ; [21 70],[ 8.34328358 34.65671642] ; [17.65671642 73.34328358],0
d1,1,0.124494,2.359852,[11 33] ; [36 58],[14.98550725 29.01449275] ; [32.01449275 61.98550725],0
v3,1,0.13865,2.192878,[ 7 37] ; [25 66],[10.42962963 33.57037037] ; [21.57037037 69.42962963],0
b5,1,0.156852,2.004317,[23 21] ; [61 33],[26.7826087 17.2173913] ; [57.2173913 36.7826087],0
n1,1,0.21554,1.53382,[8 9] ; [11 26],[ 5.98148148 11.01851852] ; [13.01851852 23.98148148],0
p8,1,0.249309,1.327173,[10 32] ; [31 61],[12.85074627 29.14925373] ; [28.14925373 63.85074627],0
n2,1,0.252658,1.308544,[11  8] ; [27 10],[12.89285714  6.10714286] ; [25.10714286 11.89285714],0
d5,1,0.263201,1.251844,[24 20] ; [60 33],[26.97810219 17.02189781] ; [57.02189781 35.97810219],0
s2,1,0.301466,1.067698,[12 32] ; [34 60],[14.66666667 29.33333333] ; [31.33333333 62.66666667],0
n5,1,0.364271,0.823114,[26 18] ; [63 31],[28.37681159 15.62318841] ; [60.62318841 33.37681159],0
u3,1,0.385171,0.754134,[ 9 12] ; [13 28],[ 7.4516129 13.5483871] ; [14.5483871 26.4516129],0
s1,1,0.415557,0.662847,[ 2 41] ; [ 2 92],[ 1.25547445 41.74452555] ; [ 2.74452555 91.25547445],0
a8,1,0.430347,0.621886,[ 3 40] ; [10 78],[ 4.26717557 38.73282443] ; [ 8.73282443 79.26717557],0
a5,1,0.444083,0.585709,[18 26] ; [45 49],[20.08695652 23.91304348] ; [42.91304348 51.08695652],0
s3,1,0.489049,0.478618,[14 29] ; [36 57],[15.80882353 27.19117647] ; [34.19117647 58.80882353],0
a6,1,0.527966,0.398305,[25 19] ; [48 46],[23.27536232 20.72463768] ; [49.72463768 44.27536232],0
p1,1,0.532133,0.390317,[ 3 41] ; [ 4 89],[ 2.24817518 41.75182482] ; [ 4.75182482 88.24817518],0
p12,1,0.554419,0.34946,[ 1 43] ; [ 4 89],[ 1.60583942 42.39416058] ; [ 3.39416058 89.60583942],0
d3,1,0.580098,0.306077,[20 23] ; [48 45],[21.5 21.5] ; [46.5 46.5],0
a2,1,0.592862,0.285897,[ 5 39] ; [ 8 86],[ 4.14492754 39.85507246] ; [ 8.85507246 85.14492754],0
a3,1,0.604002,0.269002,[23 21] ; [53 40],[24.40875912 19.59124088] ; [51.59124088 41.40875912],0
p4,1,0.642559,0.215411,[14 30] ; [26 67],[12.84671533 31.15328467] ; [27.15328467 65.84671533],0
n3,1,0.643501,0.214193,[13  6] ; [23 14],[12.21428571  6.78571429] ; [23.78571429 13.21428571],0
b3,1,0.65378,0.201167,[ 9 18] ; [20 32],[ 9.91139241 17.08860759] ; [19.08860759 32.91139241],0
b2,1,0.65378,0.201167,[ 9 18] ; [20 32],[ 9.91139241 17.08860759] ; [19.08860759 32.91139241],0
u1,1,0.666851,0.185307,[ 2 42] ; [ 6 88],[ 2.55072464 41.44927536] ; [ 5.44927536 88.55072464],0
p7,1,0.710637,0.137641,[16 26] ; [32 60],[15.04477612 26.95522388] ; [32.95522388 59.04477612],0
u2,1,0.780776,0.077455,[10 11] ; [18 23],[ 9.48387097 11.51612903] ; [18.51612903 22.48387097],0
v1,1,0.818971,0.052381,[12 30] ; [24 66],[11.45454545 30.54545455] ; [24.54545455 65.45454545],0
s7,1,0.82916,0.046561,[11 31] ; [22 68],[10.5 31.5] ; [22.5 67.5],0
v2,1,0.829726,0.046248,[14 29] ; [31 59],[14.54887218 28.45112782] ; [30.45112782 59.54887218],0
s8,1,0.857014,0.032464,[ 9 35] ; [18 76],[ 8.60869565 35.39130435] ; [18.39130435 75.60869565],0
p5,1,0.858746,0.031673,[ 2 41] ; [ 5 88],[ 2.21323529 40.78676471] ; [ 4.78676471 88.21323529],0
a7,1,0.870287,0.026665,[23 21] ; [50 43],[23.44525547 20.55474453] ; [49.55474453 43.44525547],0
p6,1,0.890639,0.018905,[ 9 34] ; [20 71],[ 9.30597015 33.69402985] ; [19.69402985 71.30597015],0
d2,1,0.897788,0.016501,[17 27] ; [37 56],[17.34306569 26.65693431] ; [36.65693431 56.34306569],0
a4,1,0.946518,0.0045,[13 31] ; [28 65],[13.16788321 30.83211679] ; [27.83211679 65.16788321],0
s4,1,0.973744,0.001083,[ 9 35] ; [19 75],[ 8.92753623 35.07246377] ; [19.07246377 74.92753623],0
