Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00016,14.249736,[18  7] ; [16 42],[10.24096386 14.75903614] ; [23.75903614 34.24096386],1
p6,1,0.006065,7.530962,[11 13] ; [10 49],[ 6.07228916 17.92771084] ; [14.92771084 44.07228916],0
p8,1,0.018233,5.573634,[14 11] ; [17 42],[ 9.22619048 15.77380952] ; [21.77380952 37.22619048],0
d4,1,0.025637,4.980364,[22  3] ; [37 21],[17.77108434  7.22891566] ; [41.22891566 16.77108434],0
p2,1,0.054162,3.707707,[22  3] ; [40 19],[18.45238095  6.54761905] ; [43.54761905 15.45238095],0
p7,1,0.060734,3.517233,[14 10] ; [20 36],[10.2 13.8] ; [23.8 32.2],0
s2,1,0.063427,3.445424,[12 13] ; [16 43],[ 8.33333333 16.66666667] ; [19.66666667 39.33333333],0
s7,1,0.063893,3.433336,[13 11] ; [18 38],[ 9.3 14.7] ; [21.7 34.3],0
v1,1,0.069176,3.302459,[12 13] ; [15 40],[ 8.4375 16.5625] ; [18.5625 36.4375],0
r3,1,0.073687,3.198923,[19  6] ; [32 26],[15.36144578  9.63855422] ; [35.63855422 22.36144578],0
b4,1,0.076821,3.1309,[10 15] ; [36 23],[13.69047619 11.30952381] ; [32.30952381 26.69047619],0
n6,1,0.091519,2.847458,[20  5] ; [36 23],[16.66666667  8.33333333] ; [39.33333333 19.66666667],0
s5,1,0.099777,2.709097,[ 6 16] ; [ 7 51],[ 3.575 18.425] ; [ 9.425 48.575],0
a5,1,0.104484,2.635724,[15 10] ; [24 35],[11.60714286 13.39285714] ; [27.39285714 31.60714286],0
s6,1,0.113089,2.510508,[14 11] ; [22 37],[10.71428571 14.28571429] ; [25.28571429 33.71428571],0
p11,1,0.147668,2.096181,[17  8] ; [30 29],[13.98809524 11.01190476] ; [33.01190476 25.98809524],0
p9,1,0.153964,2.03253,[19  6] ; [34 23],[16.15853659  8.84146341] ; [36.84146341 20.15853659],0
p1,1,0.154529,2.026968,[ 2 23] ; [ 1 58],[ 0.89285714 24.10714286] ; [ 2.10714286 56.89285714],0
d5,1,0.157533,1.997752,[20  5] ; [38 21],[17.26190476  7.73809524] ; [40.73809524 18.26190476],0
b1,1,0.212205,1.556318,[16  9] ; [29 30],[13.39285714 11.60714286] ; [31.60714286 27.39285714],0
n5,1,0.224025,1.478398,[12 12] ; [38 21],[14.45783133  9.54216867] ; [35.54216867 23.45783133],0
a7,1,0.240195,1.37945,[16  9] ; [29 29],[13.55421687 11.44578313] ; [31.44578313 26.55421687],0
u2,1,0.294859,1.097304,[5 7] ; [15 10],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
n2,1,0.306593,1.045294,[10  2] ; [21 10],[8.65116279 3.34883721] ; [22.34883721  8.65116279],0
d2,1,0.310577,1.028221,[ 7 18] ; [23 35],[ 9.03614458 15.96385542] ; [20.96385542 37.03614458],0
n4,1,0.333484,0.935322,[16  9] ; [31 28],[13.98809524 11.01190476] ; [33.01190476 25.98809524],0
s8,1,0.334819,0.930169,[ 8 17] ; [13 46],[ 6.25 18.75] ; [14.75 44.25],0
s4,1,0.339343,0.912912,[ 7 18] ; [11 48],[ 5.35714286 19.64285714] ; [12.64285714 46.35714286],0
b2,1,0.345753,0.888982,[ 3 11] ; [11 20],[4.35555556 9.64444444] ; [ 9.64444444 21.35555556],0
b3,1,0.345753,0.888982,[ 3 11] ; [11 20],[4.35555556 9.64444444] ; [ 9.64444444 21.35555556],0
