Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,116.904349,[261  74] ; [ 3 54],[225.6122449 109.3877551] ; [38.3877551 18.6122449],1
d3,1,0.0,72.536399,[263  72] ; [13 44],[235.86734694  99.13265306] ; [40.13265306 16.86734694],1
d5,1,0.0,56.132715,[304  31] ; [30 27],[285.43367347  49.56632653] ; [48.56632653  8.43367347],1
d2,1,0.000123,14.742558,[203 132] ; [19 38],[189.71938776 145.28061224] ; [32.28061224 24.71938776],1
a3,1,0.000175,14.082176,[273  61] ; [34 23],[262.2455243  71.7544757] ; [44.7544757 12.2455243],1
a5,1,0.000386,12.600421,[275  60] ; [35 22],[264.92346939  70.07653061] ; [45.07653061 11.92346939],1
u1,1,0.00059,11.808379,[ 87 248] ; [ 3 54],[ 76.91326531 258.08673469] ; [13.08673469 43.91326531],1
a4,1,0.001527,10.04528,[170 165] ; [16 41],[158.95408163 176.04591837] ; [27.04591837 29.95408163],0
a2,1,0.002713,8.991373,[ 99 236] ; [ 6 51],[ 89.73214286 245.26785714] ; [15.26785714 41.73214286],0
p6,1,0.018037,5.592553,[160 170] ; [18 39],[151.78294574 178.21705426] ; [26.21705426 30.78294574],0
v2,1,0.018293,5.567858,[203 118] ; [25 29],[195.168 125.832] ; [32.832 21.168],0
p9,1,0.025255,5.006337,[305  27] ; [47 10],[300.42159383  31.57840617] ; [51.57840617  5.42159383],0
n4,1,0.035109,4.439853,[278  56] ; [40 16],[272.33846154  61.66153846] ; [45.66153846 10.33846154],0
v3,1,0.036431,4.376838,[156 162] ; [19 37],[148.79679144 169.20320856] ; [26.20320856 29.79679144],0
p8,1,0.049014,3.874887,[196 133] ; [26 31],[189.21761658 139.78238342] ; [32.78238342 24.21761658],0
v1,1,0.051681,3.786058,[207 117] ; [27 27],[200.57142857 123.42857143] ; [33.42857143 20.57142857],0
p3,1,0.073906,3.194054,[201 134] ; [27 30],[194.84693878 140.15306122] ; [33.15306122 23.84693878],0
s2,1,0.078668,3.092207,[246  87] ; [35 21],[240.54755784  92.45244216] ; [40.45244216 15.54755784],0
u2,1,0.083595,2.993585,[44 17] ; [12 11],[40.66666667 20.33333333] ; [15.33333333  7.66666667],0
