Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,79.537956,[104   9] ; [33 66],[73.02358491 39.97641509] ; [63.97641509 35.02358491],1
d4,1,0.0,75.050565,[112   1] ; [47 52],[84.75 28.25] ; [74.25 24.75],1
d2,1,0.0,68.484726,[79 34] ; [13 85],[49.27014218 63.72985782] ; [42.72985782 55.27014218],1
d5,1,0.0,52.830325,[112   1] ; [59 40],[91.14622642 21.85377358] ; [79.85377358 19.14622642],1
u1,1,0.0,29.941785,[32 81] ; [ 1 98],[17.58962264 95.41037736] ; [15.41037736 83.58962264],1
a4,1,0.0,26.181288,[65 47] ; [23 76],[46.71090047 65.28909953] ; [41.28909953 57.71090047],1
a2,1,1e-06,24.383105,[38 75] ; [ 6 93],[23.45283019 89.54716981] ; [20.54716981 78.45283019],1
a3,1,1.7e-05,18.496248,[90 22] ; [52 47],[75.37440758 36.62559242] ; [66.62559242 32.37440758],1
a5,1,3.3e-05,17.263718,[96 17] ; [59 40],[82.61792453 30.38207547] ; [72.38207547 26.61792453],1
r1,1,0.016737,5.723754,[96 17] ; [70 28],[88.90047393 24.09952607] ; [77.09952607 20.90047393],0
v1,1,0.049691,3.851852,[70 42] ; [47 49],[63. 49.] ; [54. 42.],0
p10,1,0.051916,3.778489,[98 14] ; [75 22],[92.70813397 19.29186603] ; [80.29186603 16.70813397],0
s5,1,0.052632,3.755564,[33 79] ; [17 78],[27.0531401 84.9468599] ; [22.9468599 72.0531401],0
a6,1,0.067577,3.340919,[87 26] ; [65 34],[81.01886792 31.98113208] ; [70.98113208 28.01886792],0
p8,1,0.069658,3.291068,[80 31] ; [59 39],[73.82296651 37.17703349] ; [65.17703349 32.82296651],0
s8,1,0.095793,2.774233,[38 74] ; [23 75],[32.53333333 79.46666667] ; [28.46666667 69.53333333],0
v2,1,0.121656,2.395866,[72 40] ; [51 44],[66.55072464 45.44927536] ; [56.44927536 38.55072464],0
n4,1,0.130666,2.284569,[94 19] ; [74 25],[89.54716981 23.45283019] ; [78.45283019 20.54716981],0
v3,1,0.143612,2.138828,[50 60] ; [34 62],[44.85436893 65.14563107] ; [39.14563107 56.85436893],0
p2,1,0.178223,1.812383,[99 13] ; [81 18],[95.5450237 16.4549763] ; [84.4549763 14.5450237],0
s7,1,0.224637,1.4745,[41 65] ; [28 64],[36.93939394 69.06060606] ; [32.06060606 59.93939394],0
b2,1,0.234721,1.412025,[32 45] ; [19 41],[28.66423358 48.33576642] ; [22.33576642 37.66423358],0
b3,1,0.234721,1.412025,[32 45] ; [19 41],[28.66423358 48.33576642] ; [22.33576642 37.66423358],0
p9,1,0.23568,1.40625,[99 13] ; [81 17],[96. 16.] ; [84. 14.],0
p6,1,0.250914,1.318209,[48 63] ; [34 62],[43.97101449 67.02898551] ; [38.02898551 57.97101449],0
r2,1,0.258759,1.275383,[107   5] ; [89  8],[105.03349282   6.96650718] ; [90.96650718  6.03349282],0
a8,1,0.277045,1.181527,[14 78] ; [ 9 82],[11.56284153 80.43715847] ; [11.43715847 79.56284153],0
a7,1,0.289532,1.121795,[85 28] ; [68 31],[81.55188679 31.44811321] ; [71.44811321 27.55188679],0
n2,1,0.301071,1.069444,[10  2] ; [14  7],[8.72727273 3.27272727] ; [15.27272727  5.72727273],0
r4,1,0.305243,1.051149,[105   8] ; [88 11],[102.87264151  10.12735849] ; [90.12735849  8.87264151],0
p7,1,0.308808,1.035766,[90 22] ; [73 25],[86.93333333 25.06666667] ; [76.06666667 21.93333333],0
a1,1,0.361115,0.834011,[  3 110] ; [ 5 94],[  4.26415094 108.73584906] ; [ 3.73584906 95.26415094],0
p4,1,0.379238,0.773171,[87 26] ; [71 28],[84.21698113 28.78301887] ; [73.78301887 25.21698113],0
p12,1,0.423853,0.639607,[  5 106] ; [ 7 92],[  6.34285714 104.65714286] ; [ 5.65714286 93.34285714],0
n5,1,0.440159,0.595868,[86 27] ; [70 28],[83.5450237 29.4549763] ; [72.4549763 25.5450237],0
n3,1,0.442695,0.589286,[9 3] ; [18  3],[9.81818182 2.18181818] ; [17.18181818  3.81818182],0
b5,1,0.455157,0.557779,[64 49] ; [51 48],[61.29716981 51.70283019] ; [53.70283019 45.29716981],0
s3,1,0.477919,0.503607,[25 87] ; [26 72],[27.2 84.8] ; [23.8 74.2],0
s1,1,0.546284,0.364016,[  2 111] ; [ 3 96],[  2.66509434 110.33490566] ; [ 2.33490566 96.66509434],0
n1,1,0.554563,0.349206,[4 8] ; [ 5 16],[3.27272727 8.72727273] ; [ 5.72727273 15.27272727],0
p11,1,0.55463,0.349087,[90 23] ; [82 17],[91.67924528 21.32075472] ; [80.32075472 18.67924528],0
b4,1,0.582907,0.301559,[67 46] ; [55 44],[65.02830189 47.97169811] ; [56.97169811 42.02830189],0
p1,1,0.592685,0.28617,[ 11 101] ; [12 87],[12.20853081 99.79146919] ; [10.79146919 88.20853081],0
s4,1,0.604221,0.268677,[12 99] ; [13 86],[13.21428571 97.78571429] ; [11.78571429 87.21428571],0
