Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000136,14.558427,[40 29] ; [ 4 23],[31.625 37.375] ; [12.375 14.625],1
v4,1,0.003264,8.653598,[58 11] ; [15 12],[52.46875 16.53125] ; [20.53125  6.46875],0
d5,1,0.007015,7.269092,[44 25] ; [ 9 18],[38.09375 30.90625] ; [14.90625 12.09375],0
a4,1,0.007205,7.221156,[30 38] ; [ 4 23],[24.33684211 43.66315789] ; [ 9.66315789 17.33684211],0
s7,1,0.028272,4.811387,[27 40] ; [ 4 21],[22.57608696 44.42391304] ; [ 8.42391304 16.57608696],0
p6,1,0.031267,4.638242,[22 43] ; [ 3 23],[17.85714286 47.14285714] ; [ 7.14285714 18.85714286],0
u3,1,0.035116,4.439547,[12 17] ; [ 2 15],[ 8.82608696 20.17391304] ; [ 5.17391304 11.82608696],0
d1,1,0.054083,3.710145,[27 42] ; [ 5 22],[23. 46.] ; [ 9. 18.],0
a3,1,0.055085,3.679496,[40 28] ; [10 17],[35.78947368 32.21052632] ; [14.21052632 12.78947368],0
p9,1,0.076584,3.13594,[51 17] ; [14 11],[47.52688172 20.47311828] ; [17.47311828  7.52688172],0
p10,1,0.116647,2.461768,[41 27] ; [11 15],[37.61702128 30.38297872] ; [14.38297872 11.61702128],0
s3,1,0.13744,2.20639,[32 35] ; [ 8 18],[28.8172043 38.1827957] ; [11.1827957 14.8172043],0
a5,1,0.14384,2.136394,[37 32] ; [10 17],[33.78125 35.21875] ; [13.21875 13.78125],0
d2,1,0.160084,1.97343,[33 34] ; [ 9 18],[29.93617021 37.06382979] ; [12.06382979 14.93617021],0
r3,1,0.169809,1.884631,[53 16] ; [17 10],[50.3125 18.6875] ; [19.6875  7.3125],0
s8,1,0.237498,1.395381,[21 48] ; [ 5 22],[18.6875 50.3125] ; [ 7.3125 19.6875],0
d4,1,0.257242,1.283537,[42 27] ; [13 14],[39.53125 29.46875] ; [15.46875 11.53125],0
u2,1,0.277115,1.181186,[ 9 20] ; [8 9],[10.7173913 18.2826087] ; [ 6.2826087 10.7173913],0
s5,1,0.299376,1.076974,[16 49] ; [ 4 23],[14.13043478 50.86956522] ; [ 5.86956522 21.13043478],0
a1,1,0.304583,1.054018,[ 7 62] ; [ 1 26],[ 5.75 63.25] ; [ 2.25 24.75],0
n3,1,0.307375,1.041923,[21  9] ; [7 6],[19.53488372 10.46511628] ; [8.46511628 4.53488372],0
s6,1,0.344005,0.895447,[32 35] ; [10 17],[29.93617021 37.06382979] ; [12.06382979 14.93617021],0
p2,1,0.358627,0.842697,[44 23] ; [15 12],[42.05319149 24.94680851] ; [16.94680851 10.05319149],0
b5,1,0.41859,0.654269,[37 32] ; [12 15],[35.21875 33.78125] ; [13.78125 13.21875],0
n2,1,0.439261,0.598212,[22  8] ; [8 5],[20.93023256  9.06976744] ; [9.06976744 3.93023256],0
a6,1,0.457269,0.55257,[25 44] ; [12 15],[26.59375 42.40625] ; [10.40625 16.59375],0
v3,1,0.477572,0.504403,[17 50] ; [ 5 22],[15.68085106 51.31914894] ; [ 6.31914894 20.68085106],0
p3,1,0.510034,0.433998,[25 43] ; [ 8 19],[23.62105263 44.37894737] ; [ 9.37894737 17.62105263],0
v2,1,0.522046,0.409849,[25 41] ; [ 8 18],[23.67391304 42.32608696] ; [ 9.32608696 16.67391304],0
p4,1,0.536443,0.382171,[32 35] ; [11 16],[30.64893617 36.35106383] ; [12.35106383 14.64893617],0
p5,1,0.5379,0.379447,[ 5 64] ; [ 3 24],[ 5.75 63.25] ; [ 2.25 24.75],0
n6,1,0.574219,0.315674,[50 19] ; [18  9],[48.875 20.125] ; [19.125  7.875],0
n4,1,0.585532,0.297376,[45 24] ; [16 11],[43.84375 25.15625] ; [17.15625  9.84375],0
d3,1,0.63013,0.231884,[24 45] ; [ 8 19],[23. 46.] ; [ 9. 18.],0
v1,1,0.661066,0.192232,[23 44] ; [ 8 19],[22.09574468 44.90425532] ; [ 8.90425532 18.09574468],0
b1,1,0.670109,0.181474,[35 34] ; [15 12],[35.9375 33.0625] ; [14.0625 12.9375],0
n1,1,0.699933,0.148541,[13 16] ; [5 8],[12.42857143 16.57142857] ; [5.57142857 7.42857143],0
a8,1,0.739308,0.110736,[ 4 62] ; [ 2 23],[ 4.35164835 61.64835165] ; [ 1.64835165 23.35164835],0
p8,1,0.781599,0.07686,[24 42] ; [ 9 18],[23.41935484 42.58064516] ; [ 9.58064516 17.41935484],0
p11,1,0.78183,0.076693,[43 26] ; [16 11],[42.40625 26.59375] ; [16.59375 10.40625],0
p1,1,0.796873,0.066253,[ 9 60] ; [ 3 24],[ 8.625 60.375] ; [ 3.375 23.625],0
s1,1,0.838468,0.041556,[ 2 67] ; [ 1 26],[ 2.15625 66.84375] ; [ 0.84375 26.15625],0
p12,1,0.847985,0.036745,[ 2 66] ; [ 1 26],[ 2.14736842 65.85263158] ; [ 0.85263158 26.14736842],0
b2,1,0.864083,0.029302,[12 31] ; [ 6 14],[12.28571429 30.71428571] ; [ 5.71428571 14.28571429],0
b3,1,0.864083,0.029302,[12 31] ; [ 6 14],[12.28571429 30.71428571] ; [ 5.71428571 14.28571429],0
p7,1,0.870652,0.026514,[34 34] ; [13 14],[33.64210526 34.35789474] ; [13.35789474 13.64210526],0
n5,1,0.873172,0.025482,[50 19] ; [20  7],[50.3125 18.6875] ; [19.6875  7.3125],0
b4,1,0.875742,0.024451,[37 32] ; [14 13],[36.65625 32.34375] ; [14.34375 12.65625],0
s4,1,0.896503,0.016921,[12 57] ; [ 5 22],[12.21875 56.78125] ; [ 4.78125 22.21875],0
s2,1,0.953261,0.003435,[26 43] ; [10 17],[25.875 43.125] ; [10.125 16.875],0
