Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.115622,[4 7] ; [144  22],[9.19774011 1.80225989] ; [138.80225989  27.19774011],1
r3,1,0.008891,6.844611,[8 3] ; [156  10],[10.1920904  0.8079096] ; [153.8079096  12.1920904],0
r1,1,0.012312,6.265337,[4 7] ; [119  46],[7.6875 3.3125] ; [115.3125  49.6875],0
n6,1,0.023145,5.157592,[4 7] ; [114  50],[7.41714286 3.58285714] ; [110.58285714  53.41714286],0
p10,1,0.036004,4.396905,[7 4] ; [144  22],[9.38418079 1.61581921] ; [141.61581921  24.38418079],0
r2,1,0.040017,4.217164,[8 3] ; [152  14],[9.94350282 1.05649718] ; [150.05649718  15.94350282],0
s1,1,0.049729,3.850587,[ 1 10] ; [  2 164],[ 0.18644068 10.81355932] ; [  2.81355932 163.18644068],0
b1,1,0.101513,2.681606,[6 5] ; [ 51 115],[3.54237288 7.45762712] ; [ 53.45762712 112.54237288],0
p1,1,0.124728,2.356924,[2 9] ; [ 10 154],[ 0.75428571 10.24571429] ; [ 11.24571429 152.75428571],0
v2,1,0.12879,2.30703,[3 8] ; [79 76],[5.43373494 5.56626506] ; [76.56626506 78.43373494],0
a6,1,0.161178,1.963135,[5 6] ; [110  56],[7.14689266 3.85310734] ; [107.85310734  58.14689266],0
v3,1,0.20024,1.640623,[1 9] ; [ 45 112],[2.75449102 7.24550898] ; [ 43.24550898 113.75449102],0
s2,1,0.203713,1.615553,[3 8] ; [78 88],[5.03389831 5.96610169] ; [75.96610169 90.03389831],0
b5,1,0.205444,1.603246,[5 6] ; [107  59],[6.96045198 4.03954802] ; [105.03954802  60.96045198],0
d1,1,0.217398,1.521464,[3 8] ; [77 89],[4.97175141 6.02824859] ; [75.02824859 90.97175141],0
s8,1,0.226514,1.462617,[2 9] ; [ 60 106],[3.85310734 7.14689266] ; [ 58.14689266 107.85310734],0
b4,1,0.278432,1.174728,[8 3] ; [93 73],[6.27683616 4.72316384] ; [94.72316384 71.27683616],0
s6,1,0.281766,1.158553,[5 6] ; [102  63],[6.6875 4.3125] ; [100.3125  64.6875],0
s5,1,0.335075,0.929183,[2 9] ; [ 52 110],[3.43352601 7.56647399] ; [ 50.56647399 111.43352601],0
s4,1,0.335112,0.929041,[4 7] ; [ 39 127],[2.67231638 8.32768362] ; [ 40.32768362 125.67231638],0
d2,1,0.340083,0.910117,[2 9] ; [ 53 113],[3.4180791 7.5819209] ; [ 51.5819209 114.4180791],0
a3,1,0.342095,0.902564,[8 3] ; [96 69],[6.5 4.5] ; [97.5 67.5],0
a7,1,0.368688,0.808081,[7 4] ; [125  40],[8.25 2.75] ; [123.75  41.25],0
u2,1,0.381731,0.76512,[1 2] ; [40 28],[1.73239437 1.26760563] ; [39.26760563 28.73239437],0
n5,1,0.4155,0.663008,[3 8] ; [65 99],[4.27428571 6.72571429] ; [ 63.72571429 100.27428571],0
p11,1,0.417846,0.656366,[7 4] ; [124  42],[8.14124294 2.85875706] ; [122.85875706  43.14124294],0
a8,1,0.433904,0.612351,[1 9] ; [  7 148],[0.48484848 9.51515152] ; [  7.51515152 147.48484848],0
p7,1,0.44607,0.580618,[5 6] ; [91 68],[6.21176471 4.78823529] ; [89.78823529 69.21176471],0
v1,1,0.485517,0.486446,[4 7] ; [76 85],[5.11627907 5.88372093] ; [74.88372093 86.11627907],0
p2,1,0.490088,0.476333,[8 3] ; [134  31],[8.875 2.125] ; [133.125  31.875],0
p3,1,0.56302,0.334503,[5 6] ; [ 61 105],[4.10169492 6.89830508] ; [ 61.89830508 104.10169492],0
p6,1,0.58251,0.302195,[2 9] ; [ 42 122],[2.76571429 8.23428571] ; [ 41.23428571 122.76571429],0
d5,1,0.608726,0.262035,[7 4] ; [117  48],[7.75 3.25] ; [116.25  48.75],0
d3,1,0.618139,0.248492,[7 4] ; [116  48],[7.73142857 3.26857143] ; [115.26857143  48.73142857],0
d4,1,0.665104,0.187383,[8 3] ; [130  36],[8.57627119 2.42372881] ; [129.42372881  36.57627119],0
a5,1,0.679088,0.171154,[6 5] ; [101  65],[6.64971751 4.35028249] ; [100.35028249  65.64971751],0
s7,1,0.706279,0.142022,[4 6] ; [ 55 106],[3.4502924 6.5497076] ; [ 55.5497076 105.4502924],0
s3,1,0.755497,0.09697,[6 5] ; [82 83],[5.5 5.5] ; [82.5 82.5],0
a4,1,0.778512,0.079107,[3 8] ; [ 52 114],[3.4180791 7.5819209] ; [ 51.5819209 114.4180791],0
p8,1,0.823904,0.049518,[5 5] ; [77 89],[4.65909091 5.34090909] ; [77.34090909 88.65909091],0
b2,1,0.833224,0.044339,[3 5] ; [25 49],[2.73170732 5.26829268] ; [25.26829268 48.73170732],0
b3,1,0.833224,0.044339,[3 5] ; [25 49],[2.73170732 5.26829268] ; [25.26829268 48.73170732],0
p4,1,0.968787,0.001531,[5 6] ; [74 91],[4.9375 6.0625] ; [74.0625 90.9375],0
u1,1,0.995106,3.8e-05,[ 1 10] ; [ 15 151],[ 0.99435028 10.00564972] ; [ 15.00564972 150.99435028],0
