Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-05,17.44066,[16  8] ; [16 60],[ 7.68 16.32] ; [24.32 51.68],1
p7,1,0.000131,14.62543,[18  7] ; [23 56],[ 9.85576923 15.14423077] ; [31.14423077 47.85576923],1
p8,1,0.000267,13.291216,[15 10] ; [18 65],[ 7.63888889 17.36111111] ; [25.36111111 57.63888889],1
s2,1,0.000599,11.777778,[20  5] ; [33 48],[12.5 12.5] ; [40.5 40.5],1
v1,1,0.003611,8.47,[17  8] ; [28 52],[10.71428571 14.28571429] ; [34.28571429 45.71428571],0
v2,1,0.00643,7.425693,[19  4] ; [39 38],[13.34  9.66] ; [44.66 32.34],0
s7,1,0.007621,7.120415,[17  7] ; [31 47],[11.29411765 12.70588235] ; [36.70588235 41.29411765],0
p5,1,0.020607,5.359745,[ 5 20] ; [ 4 75],[ 2.16346154 22.83653846] ; [ 6.83653846 72.16346154],0
p4,1,0.027099,4.884489,[13 11] ; [24 57],[ 8.45714286 15.54285714] ; [28.54285714 52.45714286],0
u3,1,0.03923,4.250893,[7 1] ; [13 15],[4.44444444 3.55555556] ; [15.55555556 12.44444444],0
p3,1,0.053662,3.723181,[13 11] ; [27 56],[ 8.97196262 15.02803738] ; [31.02803738 51.97196262],0
s8,1,0.062173,3.478444,[15  9] ; [34 49],[10.99065421 13.00934579] ; [38.00934579 44.99065421],0
p12,1,0.106701,2.60241,[ 5 20] ; [ 7 76],[ 2.77777778 22.22222222] ; [ 9.22222222 73.77777778],0
p1,1,0.106701,2.60241,[ 5 20] ; [ 7 76],[ 2.77777778 22.22222222] ; [ 9.22222222 73.77777778],0
p9,1,0.123911,2.367181,[24  1] ; [69 13],[21.72897196  3.27102804] ; [71.27102804 10.72897196],0
b4,1,0.139161,2.187207,[18  7] ; [46 37],[14.81481481 10.18518519] ; [49.18518519 33.81481481],0
r4,1,0.150742,2.064722,[23  2] ; [66 17],[20.60185185  4.39814815] ; [68.39814815 14.60185185],0
a5,1,0.158549,1.988009,[20  5] ; [54 29],[17.12962963  7.87037037] ; [56.87037037 26.12962963],0
a8,1,0.196048,1.671572,[ 4 20] ; [ 6 72],[ 2.35294118 21.64705882] ; [ 7.64705882 70.35294118],0
s1,1,0.20741,1.589416,[ 3 22] ; [ 4 78],[ 1.63551402 23.36448598] ; [ 5.36448598 76.63551402],0
u2,1,0.209482,1.575,[6 2] ; [14 14],[4.44444444 3.55555556] ; [15.55555556 12.44444444],0
n6,1,0.223215,1.483581,[21  3] ; [63 20],[18.8411215  5.1588785] ; [65.1588785 17.8411215],0
s4,1,0.243776,1.358626,[ 8 17] ; [17 65],[ 5.8411215 19.1588785] ; [19.1588785 62.8411215],0
a2,1,0.283349,1.150957,[ 3 22] ; [18 65],[ 4.86111111 20.13888889] ; [16.13888889 66.86111111],0
r2,1,0.287633,1.130667,[24  1] ; [72  9],[22.64150943  2.35849057] ; [73.35849057  7.64150943],0
v3,1,0.303884,1.057072,[11 13] ; [26 50],[ 8.88 15.12] ; [28.12 47.88],0
d2,1,0.375043,0.786887,[13 11] ; [36 46],[11.09433962 12.90566038] ; [37.90566038 44.09433962],0
d1,1,0.409306,0.680816,[15 10] ; [42 41],[13.19444444 11.80555556] ; [43.80555556 39.19444444],0
b2,1,0.414882,0.664767,[ 5 13] ; [20 32],[ 6.42857143 11.57142857] ; [18.57142857 33.42857143],0
