Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00083,11.172183,[59  7] ; [216  96],[48.01587302 17.98412698] ; [226.98412698  85.01587302],1
p6,1,0.005597,7.675705,[44 24] ; [145 169],[33.64397906 34.35602094] ; [155.35602094 158.64397906],0
s2,1,0.005685,7.6474,[48 20] ; [165 151],[37.71875 30.28125] ; [175.28125 140.71875],0
s5,1,0.008207,6.987678,[36 27] ; [120 187],[26.56216216 36.43783784] ; [129.43783784 177.56216216],0
v2,1,0.009005,6.821918,[33 34] ; [204 104],[42.344 24.656] ; [194.656 113.344],0
s3,1,0.011701,6.355578,[50 18] ; [179 135],[40.76439791 27.23560209] ; [188.23560209 125.76439791],0
a7,1,0.018414,5.556281,[42 26] ; [240  77],[49.80779221 18.19220779] ; [232.19220779  84.80779221],0
a8,1,0.020858,5.338625,[ 3 64] ; [ 43 243],[ 8.73087819 58.26912181] ; [ 37.26912181 248.73087819],0
r2,1,0.021047,5.322892,[62  6] ; [307   9],[65.34375  2.65625] ; [303.65625  12.34375],0
v3,1,0.021824,5.259775,[24 44] ; [155 151],[32.54545455 35.45454545] ; [146.45454545 159.54545455],0
s1,1,0.033487,4.520697,[ 4 64] ; [  5 311],[ 1.59375 66.40625] ; [  7.40625 308.59375],0
b2,1,0.034681,4.460836,[11 31] ; [ 91 117],[17.136 24.864] ; [ 84.864 123.136],0
b3,1,0.034681,4.460836,[11 31] ; [ 91 117],[17.136 24.864] ; [ 84.864 123.136],0
p7,1,0.08493,2.967946,[59  9] ; [243  71],[53.7591623 14.2408377] ; [248.2408377  65.7591623],0
u2,1,0.109672,2.558945,[7 9] ; [47 25],[9.81818182 6.18181818] ; [44.18181818 27.81818182],0
r4,1,0.125096,2.352334,[61  7] ; [301  17],[63.77202073  4.22797927] ; [298.22797927  19.77202073],0
d1,1,0.126856,2.330567,[50 18] ; [203 115],[44.56994819 23.43005181] ; [208.43005181 109.56994819],0
p11,1,0.128522,2.310269,[56 12] ; [283  35],[59.72020725  8.27979275] ; [279.27979275  38.72020725],0
