Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0027,9.0,[ 3 15] ; [5 1],[ 6. 12.] ; [2. 4.],0
r1,1,0.007412,7.17037,[ 4 14] ; [5 1],[ 6.75 11.25] ; [2.25 3.75],0
s5,1,0.011412,6.4,[ 1 17] ; [3 3],[ 3. 15.] ; [1. 5.],0
p6,1,0.056478,3.637908,[ 4 13] ; [4 2],[ 5.91304348 11.08695652] ; [2.08695652 3.91304348],0
s8,1,0.10247,2.666667,[ 3 15] ; [3 3],[ 4.5 13.5] ; [1.5 4.5],0
p3,1,0.12076,2.407439,[ 3 14] ; [3 3],[ 4.43478261 12.56521739] ; [1.56521739 4.43478261],0
r3,1,0.205903,1.6,[16  2] ; [4 2],[15.  3.] ; [5. 1.],0
p5,1,0.205903,1.6,[ 2 16] ; [2 4],[ 3. 15.] ; [1. 5.],0
p12,1,0.205903,1.6,[ 2 16] ; [2 4],[ 3. 15.] ; [1. 5.],0
v1,1,0.223543,1.481481,[10  8] ; [5 1],[11.25  6.75] ; [3.75 2.25],0
p2,1,0.317311,1.0,[11  7] ; [5 1],[12.  6.] ; [4. 2.],0
p9,1,0.317311,1.0,[11  7] ; [5 1],[12.  6.] ; [4. 2.],0
p10,1,0.317311,1.0,[11  7] ; [5 1],[12.  6.] ; [4. 2.],0
b4,1,0.345779,0.888889,[ 8 10] ; [4 2],[9. 9.] ; [3. 3.],0
u1,1,0.393769,0.727273,[ 1 17] ; [1 5],[ 1.5 16.5] ; [0.5 5.5],0
b2,1,0.408961,0.681818,[3 8] ; [2 2],[3.66666667 7.33333333] ; [1.33333333 2.66666667],0
b3,1,0.408961,0.681818,[3 8] ; [2 2],[3.66666667 7.33333333] ; [1.33333333 2.66666667],0
b5,1,0.477968,0.503497,[9 9] ; [4 2],[9.75 8.25] ; [3.25 2.75],0
p7,1,0.477968,0.503497,[9 9] ; [4 2],[9.75 8.25] ; [3.25 2.75],0
n2,1,0.490153,0.47619,[6 2] ; [1 1],[5.6 2.4] ; [1.4 0.6],0
n5,1,0.586214,0.296296,[13  5] ; [5 1],[13.5  4.5] ; [4.5 1.5],0
a4,1,0.632585,0.228571,[ 8 10] ; [2 4],[ 7.5 10.5] ; [2.5 3.5],0
p4,1,0.632585,0.228571,[10  8] ; [4 2],[10.5  7.5] ; [3.5 2.5],0
a5,1,0.632585,0.228571,[10  8] ; [4 2],[10.5  7.5] ; [3.5 2.5],0
s6,1,0.632585,0.228571,[10  8] ; [4 2],[10.5  7.5] ; [3.5 2.5],0
s4,1,0.771671,0.084211,[ 4 14] ; [1 5],[ 3.75 14.25] ; [1.25 4.75],0
r4,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
s3,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
n4,1,0.795418,0.067227,[13  5] ; [4 2],[12.75  5.25] ; [4.25 1.75],0
d3,1,0.807671,0.059259,[11  7] ; [4 2],[11.25  6.75] ; [3.75 2.25],0
a7,1,0.807671,0.059259,[11  7] ; [4 2],[11.25  6.75] ; [3.75 2.25],0
d1,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
p8,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
b1,1,0.813025,0.055944,[10  8] ; [3 3],[9.75 8.25] ; [3.25 2.75],0
s2,1,1.0,0.0,[ 6 12] ; [2 4],[ 6. 12.] ; [2. 4.],0
n6,1,1.0,0.0,[12  6] ; [4 2],[12.  6.] ; [4. 2.],0
v4,1,1.0,0.0,[12  6] ; [4 2],[12.  6.] ; [4. 2.],0
u2,1,1.0,0.0,[3 3] ; [1 1],[3. 3.] ; [1. 1.],0
d2,1,1.0,0.0,[9 9] ; [3 3],[9. 9.] ; [3. 3.],0
a6,1,1.0,0.0,[9 9] ; [3 3],[9. 9.] ; [3. 3.],0
a3,1,1.0,0.0,[12  6] ; [4 2],[12.  6.] ; [4. 2.],0
