Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,98.132736,[334 145] ; [ 66 155],[273.71428571 205.28571429] ; [126.28571429  94.71428571],1
p6,1,0.0,66.079337,[237 242] ; [ 38 183],[188.17857143 290.82142857] ; [ 86.82142857 134.17857143],1
p3,1,0.0,45.577707,[300 184] ; [ 77 145],[258.45325779 225.54674221] ; [118.54674221 103.45325779],1
p4,1,0.0,39.207829,[347 136] ; [106 117],[309.91359773 173.08640227] ; [143.08640227  79.91359773],1
s8,1,0.000119,14.807564,[238 243] ; [ 75 146],[214.46296296 266.53703704] ; [ 98.53703704 122.46296296],1
s7,1,0.000123,14.750741,[255 208] ; [ 83 129],[231.84296296 231.15703704] ; [106.15703704 105.84296296],1
s5,1,0.000253,13.392071,[184 287] ; [ 52 159],[162.98533724 308.01466276] ; [ 73.01466276 137.98533724],1
p10,1,0.000581,11.836358,[418  63] ; [170  52],[402.31578947  78.68421053] ; [185.68421053  36.31578947],1
n6,1,0.001537,10.033932,[426  54] ; [178  45],[412.40398293  67.59601707] ; [191.59601707  31.40398293],0
v3,1,0.002291,9.300786,[205 265] ; [ 67 147],[186.9005848 283.0994152] ; [ 85.0994152 128.9005848],0
p5,1,0.002637,9.043148,[ 68 415] ; [ 14 209],[ 56.09915014 426.90084986] ; [ 25.90084986 197.09915014],0
a1,1,0.003539,8.506288,[ 27 457] ; [  2 221],[ 19.85289958 464.14710042] ; [  9.14710042 213.85289958],0
a2,1,0.004015,8.276871,[133 351] ; [ 39 184],[117.74823197 366.25176803] ; [ 54.25176803 168.74823197],0
r4,1,0.004275,8.163071,[463  21] ; [201  22],[454.56294201  29.43705799] ; [209.43705799  13.56294201],0
a3,1,0.005826,7.603314,[363 118] ; [146  77],[347.76846591 133.23153409] ; [161.23153409  61.76846591],0
p11,1,0.007133,7.239212,[404  80] ; [167  56],[390.89674682  93.10325318] ; [180.10325318  42.89674682],0
r1,1,0.013931,6.046905,[410  70] ; [173  49],[398.63247863  81.36752137] ; [184.36752137  37.63247863],0
n5,1,0.016465,5.752482,[378 103] ; [156  66],[365.36842105 115.63157895] ; [168.63157895  53.36842105],0
b5,1,0.01719,5.676863,[280 204] ; [150  73],[294.37057992 189.62942008] ; [135.62942008  87.37057992],0
v4,1,0.026624,4.915021,[473   8] ; [212  10],[468.68421053  12.31578947] ; [216.31578947   5.68421053],0
s6,1,0.032643,4.564412,[331 139] ; [137  83],[318.7826087 151.2173913] ; [149.2173913  70.7826087],0
a8,1,0.05274,3.752153,[ 71 366] ; [ 21 180],[ 63.01567398 373.98432602] ; [ 28.98432602 172.01567398],0
d3,1,0.05356,3.726349,[352 130] ; [147  76],[341.16028369 140.83971631] ; [157.83971631  65.16028369],0
p9,1,0.063849,3.434462,[426  54] ; [185  36],[418.37375178  61.62624822] ; [192.62624822  28.37375178],0
u1,1,0.068641,3.315222,[ 97 387] ; [ 32 191],[ 88.31117397 395.68882603] ; [ 40.68882603 182.31117397],0
b1,1,0.081038,3.043969,[187 297] ; [ 71 152],[176.62234795 307.37765205] ; [ 81.37765205 141.62234795],0
v2,1,0.082223,3.020394,[276 192] ; [111 103],[265.5659824 202.4340176] ; [121.4340176  92.5659824],0
v1,1,0.083436,2.99666,[276 198] ; [110 105],[265.55007257 208.44992743] ; [120.44992743  94.55007257],0
b4,1,0.084896,2.968593,[275 209] ; [142  81],[285.47100424 198.52899576] ; [131.52899576  91.47100424],0
r3,1,0.087319,2.923124,[470  12] ; [211  11],[466.25284091  15.74715909] ; [214.74715909   7.25284091],0
n4,1,0.135,2.234046,[387  95] ; [168  55],[379.44680851 102.55319149] ; [175.55319149  47.44680851],0
n3,1,0.153372,2.038387,[71 18] ; [41 18],[67.35135135 21.64864865] ; [44.64864865 14.35135135],0
a5,1,0.159794,1.976175,[367 117] ; [158  65],[359.40594059 124.59405941] ; [165.59405941  57.40594059],0
d1,1,0.181067,1.788845,[297 187] ; [125  98],[288.89391796 195.10608204] ; [133.10608204  89.89391796],0
u3,1,0.211489,1.561204,[65 54] ; [49 28],[69.21428571 49.78571429] ; [44.78571429 32.21428571],0
b3,1,0.248123,1.333841,[119 179] ; [41 80],[113.7947494 184.2052506] ; [46.2052506 74.7947494],0
b2,1,0.248123,1.333841,[119 179] ; [41 80],[113.7947494 184.2052506] ; [46.2052506 74.7947494],0
s3,1,0.280131,1.166456,[284 193] ; [122  99],[277.45272206 199.54727794] ; [128.54727794  92.45272206],0
s4,1,0.296285,1.09084,[ 82 396] ; [ 31 190],[ 77.2732475 400.7267525] ; [ 35.7267525 185.2732475],0
s2,1,0.307598,1.040963,[255 226] ; [107 112],[248.74571429 232.25428571] ; [113.25428571 105.74571429],0
s1,1,0.385537,0.752971,[ 10 468] ; [  7 213],[ 11.64183381 466.35816619] ; [  5.35816619 214.64183381],0
u4,1,0.41079,0.676513,[ 11 473] ; [  3 220],[  9.58415842 474.41584158] ; [  4.41584158 218.58415842],0
d4,1,0.449571,0.571733,[402  80] ; [180  42],[398.47159091  83.52840909] ; [183.52840909  38.47159091],0
n1,1,0.452852,0.563505,[31 57] ; [24 34],[33.15068493 54.84931507] ; [21.84931507 36.15068493],0
a4,1,0.519569,0.41475,[220 262] ; [ 96 127],[216.04539007 265.95460993] ; [ 99.95460993 123.04539007],0
d2,1,0.533321,0.38806,[240 244] ; [104 117],[236.16453901 247.83546099] ; [107.83546099 113.16453901],0
n2,1,0.58582,0.29692,[68 21] ; [42 16],[66.59863946 22.40136054] ; [43.40136054 14.59863946],0
d5,1,0.605897,0.266192,[401  81] ; [182  41],[398.59007092  83.40992908] ; [184.40992908  38.59007092],0
p12,1,0.609198,0.261344,[ 38 444] ; [ 15 206],[ 36.33854908 445.66145092] ; [ 16.66145092 204.33854908],0
p1,1,0.674859,0.17597,[ 46 436] ; [ 19 203],[ 44.50284091 437.49715909] ; [ 20.49715909 201.50284091],0
a7,1,0.69992,0.148555,[356 126] ; [167  55],[358.07670455 123.92329545] ; [164.92329545  57.07670455],0
u2,1,0.930062,0.007703,[65 54] ; [42 34],[65.2974359 53.7025641] ; [41.7025641 34.2974359],0
a6,1,0.975674,0.00093,[333 150] ; [154  69],[333.17422096 149.82577904] ; [153.82577904  69.17422096],0
