Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.3e-05,18.987107,[34  7] ; [24 37],[23.31372549 17.68627451] ; [34.68627451 26.31372549],1
s7,1,8.3e-05,15.492567,[25 14] ; [14 44],[15.68041237 23.31958763] ; [23.31958763 34.68041237],1
s5,1,0.002059,9.495947,[16 25] ; [ 7 50],[ 9.62244898 31.37755102] ; [13.37755102 43.62244898],0
s2,1,0.009192,6.785149,[25 15] ; [22 39],[18.61386139 21.38613861] ; [28.38613861 32.61386139],0
p2,1,0.023961,5.097478,[36  5] ; [41 19],[31.25742574  9.74257426] ; [45.74257426 14.25742574],0
v1,1,0.034972,4.44654,[23 16] ; [22 37],[17.90816327 21.09183673] ; [27.09183673 31.90816327],0
d1,1,0.039447,4.241503,[26 15] ; [26 35],[20.90196078 20.09803922] ; [31.09803922 29.90196078],0
a5,1,0.05197,3.776749,[30 11] ; [33 28],[25.32352941 15.67647059] ; [37.67647059 23.32352941],0
p7,1,0.059337,3.555817,[27 11] ; [30 28],[22.5625 15.4375] ; [34.4375 23.5625],0
p5,1,0.07433,3.184716,[ 5 35] ; [ 2 59],[ 2.77227723 37.22772277] ; [ 4.22772277 56.77227723],0
s3,1,0.085759,2.952239,[26 13] ; [30 31],[21.84 17.16] ; [34.16 26.84],0
n1,1,0.100348,2.7,[6 6] ; [ 3 12],[4. 8.] ; [ 5. 10.],0
p4,1,0.133432,2.252108,[24 17] ; [26 34],[20.2970297 20.7029703] ; [29.7029703 30.2970297],0
d2,1,0.135831,2.224565,[18 23] ; [18 43],[14.47058824 26.52941176] ; [21.52941176 39.47058824],0
n3,1,0.139445,2.184076,[7 6] ; [12  3],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
p11,1,0.140766,2.169566,[33  8] ; [41 20],[29.74509804 11.25490196] ; [44.25490196 16.74509804],0
v4,1,0.149854,2.073733,[39  1] ; [54  6],[37.2  2.8] ; [55.8  4.2],0
d5,1,0.15229,2.049163,[34  7] ; [43 18],[30.95098039 10.04901961] ; [46.04901961 14.95098039],0
b1,1,0.157465,1.998401,[24 17] ; [27 34],[20.5 20.5] ; [30.5 30.5],0
a8,1,0.174638,1.842672,[ 5 33] ; [ 3 54],[ 3.2 34.8] ; [ 4.8 52.2],0
u1,1,0.180144,1.796435,[ 5 36] ; [ 3 58],[ 3.21568627 37.78431373] ; [ 4.78431373 56.21568627],0
u3,1,0.184346,1.762238,[11  2] ; [14  8],[9.28571429 3.71428571] ; [15.71428571  6.28571429],0
p6,1,0.213914,1.544736,[13 28] ; [12 46],[10.35353535 30.64646465] ; [14.64646465 43.35353535],0
v3,1,0.226368,1.463536,[13 24] ; [14 45],[10.40625 26.59375] ; [16.59375 42.40625],0
s4,1,0.240359,1.378489,[ 9 32] ; [ 8 53],[ 6.83333333 34.16666667] ; [10.16666667 50.83333333],0
a2,1,0.261158,1.262607,[ 8 33] ; [ 7 54],[ 6.02941176 34.97058824] ; [ 8.97058824 52.02941176],0
p8,1,0.307541,1.041206,[22 19] ; [26 34],[19.48514851 21.51485149] ; [28.51485149 31.48514851],0
r4,1,0.336051,0.92544,[33  8] ; [44 17],[30.95098039 10.04901961] ; [46.04901961 14.95098039],0
b2,1,0.338509,0.916071,[10 22] ; [ 5 20],[ 8.42105263 23.57894737] ; [ 6.57894737 18.42105263],0
b3,1,0.338509,0.916071,[10 22] ; [ 5 20],[ 8.42105263 23.57894737] ; [ 6.57894737 18.42105263],0
r3,1,0.354686,0.85662,[38  3] ; [53  8],[36.57843137  4.42156863] ; [54.42156863  6.57843137],0
p3,1,0.426713,0.631752,[18 23] ; [22 39],[16.07843137 24.92156863] ; [23.92156863 37.07843137],0
a6,1,0.475227,0.509796,[29 12] ; [39 22],[27.33333333 13.66666667] ; [40.66666667 20.33333333],0
d3,1,0.486455,0.484358,[30 11] ; [40 20],[28.41584158 12.58415842] ; [41.58415842 18.41584158],0
a3,1,0.534299,0.386209,[28 13] ; [38 23],[26.52941176 14.47058824] ; [39.47058824 21.52941176],0
p9,1,0.605721,0.266453,[37  4] ; [53  8],[36.17647059  4.82352941] ; [53.82352941  7.17647059],0
n4,1,0.657344,0.196766,[19 22] ; [31 30],[20.09803922 20.90196078] ; [29.90196078 31.09803922],0
b4,1,0.658047,0.195905,[24 17] ; [33 28],[22.91176471 18.08823529] ; [34.08823529 26.91176471],0
s1,1,0.676922,0.173611,[ 2 38] ; [ 2 58],[ 1.6 38.4] ; [ 2.4 57.6],0
d4,1,0.678885,0.171384,[33  8] ; [47 14],[32.15686275  8.84313725] ; [47.84313725 13.15686275],0
a1,1,0.683274,0.166464,[ 2 39] ; [ 2 59],[ 1.60784314 39.39215686] ; [ 2.39215686 58.60784314],0
b5,1,0.761863,0.09183,[25 16] ; [39 22],[25.7254902 15.2745098] ; [38.2745098 22.7254902],0
a4,1,0.775184,0.081567,[13 28] ; [21 40],[13.66666667 27.33333333] ; [20.33333333 40.66666667],0
a7,1,0.812848,0.056052,[28 13] ; [43 18],[28.53921569 12.46078431] ; [42.46078431 18.53921569],0
v2,1,0.865037,0.028888,[19 19] ; [27 29],[18.59574468 19.40425532] ; [27.40425532 28.59574468],0
r1,1,0.868293,0.027498,[30 11] ; [43 17],[29.63366337 11.36633663] ; [43.36633663 16.63366337],0
p1,1,0.871294,0.026249,[ 3 38] ; [ 5 56],[ 3.21568627 37.78431373] ; [ 4.78431373 56.21568627],0
n2,1,0.877059,0.023932,[11  2] ; [13  2],[11.14285714  1.85714286] ; [12.85714286  2.14285714],0
n5,1,0.954455,0.003262,[19 22] ; [27 32],[18.86 22.14] ; [27.14 31.86],0
r2,1,0.965961,0.001821,[34  5] ; [53  8],[33.93  5.07] ; [53.07  7.93],0
