Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,106.571084,[124  24] ; [10 68],[87.75221239 60.24778761] ; [46.24778761 31.75221239],1
p2,1,0.0,35.152953,[115  31] ; [31 48],[94.73777778 51.26222222] ; [51.26222222 27.73777778],1
p11,1,0.0,30.005071,[111  37] ; [30 49],[91.92951542 56.07048458] ; [49.07048458 29.92951542],1
r3,1,1e-05,19.555556,[137  10] ; [55 22],[126.  21.] ; [66. 11.],1
r4,1,7.5e-05,15.687315,[122  26] ; [46 33],[109.53303965  38.46696035] ; [58.46696035 20.53303965],1
v4,1,0.000288,13.149987,[135  13] ; [57 21],[125.73451327  22.26548673] ; [66.26548673 11.73451327],1
v1,1,0.001323,10.309933,[71 75] ; [21 58],[59.69777778 86.30222222] ; [32.30222222 46.69777778],0
s8,1,0.001478,10.106404,[ 40 108] ; [ 7 71],[ 30.77876106 117.22123894] ; [16.22123894 61.77876106],0
p4,1,0.002721,8.985489,[64 84] ; [18 60],[53.69911504 94.30088496] ; [28.30088496 49.69911504],0
d3,1,0.005348,7.757949,[98 48] ; [38 41],[88.24888889 57.75111111] ; [47.75111111 31.24888889],0
n6,1,0.005403,7.73945,[119  28] ; [50 28],[110.41333333  36.58666667] ; [58.58666667 19.41333333],0
v2,1,0.006741,7.340805,[78 66] ; [27 50],[68.41628959 75.58371041] ; [36.58371041 40.41628959],0
p7,1,0.007485,7.152669,[58 89] ; [17 61],[49. 98.] ; [26. 52.],0
a3,1,0.009395,6.746128,[107  41] ; [43 35],[98.2300885 49.7699115] ; [51.7699115 26.2300885],0
s6,1,0.009442,6.737184,[66 82] ; [21 57],[56.97345133 91.02654867] ; [30.02654867 47.97345133],0
p6,1,0.009751,6.679794,[ 36 110] ; [ 8 70],[ 28.67857143 117.32142857] ; [15.32142857 62.67857143],0
a5,1,0.011407,6.400706,[102  46] ; [41 38],[93.23348018 54.76651982] ; [49.76651982 29.23348018],0
a6,1,0.012835,6.191741,[105  43] ; [43 36],[96.49339207 51.50660793] ; [51.50660793 27.49339207],0
n5,1,0.01393,6.047009,[101  45] ; [41 37],[92.55357143 53.44642857] ; [49.44642857 28.55357143],0
b1,1,0.017237,5.672069,[58 90] ; [44 35],[66.50220264 81.49779736] ; [35.49779736 43.50220264],0
p3,1,0.023413,5.137575,[51 96] ; [16 63],[ 43.57964602 103.42035398] ; [23.42035398 55.57964602],0
s7,1,0.023981,5.09602,[ 42 103] ; [11 62],[ 35.25229358 109.74770642] ; [17.74770642 55.25229358],0
