Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000454,12.296909,[ 8 28] ; [10  3],[13.2244898 22.7755102] ; [4.7755102 8.2244898],1
s5,1,0.000585,11.822418,[ 8 27] ; [10  3],[13.125 21.875] ; [4.875 8.125],1
u1,1,0.000768,11.317838,[ 1 35] ; [5 8],[ 4.40816327 31.59183673] ; [ 1.59183673 11.40816327],1
s7,1,0.001303,10.338462,[ 7 28] ; [9 4],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
p6,1,0.002,9.54944,[10 26] ; [10  3],[14.69387755 21.30612245] ; [5.30612245 7.69387755],0
a2,1,0.004266,8.167143,[ 1 35] ; [4 9],[ 3.67346939 32.32653061] ; [ 1.32653061 11.67346939],0
d1,1,0.011494,6.387277,[13 23] ; [10  3],[16.89795918 19.10204082] ; [6.10204082 6.89795918],0
b3,1,0.053337,3.733333,[ 4 17] ; [4 3],[ 6. 15.] ; [2. 5.],0
b2,1,0.053337,3.733333,[ 4 17] ; [4 3],[ 6. 15.] ; [2. 5.],0
d4,1,0.072674,3.221565,[24 12] ; [12  1],[26.44897959  9.55102041] ; [9.55102041 3.44897959],0
a5,1,0.087934,2.9118,[21 15] ; [11  2],[23.51020408 12.48979592] ; [8.48979592 4.51020408],0
p7,1,0.092696,2.826923,[18 18] ; [10  3],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
r4,1,0.10036,2.69982,[25 11] ; [12  1],[27.18367347  8.81632653] ; [9.81632653 3.18367347],0
p5,1,0.104135,2.641041,[ 1 35] ; [ 2 11],[ 2.20408163 33.79591837] ; [ 0.79591837 12.20408163],0
v3,1,0.118366,2.438815,[ 6 29] ; [5 8],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
p4,1,0.125437,2.348091,[16 20] ; [9 4],[18.36734694 17.63265306] ; [6.63265306 6.36734694],0
s6,1,0.154099,2.0312,[19 16] ; [10  3],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
a4,1,0.156049,2.012104,[ 9 27] ; [6 7],[11.02040816 24.97959184] ; [3.97959184 9.02040816],0
v1,1,0.159337,1.980503,[14 22] ; [8 5],[16.16326531 19.83673469] ; [5.83673469 7.16326531],0
b4,1,0.172916,1.857477,[17 19] ; [9 4],[19.10204082 16.89795918] ; [6.89795918 6.10204082],0
p8,1,0.183224,1.771275,[14 21] ; [8 5],[16.04166667 18.95833333] ; [5.95833333 7.04166667],0
p3,1,0.26478,1.243593,[13 23] ; [7 6],[14.69387755 21.30612245] ; [5.30612245 7.69387755],0
d5,1,0.266328,1.235561,[24 11] ; [11  2],[25.52083333  9.47916667] ; [9.47916667 3.52083333],0
r1,1,0.30419,1.055734,[19 17] ; [9 4],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
n4,1,0.30419,1.055734,[19 17] ; [9 4],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
r2,1,0.309257,1.033846,[28  7] ; [12  1],[29.16666667  5.83333333] ; [10.83333333  2.16666667],0
u2,1,0.329114,0.952381,[ 4 12] ; [2 2],[ 4.8 11.2] ; [1.2 2.8],0
a3,1,0.389852,0.739405,[20 16] ; [9 4],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
n5,1,0.411144,0.675489,[24 12] ; [7 6],[22.7755102 13.2244898] ; [8.2244898 4.7755102],0
s2,1,0.430179,0.62234,[ 7 28] ; [4 9],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
s1,1,0.442721,0.589221,[ 1 35] ; [ 1 12],[ 1.46938776 34.53061224] ; [ 0.53061224 12.46938776],0
p12,1,0.442721,0.589221,[ 1 35] ; [ 1 12],[ 1.46938776 34.53061224] ; [ 0.53061224 12.46938776],0
b5,1,0.489436,0.477767,[21 15] ; [9 4],[22.04081633 13.95918367] ; [7.95918367 5.04081633],0
b1,1,0.49161,0.473002,[12 24] ; [ 3 10],[11.02040816 24.97959184] ; [3.97959184 9.02040816],0
v4,1,0.559084,0.341292,[31  5] ; [12  1],[31.59183673  4.40816327] ; [11.40816327  1.59183673],0
a7,1,0.645993,0.210989,[24 11] ; [8 5],[23.33333333 11.66666667] ; [8.66666667 4.33333333],0
v2,1,0.779305,0.078526,[15 21] ; [6 7],[15.42857143 20.57142857] ; [5.57142857 7.42857143],0
n2,1,0.793258,0.068687,[8 4] ; [3 2],[7.76470588 4.23529412] ; [3.23529412 1.76470588],0
n1,1,0.793258,0.068687,[4 8] ; [2 3],[4.23529412 7.76470588] ; [1.76470588 3.23529412],0
u3,1,0.822187,0.050505,[7 9] ; [2 2],[7.2 8.8] ; [1.8 2.2],0
d3,1,0.851251,0.035165,[26  9] ; [10  3],[26.25  8.75] ; [9.75 3.25],0
p2,1,0.865811,0.028555,[24 12] ; [9 4],[24.24489796 11.75510204] ; [8.75510204 4.24489796],0
n6,1,0.914631,0.011492,[30  6] ; [11  2],[30.12244898  5.87755102] ; [10.87755102  2.12244898],0
a6,1,0.947251,0.004377,[17 19] ; [6 7],[16.89795918 19.10204082] ; [6.10204082 6.89795918],0
p11,1,0.978375,0.000735,[22 14] ; [8 5],[22.04081633 13.95918367] ; [7.95918367 5.04081633],0
