Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.006743,7.340074,[ 7 15] ; [9 2],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
s6,1,0.02767,4.848485,[ 3 19] ; [5 5],[ 5.5 16.5] ; [2.5 7.5],0
d2,1,0.036714,4.363636,[10 12] ; [ 1 10],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
s8,1,0.043581,4.072727,[ 1 21] ; [3 7],[ 2.75 19.25] ; [1.25 8.75],0
a7,1,0.067577,3.340909,[ 5 17] ; [6 5],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
p8,1,0.075929,3.149952,[ 4 17] ; [5 5],[ 6.09677419 14.90322581] ; [2.90322581 7.09677419],0
a5,1,0.081262,3.039474,[ 7 15] ; [7 4],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
s7,1,0.109443,2.562245,[ 3 18] ; [4 6],[ 4.74193548 16.25806452] ; [2.25806452 7.74193548],0
n4,1,0.150962,2.0625,[15  7] ; [10  1],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
d5,1,0.150962,2.0625,[ 7 15] ; [ 1 10],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
p3,1,0.169686,1.885714,[ 2 20] ; [3 8],[ 3.33333333 18.66666667] ; [1.66666667 9.33333333],0
a3,1,0.19271,1.69678,[ 9 13] ; [6 3],[10.64516129 11.35483871] ; [4.35483871 4.64516129],0
v4,1,0.213024,1.550752,[11 11] ; [8 3],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
p5,1,0.216086,1.530179,[ 1 20] ; [2 9],[ 1.96875 19.03125] ; [1.03125 9.96875],0
n2,1,0.252781,1.30787,[6 7] ; [7 3],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
n1,1,0.252781,1.30787,[6 7] ; [7 3],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
a4,1,0.27328,1.200208,[ 6 16] ; [1 9],[ 4.8125 17.1875] ; [2.1875 7.8125],0
b1,1,0.324534,0.970588,[10 12] ; [7 4],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
p6,1,0.371332,0.799201,[ 3 18] ; [3 8],[ 3.9375 17.0625] ; [2.0625 8.9375],0
r2,1,0.407016,0.6875,[15  7] ; [9 2],[16.  6.] ; [8. 3.],0
v1,1,0.407016,0.6875,[ 5 17] ; [4 7],[ 6. 16.] ; [3. 8.],0
p11,1,0.442695,0.589286,[ 7 15] ; [5 6],[ 8. 14.] ; [4. 7.],0
s1,1,0.45067,0.568966,[ 2 20] ; [2 9],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
s5,1,0.45067,0.568966,[ 2 20] ; [2 9],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
u2,1,0.45675,0.553846,[5 8] ; [1 4],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
b4,1,0.458318,0.55,[11 11] ; [7 4],[12. 10.] ; [6. 5.],0
a1,1,0.492331,0.471429,[ 4 18] ; [ 1 10],[ 3.33333333 18.66666667] ; [1.66666667 9.33333333],0
d3,1,0.547045,0.362637,[ 4 18] ; [3 8],[ 4.66666667 17.33333333] ; [2.33333333 8.66666667],0
s2,1,0.547045,0.362637,[ 4 18] ; [3 8],[ 4.66666667 17.33333333] ; [2.33333333 8.66666667],0
b2,1,0.571107,0.320833,[7 7] ; [3 5],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
b3,1,0.571107,0.320833,[7 7] ; [3 5],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
p7,1,0.601508,0.272727,[ 8 14] ; [3 8],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
p12,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
a2,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
v3,1,0.659658,0.193939,[ 5 17] ; [3 7],[ 5.5 16.5] ; [2.5 7.5],0
s4,1,0.73137,0.117857,[ 3 19] ; [2 9],[ 3.33333333 18.66666667] ; [1.66666667 9.33333333],0
v2,1,0.739332,0.110714,[ 3 18] ; [1 9],[ 2.70967742 18.29032258] ; [1.29032258 8.70967742],0
p4,1,0.773938,0.0825,[ 5 17] ; [3 8],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
a6,1,0.803316,0.06203,[ 9 13] ; [5 6],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
b5,1,0.803316,0.06203,[ 9 13] ; [5 6],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
p2,1,0.805453,0.060662,[11 11] ; [5 6],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
p10,1,0.863894,0.029385,[ 7 14] ; [4 7],[ 7.21875 13.78125] ; [3.78125 7.21875],0
s3,1,0.924953,0.008873,[ 5 16] ; [2 7],[ 4.9 16.1] ; [2.1 6.9],0
n3,1,0.936898,0.006268,[7 6] ; [5 4],[7.09090909 5.90909091] ; [4.90909091 4.09090909],0
p1,1,1.0,0.0,[ 4 18] ; [2 9],[ 4. 18.] ; [2. 9.],0
p9,1,1.0,0.0,[ 8 12] ; [4 6],[ 8. 12.] ; [4. 6.],0
