Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.363188,[60 15] ; [ 2 15],[50.54347826 24.45652174] ; [11.45652174  5.54347826],1
r2,1,5.2e-05,16.387537,[69  6] ; [9 8],[63.58695652 11.41304348] ; [14.41304348  2.58695652],1
v2,1,0.002102,9.457968,[32 37] ; [ 1 16],[26.47674419 42.52325581] ; [ 6.52325581 10.47674419],0
s2,1,0.004653,8.009551,[37 38] ; [ 2 15],[31.79347826 43.20652174] ; [7.20652174 9.79347826],0
d2,1,0.004653,8.009551,[37 38] ; [ 2 15],[31.79347826 43.20652174] ; [7.20652174 9.79347826],0
d5,1,0.00584,7.599033,[59 15] ; [8 9],[54.48351648 19.51648352] ; [12.51648352  4.48351648],0
s3,1,0.007752,7.089831,[40 35] ; [ 3 14],[35.05434783 39.94565217] ; [7.94565217 9.05434783],0
s6,1,0.011535,6.380947,[42 31] ; [ 4 13],[37.31111111 35.68888889] ; [8.68888889 8.31111111],0
n5,1,0.014538,5.971666,[14 60] ; [8 9],[17.89010989 56.10989011] ; [ 4.10989011 12.89010989],0
v4,1,0.02834,4.807285,[67  7] ; [12  5],[64.24175824  9.75824176] ; [14.75824176  2.24175824],0
d1,1,0.033646,4.512595,[39 36] ; [ 4 13],[35.05434783 39.94565217] ; [7.94565217 9.05434783],0
s5,1,0.042702,4.107153,[21 50] ; [ 1 16],[17.75 53.25] ; [ 4.25 12.75],0
b1,1,0.060061,3.535686,[34 41] ; [12  5],[37.5 37.5] ; [8.5 8.5],0
b5,1,0.062979,3.457157,[53 22] ; [8 9],[49.72826087 25.27173913] ; [11.27173913  5.72826087],0
a6,1,0.064252,3.424086,[45 30] ; [ 6 11],[41.57608696 33.42391304] ; [9.42391304 7.57608696],0
a7,1,0.106585,2.604134,[54 20] ; [9 8],[51.23076923 22.76923077] ; [11.76923077  5.23076923],0
s1,1,0.146859,2.104575,[ 5 70] ; [ 3 14],[ 6.52173913 68.47826087] ; [ 1.47826087 15.52173913],0
a5,1,0.149101,2.081427,[41 34] ; [ 6 11],[38.31521739 36.68478261] ; [8.68478261 8.31521739],0
p6,1,0.154332,2.028905,[15 58] ; [ 1 16],[12.97777778 60.02222222] ; [ 3.02222222 13.97777778],0
p9,1,0.15526,2.019798,[40 30] ; [ 6 10],[37.44186047 32.55813953] ; [8.55813953 7.44186047],0
r1,1,0.161132,1.963571,[49 26] ; [8 9],[46.4673913 28.5326087] ; [10.5326087  6.4673913],0
n6,1,0.162984,1.946321,[40 34] ; [ 6 11],[37.40659341 36.59340659] ; [8.59340659 8.40659341],0
a2,1,0.16557,1.922601,[15 60] ; [ 1 16],[13.04347826 61.95652174] ; [ 2.95652174 14.04347826],0
a3,1,0.180303,1.795129,[39 35] ; [12  5],[41.47252747 32.52747253] ; [9.52747253 7.47252747],0
s8,1,0.18504,1.756675,[20 54] ; [ 2 15],[17.89010989 56.10989011] ; [ 4.10989011 12.89010989],0
p2,1,0.245227,1.350291,[42 32] ; [ 7 10],[39.84615385 34.15384615] ; [9.15384615 7.84615385],0
p3,1,0.256166,1.28936,[23 50] ; [ 3 14],[21.08888889 51.91111111] ; [ 4.91111111 12.08888889],0
a4,1,0.280611,1.164131,[28 47] ; [ 4 13],[26.08695652 48.91304348] ; [ 5.91304348 11.08695652],0
p4,1,0.295116,1.096134,[32 42] ; [ 5 12],[30.08791209 43.91208791] ; [ 6.91208791 10.08791209],0
u3,1,0.305982,1.047938,[19 15] ; [4 1],[20.05128205 13.94871795] ; [2.94871795 2.05128205],0
s4,1,0.328098,0.956391,[22 53] ; [ 3 14],[20.38043478 54.61956522] ; [ 4.61956522 12.38043478],0
d3,1,0.44294,0.588654,[46 27] ; [9 8],[44.61111111 28.38888889] ; [10.38888889  6.61111111],0
s7,1,0.461016,0.543427,[20 48] ; [ 3 12],[18.84337349 49.15662651] ; [ 4.15662651 10.84337349],0
d4,1,0.491793,0.472602,[58 16] ; [12  5],[56.92307692 17.07692308] ; [13.07692308  3.92307692],0
u2,1,0.588815,0.292198,[18 16] ; [2 3],[17.43589744 16.56410256] ; [2.56410256 2.43589744],0
n3,1,0.591774,0.287582,[21 12] ; [6 5],[20.25 12.75] ; [6.75 4.25],0
p7,1,0.617488,0.249414,[31 43] ; [ 6 11],[30.08791209 43.91208791] ; [ 6.91208791 10.08791209],0
p1,1,0.638578,0.220606,[ 7 67] ; [ 1 16],[ 6.50549451 67.49450549] ; [ 1.49450549 15.50549451],0
n1,1,0.677856,0.172549,[ 7 26] ; [3 8],[ 7.5 25.5] ; [2.5 8.5],0
a1,1,0.731132,0.118075,[ 3 72] ; [ 1 16],[ 3.26086957 71.73913043] ; [ 0.73913043 16.26086957],0
p8,1,0.732373,0.116944,[20 54] ; [ 5 11],[20.55555556 53.44444444] ; [ 4.44444444 11.55555556],0
b4,1,0.741526,0.10879,[43 32] ; [9 8],[42.39130435 32.60869565] ; [9.60869565 7.39130435],0
b3,1,0.842924,0.039265,[ 9 27] ; [2 5],[ 9.20930233 26.79069767] ; [1.79069767 5.20930233],0
b2,1,0.842924,0.039265,[ 9 27] ; [2 5],[ 9.20930233 26.79069767] ; [1.79069767 5.20930233],0
v3,1,0.952879,0.003492,[16 54] ; [ 4 13],[16.09195402 53.90804598] ; [ 3.90804598 13.09195402],0
