Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.028558,4.794034,[9 2] ; [13 17],[5.90243902 5.09756098] ; [16.09756098 13.90243902],0
v2,1,0.031238,4.639812,[6 5] ; [ 6 24],[3.2195122 7.7804878] ; [ 8.7804878 21.2195122],0
v1,1,0.05705,3.621121,[6 5] ; [ 7 23],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
p12,1,0.105743,2.61672,[2 9] ; [ 1 29],[ 0.80487805 10.19512195] ; [ 2.19512195 27.80487805],0
p6,1,0.117286,2.453199,[5 6] ; [ 6 23],[3.025 7.975] ; [ 7.975 21.025],0
p5,1,0.125047,2.352941,[3 7] ; [ 3 27],[1.5 8.5] ; [ 4.5 25.5],0
p8,1,0.144523,2.129128,[7 4] ; [11 18],[4.95 6.05] ; [13.05 15.95],0
s4,1,0.167172,1.908123,[ 1 10] ; [ 9 21],[2.68292683 8.31707317] ; [ 7.31707317 22.68292683],0
n3,1,0.221099,1.497222,[2 4] ; [10  6],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
p7,1,0.229421,1.444444,[5 4] ; [10 20],[3.46153846 5.53846154] ; [11.53846154 18.46153846],0
a5,1,0.259753,1.270072,[9 2] ; [19 11],[7.51219512 3.48780488] ; [20.48780488  9.51219512],0
n2,1,0.265572,1.239477,[6 1] ; [10  6],[4.86956522 2.13043478] ; [11.13043478  4.86956522],0
u1,1,0.270896,1.212203,[2 9] ; [ 2 28],[1.07317073 9.92682927] ; [ 2.92682927 27.07317073],0
a2,1,0.270896,1.212203,[2 9] ; [ 2 28],[1.07317073 9.92682927] ; [ 2.92682927 27.07317073],0
s1,1,0.270896,1.212203,[2 9] ; [ 2 28],[1.07317073 9.92682927] ; [ 2.92682927 27.07317073],0
v4,1,0.307917,1.039589,[10  1] ; [23  7],[8.85365854 2.14634146] ; [24.14634146  5.85365854],0
d2,1,0.342558,0.900833,[6 5] ; [11 18],[4.675 6.325] ; [12.325 16.675],0
p3,1,0.345779,0.888889,[5 5] ; [10 20],[3.75 6.25] ; [11.25 18.75],0
r4,1,0.355168,0.854906,[5 6] ; [ 9 21],[3.75609756 7.24390244] ; [10.24390244 19.75609756],0
p11,1,0.437857,0.601892,[4 7] ; [15 15],[5.09756098 5.90243902] ; [13.90243902 16.09756098],0
s8,1,0.439391,0.597871,[4 7] ; [ 7 22],[3.025 7.975] ; [ 7.975 21.025],0
b2,1,0.453508,0.56187,[3 4] ; [ 7 18],[2.1875 4.8125] ; [ 7.8125 17.1875],0
b3,1,0.453508,0.56187,[3 4] ; [ 7 18],[2.1875 4.8125] ; [ 7.8125 17.1875],0
p4,1,0.465209,0.533333,[6 4] ; [14 16],[5. 5.] ; [15. 15.],0
r2,1,0.50371,0.447112,[8 2] ; [20  9],[7.17948718 2.82051282] ; [20.82051282  8.17948718],0
n5,1,0.54313,0.369769,[10  1] ; [25  5],[9.3902439 1.6097561] ; [25.6097561  4.3902439],0
a7,1,0.555863,0.346918,[4 7] ; [14 16],[4.82926829 6.17073171] ; [13.17073171 16.82926829],0
s7,1,0.573683,0.316558,[5 6] ; [10 18],[4.23076923 6.76923077] ; [10.76923077 17.23076923],0
p2,1,0.579585,0.306905,[5 5] ; [18 12],[5.75 4.25] ; [17.25 12.75],0
s6,1,0.582626,0.302009,[6 5] ; [13 16],[5.225 5.775] ; [13.775 15.225],0
b5,1,0.609283,0.26122,[6 5] ; [19 11],[6.70731707 4.29268293] ; [18.29268293 11.70731707],0
s2,1,0.609283,0.26122,[5 6] ; [11 19],[4.29268293 6.70731707] ; [11.70731707 18.29268293],0
a4,1,0.635175,0.225108,[4 7] ; [ 8 20],[3.38461538 7.61538462] ; [ 8.61538462 19.38461538],0
p10,1,0.688156,0.161089,[7 4] ; [17 13],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
b1,1,0.688156,0.161089,[7 4] ; [17 13],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
s3,1,0.7437,0.106901,[3 7] ; [10 18],[3.42105263 6.57894737] ; [ 9.57894737 18.42105263],0
n1,1,0.75235,0.099567,[4 3] ; [8 8],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
d1,1,0.75344,0.098663,[5 6] ; [12 18],[4.56097561 6.43902439] ; [12.43902439 17.56097561],0
p9,1,0.789536,0.071243,[6 5] ; [16 11],[6.36842105 4.63157895] ; [15.63157895 11.36842105],0
a1,1,0.791701,0.06975,[ 1 10] ; [ 2 28],[ 0.80487805 10.19512195] ; [ 2.19512195 27.80487805],0
a6,1,0.796415,0.066558,[5 6] ; [15 15],[5.36585366 5.63414634] ; [14.63414634 15.36585366],0
s5,1,0.81668,0.053739,[3 8] ; [ 9 20],[3.3 7.7] ; [ 8.7 20.3],0
b4,1,0.832506,0.044727,[7 4] ; [18 12],[6.70731707 4.29268293] ; [18.29268293 11.70731707],0
d5,1,0.832506,0.044727,[7 4] ; [18 12],[6.70731707 4.29268293] ; [18.29268293 11.70731707],0
p1,1,0.909048,0.013051,[2 9] ; [ 5 25],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
d3,1,0.94502,0.004756,[6 5] ; [16 14],[5.90243902 5.09756098] ; [16.09756098 13.90243902],0
n4,1,0.969044,0.001506,[8 3] ; [22  8],[8.04878049 2.95121951] ; [21.95121951  8.04878049],0
d4,1,0.98576,0.000319,[7 4] ; [19 11],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
