Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.736293,[15  2] ; [ 5 25],[7.23404255 9.76595745] ; [12.76595745 17.23404255],1
p2,1,0.003945,8.30875,[10  6] ; [ 6 24],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
r3,1,0.005764,7.62258,[11  5] ; [ 8 22],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
p11,1,0.014971,5.919904,[10  7] ; [ 7 23],[ 6.14893617 10.85106383] ; [10.85106383 19.14893617],0
n3,1,0.054514,3.696875,[4 1] ; [ 5 11],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
p3,1,0.064082,3.428455,[ 7 10] ; [ 5 25],[ 4.34042553 12.65957447] ; [ 7.65957447 22.34042553],0
n6,1,0.070214,3.278017,[10  6] ; [10 19],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
a5,1,0.071975,3.237387,[12  5] ; [13 17],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
s8,1,0.096004,2.7707,[ 4 13] ; [ 2 28],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
p5,1,0.099009,2.721433,[ 3 14] ; [ 1 28],[ 1.47826087 15.52173913] ; [ 2.52173913 26.47826087],0
d4,1,0.116911,2.458223,[13  4] ; [16 14],[10.4893617  6.5106383] ; [18.5106383 11.4893617],0
s7,1,0.140871,2.168415,[ 5 12] ; [ 3 23],[ 3.1627907 13.8372093] ; [ 4.8372093 21.1627907],0
v1,1,0.147271,2.100292,[ 6 11] ; [ 5 25],[ 3.9787234 13.0212766] ; [ 7.0212766 22.9787234],0
n2,1,0.147299,2.1,[3 2] ; [ 4 12],[1.66666667 3.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.148974,2.08273,[ 3 14] ; [11 18],[ 5.17391304 11.82608696] ; [ 8.82608696 20.17391304],0
p7,1,0.156305,2.009614,[8 9] ; [ 8 22],[ 5.78723404 11.21276596] ; [10.21276596 19.78723404],0
b4,1,0.17016,1.881536,[12  5] ; [15 15],[9.76595745 7.23404255] ; [17.23404255 12.76595745],0
a1,1,0.191477,1.706218,[ 1 16] ; [ 6 24],[ 2.53191489 14.46808511] ; [ 4.46808511 25.53191489],0
a8,1,0.229489,1.444026,[ 4 13] ; [ 3 26],[ 2.58695652 14.41304348] ; [ 4.41304348 24.58695652],0
b3,1,0.25341,1.304405,[7 6] ; [ 6 12],[5.4516129 7.5483871] ; [ 7.5483871 10.4516129],0
b2,1,0.25341,1.304405,[7 6] ; [ 6 12],[5.4516129 7.5483871] ; [ 7.5483871 10.4516129],0
a3,1,0.301099,1.06932,[12  5] ; [16 13],[10.34782609  6.65217391] ; [17.65217391 11.34782609],0
p4,1,0.304971,1.052332,[ 5 12] ; [ 5 25],[ 3.61702128 13.38297872] ; [ 6.38297872 23.61702128],0
p8,1,0.334068,0.933063,[ 5 12] ; [ 5 24],[ 3.69565217 13.30434783] ; [ 6.30434783 22.69565217],0
p1,1,0.371484,0.798693,[ 4 13] ; [ 4 26],[ 2.89361702 14.10638298] ; [ 5.10638298 24.89361702],0
r4,1,0.371484,0.798693,[ 4 13] ; [ 4 26],[ 2.89361702 14.10638298] ; [ 5.10638298 24.89361702],0
u2,1,0.418222,0.655306,[2 3] ; [ 3 11],[1.31578947 3.68421053] ; [ 3.68421053 10.31578947],0
s5,1,0.450339,0.569799,[ 3 14] ; [ 3 27],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
r2,1,0.463101,0.538388,[7 9] ; [16 13],[8.17777778 7.82222222] ; [14.82222222 14.17777778],0
s6,1,0.497409,0.46046,[ 4 12] ; [ 5 25],[ 3.13043478 12.86956522] ; [ 5.86956522 24.13043478],0
d2,1,0.526171,0.401781,[ 6 11] ; [13 16],[7.02173913 9.97826087] ; [11.97826087 17.02173913],0
p6,1,0.527214,0.399758,[ 2 14] ; [ 2 27],[ 1.42222222 14.57777778] ; [ 2.57777778 26.42222222],0
d1,1,0.534314,0.386181,[ 6 11] ; [ 8 22],[ 5.06382979 11.93617021] ; [ 8.93617021 21.06382979],0
n5,1,0.614021,0.25436,[12  5] ; [19 11],[11.21276596  5.78723404] ; [19.78723404 10.21276596],0
a2,1,0.626902,0.236286,[ 1 16] ; [ 3 27],[ 1.44680851 15.55319149] ; [ 2.55319149 27.44680851],0
d3,1,0.638145,0.221176,[8 9] ; [12 18],[7.23404255 9.76595745] ; [12.76595745 17.23404255],0
s4,1,0.650153,0.205707,[ 2 15] ; [ 5 25],[ 2.53191489 14.46808511] ; [ 4.46808511 25.53191489],0
v3,1,0.650153,0.205707,[ 2 15] ; [ 5 25],[ 2.53191489 14.46808511] ; [ 4.46808511 25.53191489],0
s1,1,0.650153,0.205707,[ 2 15] ; [ 5 25],[ 2.53191489 14.46808511] ; [ 4.46808511 25.53191489],0
a6,1,0.679262,0.170958,[8 9] ; [16 14],[8.68085106 8.31914894] ; [15.31914894 14.68085106],0
d5,1,0.679262,0.170958,[9 8] ; [14 16],[8.31914894 8.68085106] ; [14.68085106 15.31914894],0
n4,1,0.759908,0.093393,[10  7] ; [19 11],[10.4893617  6.5106383] ; [18.5106383 11.4893617],0
u3,1,0.763573,0.090476,[1 4] ; [ 2 12],[0.78947368 4.21052632] ; [ 2.21052632 11.78947368],0
a7,1,0.80503,0.060932,[8 9] ; [13 17],[7.59574468 9.40425532] ; [13.40425532 16.59574468],0
s2,1,0.84384,0.038803,[ 3 14] ; [ 6 24],[ 3.25531915 13.74468085] ; [ 5.74468085 24.25531915],0
b1,1,0.885737,0.02065,[10  7] ; [17 13],[9.76595745 7.23404255] ; [17.23404255 12.76595745],0
s3,1,0.908086,0.013329,[ 5 12] ; [ 9 20],[ 5.17391304 11.82608696] ; [ 8.82608696 20.17391304],0
n1,1,0.919964,0.010096,[2 3] ; [ 6 10],[1.9047619 3.0952381] ; [6.0952381 9.9047619],0
r1,1,0.925032,0.008854,[ 6 11] ; [11 19],[ 6.14893617 10.85106383] ; [10.85106383 19.14893617],0
b5,1,0.979346,0.00067,[8 9] ; [14 16],[7.95744681 9.04255319] ; [14.04255319 15.95744681],0
