Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.006738,7.341532,[ 4 14] ; [27 18],[8.85714286 9.14285714] ; [22.14285714 22.85714286],0
b2,1,0.006738,7.341532,[ 4 14] ; [27 18],[8.85714286 9.14285714] ; [22.14285714 22.85714286],0
s7,1,0.016913,5.705402,[22  6] ; [35 32],[16.8 11.2] ; [40.2 26.8],0
s6,1,0.022238,5.227061,[27  1] ; [50 15],[23.1827957  4.8172043] ; [53.8172043 11.1827957],0
r1,1,0.027515,4.858177,[19 10] ; [58 10],[23.02061856  5.97938144] ; [53.97938144 14.02061856],0
n4,1,0.049308,3.864845,[19 10] ; [56 11],[22.65625  6.34375] ; [52.34375 14.65625],0
p5,1,0.050274,3.832297,[ 2 27] ; [16 51],[ 5.4375 23.5625] ; [12.5625 54.4375],0
a6,1,0.063652,3.439571,[ 7 22] ; [30 38],[11.06185567 17.93814433] ; [25.93814433 42.06185567],0
v2,1,0.10726,2.59414,[11 17] ; [39 29],[14.58333333 13.41666667] ; [35.41666667 32.58333333],0
p6,1,0.113438,2.505653,[16 12] ; [26 40],[12.5106383 15.4893617] ; [29.4893617 36.5106383],0
n5,1,0.113673,2.502395,[20  9] ; [55 11],[22.89473684  6.10526316] ; [52.10526316 13.89473684],0
a4,1,0.137208,2.208992,[18 11] ; [31 37],[14.64948454 14.35051546] ; [34.35051546 33.64948454],0
n6,1,0.139086,2.188044,[22  7] ; [58  8],[24.42105263  4.57894737] ; [55.57894737 10.42105263],0
p2,1,0.207286,1.59028,[21  8] ; [56 11],[23.26041667  5.73958333] ; [53.73958333 13.26041667],0
u2,1,0.216201,1.529412,[6 3] ; [ 7 10],[4.5 4.5] ; [8.5 8.5],0
v1,1,0.216468,1.52763,[15 14] ; [43 23],[17.70526316 11.29473684] ; [40.29473684 25.70526316],0
b5,1,0.225942,1.466224,[ 7 22] ; [25 43],[ 9.56701031 19.43298969] ; [22.43298969 45.56701031],0
p1,1,0.231306,1.432814,[ 5 24] ; [ 6 62],[ 3.28865979 25.71134021] ; [ 7.71134021 60.28865979],0
d4,1,0.264738,1.243811,[23  6] ; [59  8],[24.77083333  4.22916667] ; [57.22916667  9.77083333],0
a5,1,0.264855,1.243199,[19 10] ; [52 16],[21.22680412  7.77319588] ; [49.77319588 18.22680412],0
n2,1,0.276986,1.181818,[12  1] ; [10  3],[11.  2.] ; [11.  2.],0
p8,1,0.281064,1.161937,[18 10] ; [35 32],[15.62105263 12.37894737] ; [37.37894737 29.62105263],0
b1,1,0.297099,1.087169,[17 12] ; [32 36],[14.64948454 14.35051546] ; [34.35051546 33.64948454],0
p11,1,0.353868,0.859538,[21  8] ; [55 13],[22.72164948  6.27835052] ; [53.27835052 14.72164948],0
s1,1,0.36976,0.804472,[ 2 27] ; [ 2 66],[ 1.19587629 27.80412371] ; [ 2.80412371 65.19587629],0
d3,1,0.387209,0.747688,[16 13] ; [31 37],[14.05154639 14.94845361] ; [32.94845361 35.05154639],0
d2,1,0.407408,0.686353,[18 11] ; [36 32],[16.1443299 12.8556701] ; [37.8556701 30.1443299],0
s2,1,0.41834,0.654975,[20  9] ; [41 27],[18.2371134 10.7628866] ; [42.7628866 25.2371134],0
r3,1,0.436817,0.60463,[26  3] ; [64  4],[26.90721649  2.09278351] ; [63.09278351  4.90721649],0
r2,1,0.436817,0.60463,[26  3] ; [64  4],[26.90721649  2.09278351] ; [63.09278351  4.90721649],0
v4,1,0.464872,0.534138,[28  1] ; [63  5],[27.20618557  1.79381443] ; [63.79381443  4.20618557],0
a2,1,0.47039,0.52106,[ 2 27] ; [ 8 60],[ 2.98969072 26.01030928] ; [ 7.01030928 60.98969072],0
d5,1,0.508528,0.437095,[25  4] ; [54 13],[23.86458333  5.13541667] ; [55.13541667 11.86458333],0
a3,1,0.566554,0.328483,[20  9] ; [50 17],[21.14583333  7.85416667] ; [48.85416667 18.14583333],0
a1,1,0.59749,0.278798,[ 2 27] ; [ 7 61],[ 2.69072165 26.30927835] ; [ 6.30927835 61.69072165],0
r4,1,0.618802,0.247555,[25  4] ; [61  7],[25.71134021  3.28865979] ; [60.28865979  7.71134021],0
p7,1,0.682385,0.167453,[22  6] ; [50 17],[21.22105263  6.77894737] ; [50.77894737 16.22105263],0
n1,1,0.694887,0.153846,[6 7] ; [7 6],[6.5 6.5] ; [6.5 6.5],0
v3,1,0.714926,0.133407,[10 18] ; [27 41],[10.79166667 17.20833333] ; [26.20833333 41.79166667],0
p12,1,0.72283,0.125797,[ 2 27] ; [ 6 60],[ 2.44210526 26.55789474] ; [ 5.55789474 60.44210526],0
s8,1,0.738179,0.111733,[16 13] ; [35 33],[15.24742268 13.75257732] ; [35.75257732 32.24742268],0
s3,1,0.789113,0.071536,[20  9] ; [45 23],[19.43298969  9.56701031] ; [45.56701031 22.43298969],0
d1,1,0.803218,0.062093,[17 12] ; [38 30],[16.44329897 12.55670103] ; [38.55670103 29.44329897],0
u1,1,0.827054,0.047734,[ 1 28] ; [ 3 65],[ 1.19587629 27.80412371] ; [ 2.80412371 65.19587629],0
n3,1,0.87018,0.026709,[8 5] ; [7 5],[7.8 5.2] ; [7.2 4.8],0
p9,1,0.920816,0.009882,[24  5] ; [56 11],[24.16666667  4.83333333] ; [55.83333333 11.16666667],0
p4,1,0.93554,0.006541,[18 11] ; [41 26],[17.82291667 11.17708333] ; [41.17708333 25.82291667],0
p3,1,0.93554,0.006541,[18 11] ; [41 26],[17.82291667 11.17708333] ; [41.17708333 25.82291667],0
b4,1,0.949975,0.003936,[19 10] ; [45 23],[19.13402062  9.86597938] ; [44.86597938 23.13402062],0
p10,1,0.981806,0.00052,[23  6] ; [53 14],[22.95833333  6.04166667] ; [53.04166667 13.95833333],0
u3,1,1.0,0.0,[5 4] ; [10  8],[5. 4.] ; [10.  8.],0
