Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4.3e-05,16.729187,[4 5] ; [ 4 82],[0.75789474 8.24210526] ; [ 7.24210526 78.75789474],1
a1,1,0.000587,11.815409,[2 7] ; [ 1 85],[0.28421053 8.71578947] ; [ 2.71578947 83.28421053],1
v1,1,0.010673,6.518999,[8 1] ; [38 48],[4.35789474 4.64210526] ; [41.64210526 44.35789474],0
d2,1,0.018573,5.54128,[8 1] ; [41 45],[4.64210526 4.35789474] ; [44.35789474 41.64210526],0
p1,1,0.032055,4.59554,[3 6] ; [ 8 78],[1.04210526 7.95789474] ; [ 9.95789474 76.04210526],0
s1,1,0.040935,4.178709,[2 7] ; [ 4 81],[0.57446809 8.42553191] ; [ 5.42553191 79.57446809],0
p6,1,0.098389,2.731465,[7 2] ; [41 43],[4.64516129 4.35483871] ; [43.35483871 40.64516129],0
p3,1,0.144411,2.130312,[7 2] ; [45 41],[4.92631579 4.07368421] ; [47.07368421 38.92631579],0
s5,1,0.205632,1.601915,[6 1] ; [50 31],[4.45454545 2.54545455] ; [51.54545455 29.45454545],0
p8,1,0.246397,1.343617,[7 2] ; [48 35],[5.38043478 3.61956522] ; [49.61956522 33.38043478],0
p11,1,0.334932,0.929733,[8 1] ; [64 22],[6.82105263 2.17894737] ; [65.17894737 20.82105263],0
a2,1,0.367885,0.810796,[1 8] ; [21 65],[2.08421053 6.91578947] ; [19.91578947 66.08421053],0
a6,1,0.372195,0.796324,[7 2] ; [54 32],[5.77894737 3.22105263] ; [55.22105263 30.77894737],0
a8,1,0.382275,0.763373,[1 7] ; [ 4 76],[0.45454545 7.54545455] ; [ 4.54545455 75.45454545],0
v3,1,0.441654,0.591981,[4 5] ; [27 58],[2.96808511 6.03191489] ; [28.03191489 56.96808511],0
v2,1,0.509696,0.434691,[5 4] ; [37 47],[4.06451613 4.93548387] ; [37.93548387 46.06451613],0
b4,1,0.51441,0.425085,[4 5] ; [48 38],[4.92631579 4.07368421] ; [47.07368421 38.92631579],0
d5,1,0.576833,0.311383,[8 1] ; [70 16],[7.38947368 1.61052632] ; [70.61052632 15.38947368],0
s3,1,0.629201,0.233146,[8 1] ; [71 15],[7.48421053 1.51578947] ; [71.51578947 14.48421053],0
b2,1,0.658925,0.194832,[2 4] ; [13 39],[1.55172414 4.44827586] ; [13.44827586 38.55172414],0
b3,1,0.658925,0.194832,[2 4] ; [13 39],[1.55172414 4.44827586] ; [13.44827586 38.55172414],0
a5,1,0.664766,0.187785,[7 2] ; [61 25],[6.44210526 2.55789474] ; [61.55789474 24.44210526],0
b5,1,0.670328,0.181219,[5 4] ; [54 32],[5.58947368 3.41052632] ; [53.41052632 32.58947368],0
b1,1,0.827895,0.047264,[4 5] ; [35 51],[3.69473684 5.30526316] ; [35.30526316 50.69473684],0
a7,1,0.87166,0.026098,[6 3] ; [55 31],[5.77894737 3.22105263] ; [55.22105263 30.77894737],0
u1,1,0.88364,0.02142,[2 7] ; [21 65],[2.17894737 6.82105263] ; [20.82105263 65.17894737],0
d3,1,0.88364,0.02142,[7 2] ; [65 21],[6.82105263 2.17894737] ; [65.17894737 20.82105263],0
a4,1,0.958638,0.00269,[4 5] ; [39 47],[4.07368421 4.92631579] ; [38.92631579 47.07368421],0
