Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,37.176258,[48 85] ; [114  45],[73.78767123 59.21232877] ; [88.21232877 70.78767123],1
v3,1,0.0,35.690269,[ 26 109] ; [84 74],[50.68259386 84.31740614] ; [59.31740614 98.68259386],1
p10,1,0.0,25.770455,[89 45] ; [143  15],[106.46575342  27.53424658] ; [125.53424658  32.46575342],1
p3,1,4e-06,21.122511,[44 90] ; [95 64],[63.56996587 70.43003413] ; [75.43003413 83.56996587],1
p4,1,4.9e-05,16.498298,[60 74] ; [108  50],[77.09589041 56.90410959] ; [90.90410959 67.09589041],1
p7,1,9e-05,15.345226,[63 71] ; [110  48],[79.39041096 54.60958904] ; [93.60958904 64.39041096],1
v4,1,9.3e-05,15.276865,[113  22] ; [155   5],[122.6440678  12.3559322] ; [145.3559322  14.6440678],1
r1,1,0.000219,13.664243,[84 50] ; [131  29],[97.99319728 36.00680272] ; [117.00680272  42.99319728],1
d5,1,0.00052,12.042832,[94 41] ; [138  22],[106.16949153  28.83050847] ; [125.83050847  34.16949153],1
p11,1,0.001655,9.897863,[91 44] ; [133  27],[102.50847458  32.49152542] ; [121.49152542  38.50847458],0
r4,1,0.001876,9.666625,[100  35] ; [141  19],[110.28813559  24.71186441] ; [130.71186441  29.28813559],0
r3,1,0.001974,9.573887,[110  24] ; [149  10],[118.45051195  15.54948805] ; [140.54948805  18.45051195],0
p9,1,0.002239,9.34264,[96 35] ; [139  20],[106.15517241  24.84482759] ; [128.84482759  30.15517241],0
d1,1,0.002474,9.160045,[58 77] ; [97 63],[70.93220339 64.06779661] ; [84.06779661 75.93220339],0
p2,1,0.003243,8.665676,[94 39] ; [135  24],[104.30479452  28.69520548] ; [124.69520548  34.30479452],0
d3,1,0.00395,8.306855,[71 63] ; [111  49],[82.95238095 51.04761905] ; [99.04761905 60.95238095],0
d4,1,0.004388,8.115768,[93 42] ; [132  27],[103.31632653  31.68367347] ; [121.68367347  37.31632653],0
u1,1,0.011662,6.361592,[ 14 121] ; [ 34 126],[ 21.96610169 113.03389831] ; [ 26.03389831 133.96610169],0
p6,1,0.018088,5.587566,[34 99] ; [61 97],[43.41924399 89.58075601] ; [ 51.58075601 106.41924399],0
a4,1,0.019404,5.464779,[50 84] ; [81 78],[59.9112628 74.0887372] ; [71.0887372 87.9112628],0
s5,1,0.024662,5.047493,[ 23 110] ; [ 45 113],[ 31.0790378 101.9209622] ; [ 36.9209622 121.0790378],0
s6,1,0.02743,4.863544,[51 81] ; [82 77],[60.32989691 71.67010309] ; [72.67010309 86.32989691],0
a5,1,0.028043,4.825408,[92 43] ; [127  33],[100.22033898  34.77966102] ; [118.77966102  41.22033898],0
s7,1,0.03403,4.49318,[30 99] ; [51 95],[37.99636364 91.00363636] ; [ 43.00363636 102.99636364],0
s8,1,0.035017,4.444361,[ 27 107] ; [ 49 109],[34.87671233 99.12328767] ; [ 41.12328767 116.87671233],0
p8,1,0.035649,4.413806,[59 74] ; [88 67],[67.88541667 65.11458333] ; [79.11458333 75.88541667],0
a2,1,0.048233,3.901864,[ 24 111] ; [ 44 116],[ 31.11864407 103.88135593] ; [ 36.88135593 123.11864407],0
n4,1,0.054376,3.701128,[109  26] ; [142  18],[114.86440678  20.13559322] ; [136.13559322  23.86440678],0
a7,1,0.061845,3.487209,[82 53] ; [113  46],[89.54081633 45.45918367] ; [105.45918367  53.54081633],0
n3,1,0.064953,3.406165,[23 18] ; [26  8],[26.78666667 14.21333333] ; [22.21333333 11.78666667],0
n2,1,0.086796,2.932821,[27 17] ; [27  7],[30.46153846 13.53846154] ; [23.53846154 10.46153846],0
d2,1,0.101824,2.676742,[55 78] ; [81 78],[61.94520548 71.05479452] ; [74.05479452 84.94520548],0
p5,1,0.133875,2.246989,[ 11 123] ; [ 22 138],[ 15.04081633 118.95918367] ; [ 17.95918367 142.04081633],0
b1,1,0.17128,1.871702,[56 79] ; [ 54 106],[50.33898305 84.66101695] ; [ 59.66101695 100.33898305],0
a3,1,0.221479,1.494761,[85 48] ; [113  47],[89.87713311 43.12286689] ; [108.12286689  51.87713311],0
n6,1,0.260099,1.26823,[114  19] ; [144  16],[117.11262799  15.88737201] ; [140.88737201  19.11262799],0
u3,1,0.269952,1.216991,[21 29] ; [25 22],[23.71134021 26.28865979] ; [22.28865979 24.71134021],0
s2,1,0.27323,1.200459,[ 16 118] ; [ 26 132],[ 19.2739726 114.7260274] ; [ 22.7260274 135.2739726],0
s4,1,0.278326,1.175247,[ 17 115] ; [ 14 143],[ 14.15916955 117.84083045] ; [ 16.84083045 140.15916955],0
p1,1,0.28285,1.153343,[ 14 121] ; [ 11 149],[ 11.44067797 123.55932203] ; [ 13.55932203 146.44067797],0
u2,1,0.46187,0.541359,[24 26] ; [25 20],[25.78947368 24.21052632] ; [23.21052632 21.78947368],0
n1,1,0.465413,0.532846,[17 25] ; [11 23],[15.47368421 26.52631579] ; [12.52631579 21.47368421],0
