Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,80.007599,[ 1 43] ; [190  71],[27.55409836 16.44590164] ; [163.44590164  97.55409836],1
d5,1,0.0,45.516643,[22 22] ; [235  26],[37.07540984  6.92459016] ; [219.92459016  41.07540984],1
d3,1,0.0,31.961095,[15 29] ; [199  62],[30.87213115 13.12786885] ; [183.12786885  77.87213115],1
a4,1,1e-06,24.680215,[ 4 40] ; [128 132],[19.10526316 24.89473684] ; [112.89473684 147.10526316],1
d2,1,6e-06,20.608228,[ 8 36] ; [144 117],[21.92786885 22.07213115] ; [130.07213115 130.92786885],1
a3,1,8e-05,15.557906,[22 22] ; [204  57],[32.60327869 11.39672131] ; [193.39672131  67.60327869],1
a5,1,0.000124,14.724977,[24 20] ; [211  50],[33.90163934 10.09836066] ; [201.09836066  59.90163934],1
a2,1,0.00148,10.103294,[ 2 42] ; [ 69 192],[10.24262295 33.75737705] ; [ 60.75737705 200.24262295],0
r1,1,0.015628,5.844257,[32 12] ; [225  34],[37.32013201  6.67986799] ; [219.67986799  39.32013201],0
a6,1,0.030898,4.658593,[24 20] ; [185  76],[30.15081967 13.84918033] ; [178.84918033  82.15081967],0
b4,1,0.050053,3.839693,[19 25] ; [154 107],[24.95737705 19.04262295] ; [148.04262295 112.95737705],0
a8,1,0.060717,3.517689,[ 2 39] ; [ 37 194],[ 5.87867647 35.12132353] ; [ 33.12132353 197.87867647],0
n4,1,0.092617,2.828286,[28 16] ; [196  63],[32.52805281 11.47194719] ; [191.47194719  67.52805281],0
n3,1,0.098628,2.727596,[13  1] ; [38 15],[10.65671642  3.34328358] ; [40.34328358 12.65671642],0
u2,1,0.112039,2.52522,[ 7 15] ; [28 26],[10.13157895 11.86842105] ; [24.86842105 29.13157895],0
v3,1,0.123261,2.375393,[19 25] ; [141 112],[23.7037037 20.2962963] ; [136.2962963 116.7037037],0
b3,1,0.142983,2.145562,[ 5 20] ; [ 56 105],[ 8.19892473 16.80107527] ; [ 52.80107527 108.19892473],0
b2,1,0.142983,2.145562,[ 5 20] ; [ 56 105],[ 8.19892473 16.80107527] ; [ 52.80107527 108.19892473],0
s5,1,0.178271,1.811976,[10 34] ; [ 83 169],[13.82432432 30.17567568] ; [ 79.17567568 172.82432432],0
s2,1,0.193939,1.687441,[16 27] ; [124 135],[19.93377483 23.06622517] ; [120.06622517 138.93377483],0
a7,1,0.200017,1.642249,[29 15] ; [196  65],[32.45901639 11.54098361] ; [192.54098361  68.45901639],0
s7,1,0.205207,1.604921,[15 27] ; [116 135],[18.778157 23.221843] ; [112.221843 138.778157],0
p5,1,0.21454,1.540521,[ 1 43] ; [ 19 242],[ 2.8852459 41.1147541] ; [ 17.1147541 243.8852459],0
v1,1,0.268903,1.222333,[21 22] ; [147 107],[24.32323232 18.67676768] ; [143.67676768 110.32323232],0
p1,1,0.380391,0.769439,[ 1 43] ; [ 14 247],[ 2.16393443 41.83606557] ; [ 12.83606557 248.16393443],0
p9,1,0.447959,0.57581,[38  6] ; [209  47],[36.22666667  7.77333333] ; [210.77333333  45.22666667],0
b5,1,0.459226,0.54778,[23 21] ; [152 109],[25.24590164 18.75409836] ; [149.75409836 111.24590164],0
u3,1,0.476344,0.507222,[10 12] ; [31 26],[11.41772152 10.58227848] ; [29.58227848 27.41772152],0
n6,1,0.538472,0.37838,[35  9] ; [215  43],[36.42384106  7.57615894] ; [213.57615894  44.42384106],0
s1,1,0.556457,0.345876,[ 1 43] ; [  3 253],[ 0.58666667 43.41333333] ; [  3.41333333 252.58666667],0
b1,1,0.584828,0.298494,[16 28] ; [ 84 177],[14.42622951 29.57377049] ; [ 85.57377049 175.42622951],0
s4,1,0.617973,0.248727,[ 7 37] ; [ 34 225],[ 5.95379538 38.04620462] ; [ 35.04620462 223.95379538],0
r4,1,0.626849,0.236358,[38  6] ; [232  29],[38.95081967  5.04918033] ; [231.04918033  29.95081967],0
v4,1,0.691403,0.157571,[41  2] ; [242  16],[40.42857143  2.57142857] ; [242.57142857  15.42857143],0
r2,1,0.697432,0.151157,[40  3] ; [241  14],[40.54697987  2.45302013] ; [240.45302013  14.54697987],0
p2,1,0.713679,0.13463,[34 10] ; [208  53],[34.91147541  9.08852459] ; [207.08852459  53.91147541],0
p8,1,0.729861,0.119239,[21 23] ; [115 141],[19.94666667 24.05333333] ; [116.05333333 139.94666667],0
n5,1,0.745186,0.10562,[32 12] ; [180  76],[31.09333333 12.90666667] ; [180.90666667  75.09333333],0
p11,1,0.840264,0.040625,[35  9] ; [211  50],[35.48852459  8.51147541] ; [210.51147541  50.48852459],0
