Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,138.155711,[407  32] ; [65 69],[361.61954625  77.38045375] ; [110.38045375  23.61954625],1
n6,1,0.0,81.934339,[405  32] ; [81 52],[372.6  64.4] ; [113.4  19.6],1
p10,1,3.2e-05,17.29312,[376  57] ; [95 38],[360.32332155  72.67667845] ; [110.67667845  22.32332155],1
p9,1,5.1e-05,16.411125,[383  49] ; [99 34],[368.5380531  63.4619469] ; [113.4619469  19.5380531],1
v1,1,0.00011,14.964291,[269 161] ; [57 74],[249.87522282 180.12477718] ; [76.12477718 54.87522282],1
p4,1,0.000168,14.159238,[294 141] ; [66 67],[275.70422535 159.29577465] ; [84.29577465 48.70422535],1
s7,1,0.000354,12.761701,[241 176] ; [50 76],[223.47513812 193.52486188] ; [67.52486188 58.47513812],1
p11,1,0.000509,12.082788,[365  74] ; [93 41],[350.89354276  88.10645724] ; [107.10645724  26.89354276],1
s8,1,0.0009,11.023143,[227 205] ; [48 85],[210.26548673 221.73451327] ; [64.73451327 68.26548673],1
d2,1,0.002615,9.058388,[272 164] ; [64 70],[257.01052632 178.98947368] ; [78.98947368 55.01052632],0
v3,1,0.00366,8.445393,[200 224] ; [41 85],[185.78909091 238.21090909] ; [55.21090909 70.78909091],0
n1,1,0.006495,7.407499,[38 45] ; [ 7 29],[31.38655462 51.61344538] ; [13.61344538 22.38655462],0
v4,1,0.006777,7.331238,[427  11] ; [122  10],[421.86315789  16.13684211] ; [127.13684211   4.86315789],0
p8,1,0.007185,7.226013,[253 175] ; [61 72],[239.55793226 188.44206774] ; [74.44206774 58.55793226],0
a2,1,0.009895,6.653792,[161 278] ; [ 33 101],[148.63176265 290.36823735] ; [45.36823735 88.63176265],0
p5,1,0.012207,6.280585,[ 62 373] ; [  8 124],[ 53.7037037 381.2962963] ; [ 16.2962963 115.7037037],0
p3,1,0.013223,6.139028,[243 192] ; [58 75],[230.5193662 204.4806338] ; [70.4806338 62.5193662],0
n2,1,0.013494,6.103107,[68 17] ; [21 15],[62.52066116 22.47933884] ; [26.47933884  9.52066116],0
a8,1,0.013657,6.081891,[ 65 325] ; [  9 110],[ 56.69941061 333.30058939] ; [ 17.30058939 101.69941061],0
p6,1,0.01791,5.604948,[174 259] ; [38 94],[162.47079646 270.52920354] ; [49.52920354 82.47079646],0
s6,1,0.017964,5.599634,[309 119] ; [81 51],[298.07142857 129.92857143] ; [91.92857143 40.07142857],0
s5,1,0.019449,5.460689,[169 256] ; [36 91],[157.83514493 267.16485507] ; [47.16485507 79.83514493],0
p7,1,0.019713,5.437145,[291 135] ; [75 56],[279.92100539 146.07899461] ; [86.07899461 44.92100539],0
d1,1,0.026911,4.896489,[310 129] ; [81 53],[299.56195462 139.43804538] ; [91.43804538 42.56195462],0
s2,1,0.027628,4.85116,[235 196] ; [58 75],[223.90602837 207.09397163] ; [69.09397163 63.90602837],0
r4,1,0.030653,4.672317,[425  14] ; [124  10],[420.61256545  18.38743455] ; [128.38743455   5.61256545],0
u1,1,0.031302,4.636341,[119 320] ; [ 24 110],[109.55846422 329.44153578] ; [ 33.44153578 100.55846422],0
b2,1,0.037134,4.344273,[126 158] ; [24 53],[118.00554017 165.99445983] ; [31.99445983 45.00554017],0
b3,1,0.037134,4.344273,[126 158] ; [24 53],[118.00554017 165.99445983] ; [31.99445983 45.00554017],0
p12,1,0.050536,3.823583,[ 48 386] ; [  7 125],[ 42.17314488 391.82685512] ; [ 12.82685512 119.17314488],0
a3,1,0.063694,3.438495,[358  79] ; [100  34],[350.51838879  86.48161121] ; [107.48161121  26.51838879],0
a4,1,0.076442,3.138974,[250 187] ; [65 69],[241.07705779 195.92294221] ; [73.92294221 60.07705779],0
p2,1,0.11075,2.543489,[375  61] ; [106  26],[369.21830986  66.78169014] ; [111.78169014  20.21830986],0
s4,1,0.147945,2.093314,[ 64 366] ; [ 27 107],[ 69.37943262 360.62056738] ; [ 21.62056738 112.37943262],0
r2,1,0.169216,1.889878,[427  10] ; [126   6],[424.71177504  12.28822496] ; [128.28822496   3.71177504],0
d5,1,0.208855,1.579347,[377  59] ; [110  24],[372.5122807  63.4877193] ; [114.4877193  19.5122807],0
a1,1,0.210383,1.568791,[ 25 414] ; [  4 130],[ 22.21815009 416.78184991] ; [  6.78184991 127.21815009],0
b4,1,0.214488,1.540869,[252 187] ; [85 49],[258.19022688 180.80977312] ; [78.80977312 55.19022688],0
s3,1,0.295045,1.096458,[247 183] ; [69 63],[241.77935943 188.22064057] ; [74.22064057 57.77935943],0
b5,1,0.334797,0.930255,[263 176] ; [74 60],[258.19022688 180.80977312] ; [78.80977312 55.19022688],0
v2,1,0.363525,0.82568,[266 158] ; [74 53],[261.63339383 162.36660617] ; [78.36660617 48.63339383],0
b1,1,0.409707,0.679651,[178 261] ; [49 85],[173.91448517 265.08551483] ; [53.08551483 80.91448517],0
p1,1,0.505928,0.442479,[ 38 399] ; [  9 122],[ 36.16021127 400.83978873] ; [ 10.83978873 120.16021127],0
a6,1,0.612657,0.256324,[322 114] ; [96 38],[319.73333333 116.26666667] ; [98.26666667 35.73333333],0
r3,1,0.629284,0.233033,[421  17] ; [130   4],[421.91958042  16.08041958] ; [129.08041958   4.91958042],0
n3,1,0.647349,0.209259,[62 21] ; [24 10],[61.00854701 21.99145299] ; [24.99145299  9.00854701],0
u3,1,0.664565,0.188025,[48 33] ; [21 12],[49.02631579 31.97368421] ; [19.97368421 13.02631579],0
s1,1,0.680578,0.169475,[ 13 418] ; [  5 129],[ 13.73097345 417.26902655] ; [  4.26902655 129.73097345],0
d4,1,0.741922,0.108445,[379  57] ; [115  19],[377.86666667  58.13333333] ; [116.13333333  17.86666667],0
u2,1,0.873187,0.025476,[46 34] ; [19 15],[45.61403509 34.38596491] ; [19.38596491 14.61403509],0
d3,1,0.962521,0.002208,[327 110] ; [100  34],[326.79334501 110.20665499] ; [100.20665499  33.79334501],0
a7,1,0.995214,3.6e-05,[331 108] ; [101  33],[330.97382199 108.02617801] ; [101.02617801  32.97382199],0
