Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.6e-05,16.227857,[339  63] ; [20 15],[330.24713959  71.75286041] ; [28.75286041  6.24713959],1
d4,1,0.00024,13.487862,[347  55] ; [22 13],[339.44622426  62.55377574] ; [29.55377574  5.44622426],1
r3,1,0.000577,11.847982,[395   7] ; [32  4],[391.90410959  10.09589041] ; [35.09589041  0.90410959],1
d3,1,0.001355,10.266177,[298 105] ; [17 18],[289.82876712 113.17123288] ; [25.17123288  9.82876712],0
a3,1,0.00167,9.881365,[295 106] ; [17 18],[286.95412844 114.04587156] ; [25.04587156  9.95412844],0
n4,1,0.002033,9.519066,[331  71] ; [22 14],[323.98630137  78.01369863] ; [29.01369863  6.98630137],0
p7,1,0.002589,9.076303,[334  64] ; [23 13],[327.38709677  70.61290323] ; [29.61290323  6.38709677],0
p11,1,0.00458,8.038379,[350  53] ; [25 11],[344.24829157  58.75170843] ; [30.75170843  5.24829157],0
d2,1,0.004687,7.996413,[204 199] ; [ 9 26],[195.97945205 207.02054795] ; [17.02054795 17.97945205],0
p4,1,0.008325,6.962232,[301 101] ; [19 16],[294.37070938 107.62929062] ; [25.62929062  9.37070938],0
n6,1,0.008682,6.887014,[358  43] ; [26  9],[353.17431193  47.82568807] ; [30.82568807  4.17431193],0
p9,1,0.011647,6.363838,[364  36] ; [28  8],[359.63302752  40.36697248] ; [32.36697248  3.63302752],0
n5,1,0.013975,6.041278,[326  76] ; [23 13],[320.31506849  81.68493151] ; [28.68493151  7.31506849],0
d1,1,0.014146,6.019826,[262 141] ; [16 20],[255.20273349 147.79726651] ; [22.79726651 13.20273349],0
p10,1,0.015786,5.826551,[357  45] ; [27  9],[352.43835616  49.56164384] ; [31.56164384  4.43835616],0
s3,1,0.016715,5.726084,[238 163] ; [13 21],[231.3816092 169.6183908] ; [19.6183908 14.3816092],0
v1,1,0.019344,5.470152,[244 152] ; [15 21],[237.41666667 158.58333333] ; [21.58333333 14.41666667],0
s7,1,0.01985,5.425002,[209 175] ; [11 22],[202.58992806 181.41007194] ; [17.41007194 15.58992806],0
s8,1,0.021127,5.316301,[207 193] ; [11 24],[200.45977011 199.54022989] ; [17.54022989 17.45977011],0
r2,1,0.032603,4.566517,[391   9] ; [33  3],[388.99082569  11.00917431] ; [35.00917431  0.99082569],0
a2,1,0.04301,4.094996,[ 92 311] ; [ 3 33],[ 87.2095672 315.7904328] ; [ 7.7904328 28.2095672],0
r1,1,0.076743,3.132565,[354  48] ; [28  8],[350.60273973  51.39726027] ; [31.39726027  4.60273973],0
u1,1,0.162963,1.946518,[ 70 333] ; [ 3 33],[ 67.01366743 335.98633257] ; [ 5.98633257 30.01366743],0
s1,1,0.225752,1.467426,[  9 391] ; [ 2 34],[ 10.09174312 389.90825688] ; [ 0.90825688 35.09174312],0
a5,1,0.230375,1.438547,[315  88] ; [25 11],[312.11845103  90.88154897] ; [27.88154897  8.11845103],0
a7,1,0.235234,1.408929,[304  98] ; [24 12],[301.04109589 100.95890411] ; [26.95890411  9.04109589],0
p3,1,0.243903,1.357895,[258 144] ; [19 16],[254.81464531 147.18535469] ; [22.18535469 12.81464531],0
a4,1,0.276493,1.184249,[176 226] ; [12 23],[172.94279176 229.05720824] ; [15.05720824 19.94279176],0
a6,1,0.371691,0.798004,[271 131] ; [21 14],[268.61327231 133.38672769] ; [23.38672769 11.61327231],0
s6,1,0.406483,0.689065,[282 108] ; [23 12],[279.88235294 110.11764706] ; [25.11764706  9.88235294],0
n1,1,0.419497,0.651724,[24 34] ; [3 2],[24.85714286 33.14285714] ; [2.14285714 2.85714286],0
s2,1,0.432978,0.614822,[211 190] ; [16 19],[208.77752294 192.22247706] ; [18.22247706 16.77752294],0
v3,1,0.451644,0.566523,[178 214] ; [14 22],[175.85046729 216.14953271] ; [16.14953271 19.85046729],0
u2,1,0.461431,0.542421,[61 47] ; [ 9 10],[59.52755906 48.47244094] ; [10.47244094  8.52755906],0
p1,1,0.490295,0.475879,[ 49 352] ; [ 3 33],[ 47.71624714 353.28375286] ; [ 4.28375286 31.71624714],0
p12,1,0.492532,0.47099,[ 41 360] ; [ 5 31],[ 42.21052632 358.78947368] ; [ 3.78947368 32.21052632],0
v2,1,0.547824,0.361229,[233 159] ; [22 12],[234.64788732 157.35211268] ; [20.35211268 13.64788732],0
a8,1,0.575539,0.313503,[ 58 309] ; [ 4 29],[ 56.885 310.115] ; [ 5.115 27.885],0
b5,1,0.659843,0.193714,[228 175] ; [19 17],[226.74487472 176.25512528] ; [20.25512528 15.74487472],0
b2,1,0.660791,0.192564,[ 92 149] ; [ 7 14],[ 91.0648855 149.9351145] ; [ 7.9351145 13.0648855],0
b3,1,0.660791,0.192564,[ 92 149] ; [ 7 14],[ 91.0648855 149.9351145] ; [ 7.9351145 13.0648855],0
p6,1,0.663749,0.189002,[195 203] ; [19 17],[196.24884793 201.75115207] ; [17.75115207 18.24884793],0
s4,1,0.693818,0.154983,[ 65 331] ; [ 5 31],[ 64.16666667 331.83333333] ; [ 5.83333333 30.16666667],0
p5,1,0.724135,0.124565,[ 69 334] ; [ 7 29],[ 69.76765376 333.23234624] ; [ 6.23234624 29.76765376],0
v4,1,0.747781,0.103405,[395   8] ; [35  1],[394.738041   8.261959] ; [35.261959  0.738041],0
n3,1,0.772625,0.083488,[43 15] ; [4 1],[43.26984127 14.73015873] ; [3.73015873 1.26984127],0
u3,1,0.780753,0.077472,[60 47] ; [10  9],[59.44444444 47.55555556] ; [10.55555556  8.44444444],0
b4,1,0.792537,0.069179,[233 170] ; [20 16],[232.25284738 170.74715262] ; [20.74715262 15.25284738],0
b1,1,0.848824,0.036336,[152 251] ; [13 23],[151.46924829 251.53075171] ; [13.53075171 22.46924829],0
n2,1,0.915877,0.011157,[46 13] ; [4 1],[46.09375 12.90625] ; [3.90625 1.09375],0
s5,1,0.971431,0.001283,[154 234] ; [14 21],[154.09929078 233.90070922] ; [13.90070922 21.09929078],0
u4,1,0.986428,0.000289,[ 11 392] ; [ 1 35],[ 11.01594533 391.98405467] ; [ 0.98405467 35.01594533],0
