Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.495065,[15 38] ; [35 11],[26.76767677 26.23232323] ; [23.23232323 22.76767677],1
p10,1,9.2e-05,15.297438,[23 29] ; [38  8],[32.36734694 19.63265306] ; [28.63265306 17.36734694],1
p11,1,0.002186,9.386605,[29 25] ; [38  8],[36.18 17.82] ; [30.82 15.18],0
a7,1,0.003816,8.369266,[21 31] ; [32 14],[28.12244898 23.87755102] ; [24.87755102 21.12244898],0
p9,1,0.006155,7.504496,[29 22] ; [38  8],[35.22680412 15.77319588] ; [31.77319588 14.22680412],0
p4,1,0.006287,7.466225,[17 37] ; [27 19],[23.76 30.24] ; [20.24 25.76],0
p3,1,0.007036,7.263874,[14 40] ; [24 22],[20.52 33.48] ; [17.48 28.52],0
r3,1,0.009767,6.676819,[35 17] ; [41  5],[40.32653061 11.67346939] ; [35.67346939 10.32653061],0
r4,1,0.010287,6.584559,[29 25] ; [36 10],[35.1 18.9] ; [29.9 16.1],0
v2,1,0.013363,6.120423,[14 37] ; [23 21],[19.86315789 31.13684211] ; [17.13684211 26.86315789],0
p2,1,0.0169,5.706683,[30 24] ; [36 10],[35.64 18.36] ; [30.36 15.64],0
b2,1,0.026175,4.944405,[17 16] ; [ 6 20],[12.86440678 20.13559322] ; [10.13559322 15.86440678],0
b3,1,0.026175,4.944405,[17 16] ; [ 6 20],[12.86440678 20.13559322] ; [10.13559322 15.86440678],0
r1,1,0.02725,4.874877,[24 29] ; [31 15],[29.44444444 23.55555556] ; [25.55555556 20.44444444],0
v4,1,0.037222,4.340236,[40 13] ; [42  4],[43.8989899  9.1010101] ; [38.1010101  7.8989899],0
p1,1,0.05939,3.554352,[ 3 51] ; [ 8 38],[ 5.94 48.06] ; [ 5.06 40.94],0
s7,1,0.082572,3.01354,[ 8 44] ; [13 30],[11.49473684 40.50526316] ; [ 9.50526316 33.49473684],0
a5,1,0.108462,2.57649,[23 31] ; [27 19],[27. 27.] ; [23. 23.],0
a6,1,0.115329,2.479632,[28 26] ; [31 15],[31.86 22.14] ; [27.14 18.86],0
a8,1,0.136332,2.218881,[ 7 44] ; [ 2 41],[ 4.88297872 46.11702128] ; [ 4.11702128 38.88297872],0
v3,1,0.160162,1.972697,[10 43] ; [14 31],[12.97959184 40.02040816] ; [11.02040816 33.97959184],0
p5,1,0.161585,1.959329,[ 2 52] ; [ 5 41],[ 3.78 50.22] ; [ 3.22 42.78],0
p12,1,0.161585,1.959329,[ 2 52] ; [ 5 41],[ 3.78 50.22] ; [ 3.22 42.78],0
s6,1,0.191891,1.703036,[16 38] ; [19 26],[19.09090909 34.90909091] ; [15.90909091 29.09090909],0
d3,1,0.194656,1.68202,[ 9 43] ; [13 33],[11.67346939 40.32653061] ; [10.32653061 35.67346939],0
s5,1,0.234361,1.414194,[ 6 47] ; [ 9 36],[ 8.1122449 44.8877551] ; [ 6.8877551 38.1122449],0
d1,1,0.234941,1.410695,[ 1 53] ; [ 3 43],[ 2.16 51.84] ; [ 1.84 44.16],0
s8,1,0.24773,1.336062,[ 8 46] ; [11 35],[10.26 43.74] ; [ 8.74 37.26],0
n6,1,0.318554,0.994873,[33 20] ; [33 13],[35.33333333 17.66666667] ; [30.66666667 15.33333333],0
b5,1,0.345612,0.889502,[29 25] ; [29 17],[31.32 22.68] ; [26.68 19.32],0
r2,1,0.349515,0.875216,[41 12] ; [39  7],[42.82828283 10.17171717] ; [37.17171717  8.82828283],0
a3,1,0.353095,0.862303,[28 25] ; [20 26],[25.6969697 27.3030303] ; [22.3030303 23.6969697],0
a2,1,0.360819,0.835041,[ 5 49] ; [ 7 39],[ 6.48 47.52] ; [ 5.52 40.48],0
p6,1,0.366241,0.816378,[14 39] ; [16 30],[16.06060606 36.93939394] ; [13.93939394 32.06060606],0
u3,1,0.40223,0.701649,[10 16] ; [13 13],[11.5 14.5] ; [11.5 14.5],0
n5,1,0.405352,0.692391,[39 13] ; [31 15],[37.14285714 14.85714286] ; [32.85714286 13.14285714],0
n2,1,0.413272,0.669369,[14 10] ; [8 3],[15.08571429  8.91428571] ; [6.91428571 4.08571429],0
a4,1,0.487025,0.483092,[12 42] ; [13 33],[13.5 40.5] ; [11.5 34.5],0
s4,1,0.51443,0.425045,[ 6 48] ; [ 7 38],[ 7.09090909 46.90909091] ; [ 5.90909091 39.09090909],0
s2,1,0.523288,0.407407,[ 4 50] ; [ 5 40],[ 4.90909091 49.09090909] ; [ 4.09090909 40.90909091],0
v1,1,0.577755,0.309878,[19 34] ; [19 27],[20.34343434 32.65656566] ; [17.65656566 28.34343434],0
u2,1,0.5791,0.307692,[12 14] ; [14 12],[13. 13.] ; [13. 13.],0
n3,1,0.661461,0.191754,[15  8] ; [8 3],[15.55882353  7.44117647] ; [7.44117647 3.55882353],0
d5,1,0.690386,0.158668,[24 29] ; [19 27],[23.02020202 29.97979798] ; [19.97979798 26.02020202],0
n4,1,0.73643,0.113289,[34 19] ; [28 18],[33.19191919 19.80808081] ; [28.80808081 17.19191919],0
n1,1,0.833497,0.044192,[10 14] ; [5 6],[10.28571429 13.71428571] ; [4.71428571 6.28571429],0
d2,1,0.849454,0.03603,[15 39] ; [12 34],[14.58 39.42] ; [12.42 33.58],0
s1,1,0.867165,0.027976,[ 2 51] ; [ 2 43],[ 2.16326531 50.83673469] ; [ 1.83673469 43.16326531],0
u1,1,0.869869,0.026838,[ 2 52] ; [ 2 44],[ 2.16 51.84] ; [ 1.84 44.16],0
b1,1,0.903697,0.014639,[24 30] ; [21 25],[24.3 29.7] ; [20.7 25.3],0
b4,1,0.948642,0.004149,[25 29] ; [21 25],[24.84 29.16] ; [21.16 24.84],0
