Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.014538,5.971666,[60  9] ; [14  8],[56.10989011 12.89010989] ; [17.89010989  4.10989011],0
d3,1,0.025342,5.000347,[46 22] ; [ 9 13],[41.55555556 26.44444444] ; [13.44444444  8.55555556],0
d4,1,0.06131,3.501598,[57 12] ; [14  8],[53.83516484 15.16483516] ; [17.16483516  4.83516484],0
d1,1,0.070352,3.274798,[36 33] ; [ 7 16],[32.25 36.75] ; [10.75 12.25],0
u2,1,0.118425,2.438031,[17 12] ; [3 7],[14.87179487 14.12820513] ; [5.12820513 4.87179487],0
s5,1,0.12336,2.374136,[19 46] ; [ 3 20],[16.25 48.75] ; [ 5.75 17.25],0
p3,1,0.19742,1.661359,[21 46] ; [ 4 19],[18.61111111 48.38888889] ; [ 6.38888889 16.61111111],0
n6,1,0.252138,1.31142,[32 36] ; [14  9],[34.37362637 33.62637363] ; [11.62637363 11.37362637],0
b2,1,0.255166,1.294795,[ 7 25] ; [4 6],[ 8.38095238 23.61904762] ; [2.61904762 7.38095238],0
b3,1,0.255166,1.294795,[ 7 25] ; [4 6],[ 8.38095238 23.61904762] ; [2.61904762 7.38095238],0
d5,1,0.289737,1.120841,[52 16] ; [15  8],[50.06593407 17.93406593] ; [16.93406593  6.06593407],0
u1,1,0.311023,1.026328,[ 8 61] ; [ 1 22],[ 6.75 62.25] ; [ 2.25 20.75],0
a7,1,0.314869,1.010141,[49 19] ; [14  9],[47.07692308 20.92307692] ; [15.92307692  7.07692308],0
b4,1,0.331356,0.94359,[41 28] ; [11 12],[39. 30.] ; [13. 10.],0
s3,1,0.335047,0.929293,[31 38] ; [13 10],[33. 36.] ; [11. 12.],0
p1,1,0.383992,0.757884,[ 7 61] ; [ 1 22],[ 5.97802198 62.02197802] ; [ 2.02197802 20.97802198],0
s6,1,0.396029,0.72035,[36 31] ; [10 13],[34.24444444 32.75555556] ; [11.75555556 11.24444444],0
a6,1,0.396592,0.718635,[40 29] ; [11 12],[38.25 30.75] ; [12.75 10.25],0
r4,1,0.44105,0.593548,[48 21] ; [14  9],[46.5 22.5] ; [15.5  7.5],0
v3,1,0.456982,0.553277,[16 48] ; [ 4 19],[14.71264368 49.28735632] ; [ 5.28735632 17.71264368],0
v2,1,0.463692,0.536969,[26 38] ; [ 7 15],[24.55813953 39.44186047] ; [ 8.44186047 13.55813953],0
b1,1,0.470101,0.521739,[33 36] ; [13 10],[34.5 34.5] ; [11.5 11.5],0
a5,1,0.470101,0.521739,[33 36] ; [13 10],[34.5 34.5] ; [11.5 11.5],0
v4,1,0.514356,0.425196,[59 10] ; [20  2],[59.9010989  9.0989011] ; [19.0989011  2.9010989],0
a4,1,0.524299,0.405429,[22 47] ; [ 9 14],[23.25 45.75] ; [ 7.75 15.25],0
n3,1,0.558967,0.341496,[19 11] ; [7 6],[18.13953488 11.86046512] ; [7.86046512 5.13953488],0
p4,1,0.587758,0.293859,[28 40] ; [ 8 15],[26.9010989 41.0989011] ; [ 9.0989011 13.9010989],0
p8,1,0.617569,0.2493,[20 48] ; [ 5 16],[19.1011236 48.8988764] ; [ 5.8988764 15.1011236],0
n2,1,0.618775,0.247593,[16 14] ; [8 5],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
p9,1,0.656634,0.197638,[33 31] ; [12  9],[33.88235294 30.11764706] ; [11.11764706  9.88235294],0
v1,1,0.678062,0.172316,[23 44] ; [ 9 14],[23.82222222 43.17777778] ; [ 8.17777778 14.82222222],0
r1,1,0.709931,0.138346,[42 27] ; [15  8],[42.75 26.25] ; [14.25  8.75],0
s2,1,0.714803,0.133527,[30 39] ; [ 9 14],[29.25 39.75] ; [ 9.75 13.25],0
r2,1,0.737505,0.112332,[59 10] ; [19  4],[58.5 10.5] ; [19.5  3.5],0
p2,1,0.765886,0.088662,[36 32] ; [13 10],[36.61538462 31.38461538] ; [12.38461538 10.61538462],0
s4,1,0.789188,0.071484,[19 50] ; [ 7 16],[19.5 49.5] ; [ 6.5 16.5],0
s7,1,0.792904,0.068928,[17 46] ; [ 6 14],[17.45783133 45.54216867] ; [ 5.54216867 14.45783133],0
s8,1,0.80441,0.061327,[16 52] ; [ 6 17],[16.43956044 51.56043956] ; [ 5.56043956 17.43956044],0
d2,1,0.806845,0.059779,[29 40] ; [ 9 14],[28.5 40.5] ; [ 9.5 13.5],0
p6,1,0.84793,0.036772,[11 56] ; [ 4 18],[11.29213483 55.70786517] ; [ 3.70786517 18.29213483],0
a2,1,0.870561,0.026551,[11 58] ; [ 4 19],[11.25 57.75] ; [ 3.75 19.25],0
b5,1,0.898666,0.016217,[46 23] ; [15  8],[45.75 23.25] ; [15.25  7.75],0
p7,1,0.920238,0.010027,[27 41] ; [ 9 13],[27.2 40.8] ; [ 8.8 13.2],0
u3,1,0.939048,0.005847,[17 12] ; [6 4],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
s1,1,0.954537,0.00325,[ 6 63] ; [ 2 20],[ 6.06593407 62.93406593] ; [ 1.93406593 20.06593407],0
p10,1,0.954635,0.003236,[30 35] ; [10 12],[29.88505747 35.11494253] ; [10.11494253 11.88505747],0
a3,1,0.957409,0.002852,[38 30] ; [13 10],[38.10989011 29.89010989] ; [12.89010989 10.10989011],0
n1,1,0.985417,0.000334,[ 7 23] ; [ 3 10],[ 6.97674419 23.02325581] ; [3.02325581 9.97674419],0
a1,1,1.0,0.0,[ 3 66] ; [ 1 22],[ 3. 66.] ; [ 1. 22.],0
