Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,98.473309,[ 75 111] ; [425 111],[128.80886427  57.19113573] ; [371.19113573 164.80886427],1
d3,1,0.0,67.051505,[97 89] ; [442  94],[138.85595568  47.14404432] ; [400.14404432 135.85595568],1
a2,1,0.0,34.371659,[ 20 166] ; [177 360],[ 50.68049793 135.31950207] ; [146.31950207 390.68049793],1
u1,1,0.0,26.617728,[ 14 172] ; [136 401],[ 38.58921162 147.41078838] ; [111.41078838 425.58921162],1
b5,1,1.1e-05,19.289368,[88 98] ; [352 185],[113.19502075  72.80497925] ; [326.80497925 210.19502075],1
r4,1,0.001571,9.993459,[162  24] ; [506  31],[171.85062241  14.14937759] ; [496.14937759  40.85062241],0
b1,1,0.002789,8.940281,[87 99] ; [185 352],[ 69.97510373 116.02489627] ; [202.02489627 334.97510373],0
r1,1,0.006073,7.528577,[142  44] ; [453  79],[154.13649025  31.86350975] ; [440.86350975  91.13649025],0
d1,1,0.008816,6.859636,[118  68] ; [395 142],[131.97510373  54.02489627] ; [381.02489627 155.97510373],0
p2,1,0.010962,6.471461,[139  41] ; [456  78],[150.  30.] ; [445.  89.],0
s5,1,0.015648,5.841962,[ 75 100] ; [169 347],[ 61.79450072 113.20549928] ; [182.20549928 333.79450072],0
r3,1,0.024254,5.076409,[172  13] ; [517  17],[177.28094576   7.71905424] ; [511.71905424  22.28094576],0
b3,1,0.02735,4.868598,[54 63] ; [110 208],[44.11034483 72.88965517] ; [119.88965517 198.11034483],0
b2,1,0.02735,4.868598,[54 63] ; [110 208],[44.11034483 72.88965517] ; [119.88965517 198.11034483],0
s7,1,0.03281,4.55567,[101  77] ; [242 268],[88.74127907 89.25872093] ; [254.25872093 255.74127907],0
v4,1,0.067783,3.335897,[173  12] ; [516  18],[177.28094576   7.71905424] ; [511.71905424  22.28094576],0
n1,1,0.098271,2.733376,[28 29] ; [41 73],[23. 34.] ; [46. 68.],0
p8,1,0.117829,2.445938,[83 96] ; [280 247],[92.03541076 86.96458924] ; [270.96458924 256.03541076],0
p4,1,0.117953,2.444294,[101  81] ; [332 203],[109.91073919  72.08926081] ; [323.08926081 211.91073919],0
u3,1,0.136772,2.213904,[20 19] ; [87 48],[23.98275862 15.01724138] ; [83.01724138 51.98275862],0
b4,1,0.137256,2.208451,[101  85] ; [325 212],[109.593361  76.406639] ; [316.406639 220.593361],0
s8,1,0.141399,2.16267,[93 91] ; [236 297],[84.42956764 99.57043236] ; [244.57043236 288.42956764],0
a4,1,0.154638,2.02589,[102  83] ; [263 273],[93.65464632 91.34535368] ; [271.34535368 264.65464632],0
p1,1,0.184276,1.762799,[ 10 174] ; [ 45 487],[ 14.13407821 169.86592179] ; [ 40.86592179 491.13407821],0
s4,1,0.191507,1.705987,[ 37 147] ; [ 84 444],[ 31.26966292 152.73033708] ; [ 89.73033708 438.26966292],0
a1,1,0.218988,1.510989,[ 13 173] ; [ 25 512],[  9.77593361 176.22406639] ; [ 28.22406639 508.77593361],0
u2,1,0.221179,1.496702,[18 20] ; [79 56],[21.30635838 16.69364162] ; [75.69364162 59.30635838],0
p12,1,0.229539,1.443717,[  9 170] ; [ 41 493],[ 12.55259467 166.44740533] ; [ 37.44740533 496.55259467],0
v2,1,0.231455,1.431895,[99 83] ; [304 207],[105.83838384  76.16161616] ; [297.16161616 213.83838384],0
d4,1,0.261594,1.260304,[161  25] ; [481  56],[165.16182573  20.83817427] ; [476.83817427  60.16182573],0
a3,1,0.261811,1.259157,[147  39] ; [401 134],[141.370319  44.629681] ; [406.629681 128.370319],0
a8,1,0.266035,1.237078,[ 19 160] ; [ 66 409],[ 23.26452599 155.73547401] ; [ 61.73547401 413.26452599],0
p10,1,0.301669,1.066803,[143  38] ; [437  93],[147.6511955  33.3488045] ; [432.3488045  97.6511955],0
n5,1,0.305518,1.049951,[142  41] ; [394 140],[136.80334728  46.19665272] ; [399.19665272 134.80334728],0
p9,1,0.348292,0.879669,[149  33] ; [447  80],[152.99294781  29.00705219] ; [443.00705219  83.99294781],0
n2,1,0.385525,0.753011,[44 14] ; [80 35],[41.57225434 16.42774566] ; [82.42774566 32.57225434],0
p6,1,0.409723,0.679604,[ 69 108] ; [188 341],[ 64.43201133 112.56798867] ; [192.56798867 336.43201133],0
p11,1,0.423749,0.639896,[147  39] ; [409 128],[143.0373444  42.9626556] ; [412.9626556 124.0373444],0
u4,1,0.454638,0.559062,[  6 180] ; [ 12 525],[  4.63070539 181.36929461] ; [ 13.36929461 523.63070539],0
d2,1,0.48622,0.484881,[105  79] ; [290 246],[100.94444444  83.05555556] ; [294.05555556 241.94444444],0
s1,1,0.515459,0.422969,[  7 177] ; [ 15 513],[  5.68539326 178.31460674] ; [ 16.31460674 511.68539326],0
a5,1,0.516973,0.419928,[148  38] ; [415 122],[144.83817427  41.16182573] ; [418.16182573 118.83817427],0
s3,1,0.587512,0.294247,[106  78] ; [292 236],[102.85393258  81.14606742] ; [295.14606742 232.85393258],0
v3,1,0.631962,0.229409,[ 74 104] ; [202 309],[ 71.30333817 106.69666183] ; [204.69666183 306.30333817],0
p7,1,0.641425,0.216884,[116  64] ; [325 195],[113.4  66.6] ; [327.6 192.4],0
p5,1,0.656015,0.1984,[ 21 161] ; [ 55 476],[ 19.3997195 162.6002805] ; [ 56.6002805 474.3997195],0
n4,1,0.66012,0.193378,[145  39] ; [414 122],[142.85555556  41.14444444] ; [416.14444444 119.85555556],0
p3,1,0.728137,0.120829,[91 92] ; [274 261],[93.02924791 89.97075209] ; [271.97075209 263.02924791],0
s6,1,0.861649,0.030372,[120  57] ; [361 166],[120.93323864  56.06676136] ; [360.06676136 166.93323864],0
s2,1,0.866357,0.028321,[98 87] ; [278 254],[97.0153417 87.9846583] ; [278.9846583 253.0153417],0
v1,1,0.874338,0.025012,[100  80] ; [287 236],[99.08961593 80.91038407] ; [287.91038407 235.08961593],0
n3,1,0.878022,0.023555,[40 17] ; [82 33],[40.43023256 16.56976744] ; [81.56976744 33.43023256],0
n6,1,0.982184,0.000499,[153  30] ; [446  87],[153.09636872  29.90363128] ; [445.90363128  87.09636872],0
