Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.841052,[33 23] ; [76  6],[44.23188406 11.76811594] ; [64.76811594 17.23188406],1
p11,1,4e-06,21.296568,[16 40] ; [58 27],[29.39007092 26.60992908] ; [44.60992908 40.39007092],1
r3,1,2.4e-05,17.880123,[33 23] ; [76  9],[43.29078014 12.70921986] ; [65.70921986 19.29078014],1
s6,1,3e-05,17.434886,[12 43] ; [49 36],[23.96428571 31.03571429] ; [37.03571429 47.96428571],1
r4,1,3.5e-05,17.121429,[26 30] ; [68 17],[37.33333333 18.66666667] ; [56.66666667 28.33333333],1
p4,1,0.000524,12.028109,[ 9 46] ; [38 47],[18.46428571 36.53571429] ; [28.53571429 56.46428571],1
p7,1,0.000556,11.916788,[12 42] ; [43 40],[21.67883212 32.32116788] ; [33.32116788 49.67883212],1
p9,1,0.002124,9.438927,[24 30] ; [60 25],[32.63309353 21.36690647] ; [51.36690647 33.63309353],0
p10,1,0.00228,9.309454,[20 34] ; [54 31],[28.74820144 25.25179856] ; [45.25179856 39.74820144],0
a1,1,0.002959,8.832883,[ 9 47] ; [ 2 83],[ 4.36879433 51.63120567] ; [ 6.63120567 78.36879433],0
p3,1,0.003956,8.303768,[ 8 48] ; [31 54],[15.4893617 40.5106383] ; [23.5106383 61.4893617],0
s8,1,0.005971,7.558993,[ 7 49] ; [28 57],[13.90070922 42.09929078] ; [21.09929078 63.90070922],0
a6,1,0.012267,6.271847,[28 27] ; [61 24],[34.96428571 20.03571429] ; [54.03571429 30.96428571],0
a7,1,0.018106,5.585861,[30 26] ; [62 23],[36.53900709 19.46099291] ; [55.46099291 29.53900709],0
d3,1,0.019953,5.415979,[26 29] ; [57 28],[32.60714286 22.39285714] ; [50.39285714 34.60714286],0
p8,1,0.025571,4.984799,[10 45] ; [30 54],[15.82733813 39.17266187] ; [24.17266187 59.82733813],0
n1,1,0.035673,4.412668,[15 14] ; [ 5 17],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
b5,1,0.038477,4.283829,[25 31] ; [53 32],[30.9787234 25.0212766] ; [47.0212766 37.9787234],0
r2,1,0.044433,4.040018,[42 13] ; [74  9],[46.23188406  8.76811594] ; [69.76811594 13.23188406],0
d4,1,0.053373,3.73221,[35 20] ; [66 18],[39.96402878 15.03597122] ; [61.03597122 22.96402878],0
u3,1,0.061582,3.494267,[10 11] ; [22  8],[13.17647059  7.82352941] ; [18.82352941 11.17647059],0
a4,1,0.064334,3.421975,[25 31] ; [25 60],[19.85815603 36.14184397] ; [30.14184397 54.85815603],0
r1,1,0.072644,3.222249,[34 22] ; [63 21],[38.8 17.2] ; [58.2 25.8],0
v1,1,0.081432,3.036093,[16 40] ; [35 46],[20.84671533 35.15328467] ; [30.15328467 50.84671533],0
s1,1,0.091381,2.849873,[ 6 50] ; [ 3 81],[ 3.6 52.4] ; [ 5.4 78.6],0
s5,1,0.093441,2.814071,[ 5 48] ; [17 67],[ 8.51094891 44.48905109] ; [13.48905109 70.51094891],0
b4,1,0.129182,2.30231,[27 29] ; [52 33],[31.37588652 24.62411348] ; [47.62411348 37.37588652],0
b3,1,0.162098,1.954545,[12 24] ; [10 40],[ 9.20930233 26.79069767] ; [12.79069767 37.20930233],0
b2,1,0.162098,1.954545,[12 24] ; [10 40],[ 9.20930233 26.79069767] ; [12.79069767 37.20930233],0
d5,1,0.166184,1.917031,[34 21] ; [62 23],[37.71428571 17.28571429] ; [58.28571429 26.71428571],0
s3,1,0.175255,1.837406,[23 32] ; [45 39],[26.90647482 28.09352518] ; [41.09352518 42.90647482],0
s7,1,0.181879,1.782205,[11 39] ; [26 53],[14.34108527 35.65891473] ; [22.65891473 56.34108527],0
u2,1,0.200259,1.640484,[11 10] ; [21  9],[13.17647059  7.82352941] ; [18.82352941 11.17647059],0
v2,1,0.212524,1.554149,[17 34] ; [35 44],[20.4 30.6] ; [31.6 47.4],0
n2,1,0.234741,1.411899,[17 13] ; [16  6],[19.03846154 10.96153846] ; [13.96153846  8.03846154],0
n3,1,0.254451,1.298701,[16 12] ; [16  6],[17.92 10.08] ; [14.08  7.92],0
n5,1,0.25882,1.275057,[26 29] ; [32 53],[22.78571429 32.21428571] ; [35.21428571 49.78571429],0
u1,1,0.267629,1.228858,[ 2 54] ; [ 7 78],[ 3.57446809 52.42553191] ; [ 5.42553191 79.57446809],0
s4,1,0.3692,0.806354,[ 4 52] ; [10 75],[ 5.56028369 50.43971631] ; [ 8.43971631 76.56028369],0
p5,1,0.378473,0.775657,[ 1 53] ; [ 4 81],[ 1.94244604 52.05755396] ; [ 3.05755396 81.94244604],0
d1,1,0.396034,0.720335,[21 35] ; [38 47],[23.43262411 32.56737589] ; [35.56737589 49.43262411],0
b1,1,0.449161,0.572769,[30 26] ; [40 45],[27.80141844 28.19858156] ; [42.19858156 42.80141844],0
n4,1,0.492442,0.471187,[27 29] ; [46 39],[28.9929078 27.0070922] ; [44.0070922 40.9929078],0
s2,1,0.510816,0.432395,[17 39] ; [30 54],[18.8 37.2] ; [28.2 55.8],0
d2,1,0.52553,0.403027,[23 32] ; [31 54],[21.21428571 33.78571429] ; [32.78571429 52.21428571],0
