Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.348981,[53 35] ; [16 46],[40.48 47.52] ; [28.52 33.48],1
p3,1,0.00035,12.782181,[53 36] ; [19 44],[42.15789474 46.84210526] ; [29.84210526 33.15789474],1
p6,1,0.010268,6.587768,[38 48] ; [15 48],[30.59060403 55.40939597] ; [22.40939597 40.59060403],0
v3,1,0.027217,4.876966,[32 57] ; [12 50],[25.93377483 63.06622517] ; [18.06622517 43.93377483],0
p4,1,0.031513,4.624774,[56 32] ; [29 34],[49.53642384 38.46357616] ; [35.46357616 27.53642384],0
a1,1,0.056825,3.627694,[ 8 81] ; [ 1 62],[ 5.26973684 83.73026316] ; [ 3.73026316 59.26973684],0
s7,1,0.063704,3.438232,[39 45] ; [19 42],[33.6 50.4] ; [24.4 36.6],0
s6,1,0.091688,2.844489,[53 32] ; [30 32],[47.99319728 37.00680272] ; [35.00680272 26.99319728],0
s8,1,0.097849,2.74026,[34 55] ; [16 47],[29.27631579 59.72368421] ; [20.72368421 42.27631579],0
a4,1,0.116785,2.459912,[22 67] ; [23 40],[26.34868421 62.65131579] ; [18.65131579 44.34868421],0
v4,1,0.130348,2.288359,[82  6] ; [54  9],[79.25827815  8.74172185] ; [56.74172185  6.25827815],0
b5,1,0.150671,2.065445,[52 37] ; [44 19],[56.21052632 32.78947368] ; [39.78947368 23.21052632],0
a8,1,0.174982,1.839731,[ 7 78] ; [ 9 49],[ 9.51048951 75.48951049] ; [ 6.48951049 51.51048951],0
d2,1,0.178099,1.813417,[26 63] ; [25 38],[29.86184211 59.13815789] ; [21.13815789 41.86184211],0
p9,1,0.183244,1.771119,[72 17] ; [56  7],[74.94736842 14.05263158] ; [53.05263158  9.94736842],0
u2,1,0.227005,1.459531,[22 16] ; [12 16],[19.57575758 18.42424242] ; [14.42424242 13.57575758],0
p1,1,0.227415,1.456954,[ 7 82] ; [ 2 61],[ 5.26973684 83.73026316] ; [ 3.73026316 59.26973684],0
u3,1,0.248359,1.332512,[14 25] ; [14 14],[16.29850746 22.70149254] ; [11.70149254 16.29850746],0
r4,1,0.251042,1.317496,[59 30] ; [36 27],[55.625 33.375] ; [39.375 23.625],0
d3,1,0.27434,1.194919,[52 35] ; [32 31],[48.72 38.28] ; [35.28 27.72],0
