Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,24.140983,[74 50] ; [ 50 113],[53.57491289 70.42508711] ; [70.42508711 92.57491289],1
n3,1,0.031745,4.612197,[22  5] ; [31 23],[17.66666667  9.33333333] ; [35.33333333 18.66666667],0
b5,1,0.03289,4.5515,[88 41] ; [93 73],[79.14915254 49.85084746] ; [101.85084746  64.14915254],0
u1,1,0.038571,4.279648,[40 89] ; [ 34 132],[32.35932203 96.64067797] ; [ 41.64067797 124.35932203],0
r3,1,0.054459,3.698574,[124   5] ; [149  16],[119.78571429   9.21428571] ; [153.21428571  11.78571429],0
a6,1,0.079964,3.065639,[99 30] ; [112  54],[92.26779661 36.73220339] ; [118.73220339  47.26779661],0
a5,1,0.086981,2.92938,[113  16] ; [133  33],[107.57288136  21.42711864] ; [138.42711864  27.57288136],0
p1,1,0.105773,2.616263,[  6 123] ; [ 16 150],[  9.62033898 119.37966102] ; [ 12.37966102 153.62033898],0
p9,1,0.115961,2.471044,[107  20] ; [126  38],[101.68728522  25.31271478] ; [131.31271478  32.68728522],0
a8,1,0.14038,2.173787,[18 98] ; [ 15 141],[ 14.07352941 101.92647059] ; [ 18.92647059 137.07352941],0
s6,1,0.166801,1.911464,[90 38] ; [102  61],[84.45360825 43.54639175] ; [107.54639175  55.45360825],0
p11,1,0.173969,1.848402,[100  29] ; [117  49],[94.89152542 34.10847458] ; [122.10847458  43.89152542],0
d4,1,0.176977,1.82283,[128   1] ; [161   5],[126.37627119   2.62372881] ; [162.62372881   3.37627119],0
s2,1,0.186268,1.746888,[71 58] ; [78 87],[65.37755102 63.62244898] ; [83.62244898 81.37755102],0
a1,1,0.18651,1.74497,[  2 127] ; [  7 159],[  3.93559322 125.06440678] ; [  5.06440678 160.93559322],0
s1,1,0.19104,1.709582,[  2 125] ; [  7 158],[  3.91438356 123.08561644] ; [  5.08561644 159.91438356],0
r1,1,0.224449,1.4757,[108  20] ; [130  35],[103.97269625  24.02730375] ; [134.02730375  30.97269625],0
n2,1,0.23171,1.430333,[20  7] ; [34 22],[17.56626506  9.43373494] ; [36.43373494 19.56626506],0
a3,1,0.25629,1.288685,[105  24] ; [126  40],[101.01355932  27.98644068] ; [129.98644068  36.01355932],0
n1,1,0.273322,1.2,[14 14] ; [21 35],[11.66666667 16.33333333] ; [23.33333333 32.66666667],0
