Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000185,13.976471,[40  4] ; [11 11],[34. 10.] ; [17.  5.],1
p10,1,0.01269,6.211765,[38  6] ; [13  9],[34. 10.] ; [17.  5.],0
d2,1,0.017565,5.639029,[11 33] ; [12 10],[15.33333333 28.66666667] ; [ 7.66666667 14.33333333],0
r3,1,0.023736,5.113801,[42  2] ; [17  5],[39.33333333  4.66666667] ; [19.66666667  2.33333333],0
b4,1,0.029913,4.714286,[32 12] ; [10 12],[28. 16.] ; [14.  8.],0
n4,1,0.052719,3.75282,[29 15] ; [ 9 13],[25.33333333 18.66666667] ; [12.66666667  9.33333333],0
n5,1,0.058235,3.586957,[34 10] ; [12 10],[30.66666667 13.33333333] ; [15.33333333  6.66666667],0
d5,1,0.067222,3.349579,[28 16] ; [18  3],[31.13846154 12.86153846] ; [14.86153846  6.13846154],0
p8,1,0.089824,2.877526,[19 24] ; [ 5 17],[15.87692308 27.12307692] ; [ 8.12307692 13.87692308],0
n1,1,0.095437,2.780183,[5 6] ; [1 8],[3.3 7.7] ; [2.7 6.3],0
v2,1,0.108408,2.577273,[23 19] ; [ 7 14],[20. 22.] ; [10. 11.],0
n6,1,0.111437,2.533723,[38  5] ; [16  6],[35.72307692  7.27692308] ; [18.27692308  3.72307692],0
b1,1,0.124079,2.365062,[10 34] ; [ 9 13],[12.66666667 31.33333333] ; [ 6.33333333 15.66666667],0
p6,1,0.240955,1.375,[14 30] ; [ 4 18],[12. 32.] ; [ 6. 16.],0
v1,1,0.255328,1.293911,[20 23] ; [ 7 15],[17.86153846 25.13846154] ; [ 9.13846154 12.86153846],0
r1,1,0.262193,1.257143,[32 12] ; [13  9],[30. 14.] ; [15.  7.],0
a6,1,0.288159,1.128205,[28 16] ; [11 11],[26. 18.] ; [13.  9.],0
p7,1,0.29627,1.090909,[24 20] ; [ 9 13],[22. 22.] ; [11. 11.],0
p4,1,0.29627,1.090909,[24 20] ; [ 9 13],[22. 22.] ; [11. 11.],0
b2,1,0.300559,1.071714,[ 3 18] ; [3 7],[ 4.06451613 16.93548387] ; [1.93548387 8.06451613],0
b3,1,0.300559,1.071714,[ 3 18] ; [3 7],[ 4.06451613 16.93548387] ; [1.93548387 8.06451613],0
s6,1,0.31592,1.005765,[31 10] ; [14  8],[29.28571429 11.71428571] ; [15.71428571  6.28571429],0
r4,1,0.350201,0.872727,[38  6] ; [17  5],[36.66666667  7.33333333] ; [18.33333333  3.66666667],0
u1,1,0.363722,0.825,[ 5 39] ; [ 1 21],[ 4. 40.] ; [ 2. 20.],0
n2,1,0.423139,0.641581,[8 3] ; [5 4],[7.15 3.85] ; [5.85 3.15],0
n3,1,0.423139,0.641581,[8 3] ; [5 4],[7.15 3.85] ; [5.85 3.15],0
u3,1,0.458318,0.55,[11 11] ; [7 4],[12. 10.] ; [6. 5.],0
v4,1,0.465659,0.532258,[42  2] ; [20  2],[41.33333333  2.66666667] ; [20.66666667  1.33333333],0
p5,1,0.465659,0.532258,[ 2 42] ; [ 2 20],[ 2.66666667 41.33333333] ; [ 1.33333333 20.66666667],0
s2,1,0.56231,0.33572,[18 23] ; [ 8 14],[16.92063492 24.07936508] ; [ 9.07936508 12.92063492],0
a2,1,0.593778,0.284483,[ 6 38] ; [ 2 20],[ 5.33333333 38.66666667] ; [ 2.66666667 19.33333333],0
p3,1,0.59536,0.282051,[19 25] ; [ 8 14],[18. 26.] ; [ 9. 13.],0
s3,1,0.598637,0.277056,[22 20] ; [10 12],[21. 21.] ; [11. 11.],0
d1,1,0.599997,0.275,[19 25] ; [11 11],[20. 24.] ; [10. 12.],0
s5,1,0.679278,0.17094,[11 28] ; [ 7 14],[11.7 27.3] ; [ 6.3 14.7],0
p2,1,0.700631,0.147816,[32 12] ; [15  7],[31.33333333 12.66666667] ; [15.66666667  6.33333333],0
a4,1,0.711923,0.136364,[14 30] ; [ 8 14],[14.66666667 29.33333333] ; [ 7.33333333 14.66666667],0
a5,1,0.7197,0.12878,[28 16] ; [13  9],[27.33333333 16.66666667] ; [13.66666667  8.33333333],0
a7,1,0.7593,0.093881,[33 11] ; [15  6],[32.49230769 11.50769231] ; [15.50769231  5.49230769],0
v3,1,0.763709,0.090368,[ 8 33] ; [ 5 17],[ 8.46031746 32.53968254] ; [ 4.53968254 17.46031746],0
r2,1,0.822934,0.050074,[39  5] ; [19  2],[39.26153846  4.73846154] ; [18.73846154  2.26153846],0
d4,1,0.842234,0.039616,[33 11] ; [16  6],[32.66666667 11.33333333] ; [16.33333333  5.66666667],0
b5,1,0.8576,0.032195,[27 17] ; [14  8],[27.33333333 16.66666667] ; [13.66666667  8.33333333],0
d3,1,0.902776,0.014922,[30 14] ; [14  7],[29.78461538 14.21538462] ; [14.21538462  6.78461538],0
p1,1,1.0,0.0,[ 2 42] ; [ 1 21],[ 2. 42.] ; [ 1. 21.],0
s8,1,1.0,0.0,[10 34] ; [ 5 17],[10. 34.] ; [ 5. 17.],0
a3,1,1.0,0.0,[22 22] ; [11 11],[22. 22.] ; [11. 11.],0
u2,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
