Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.8e-05,16.158484,[227  76] ; [36 35],[213.07219251  89.92780749] ; [49.92780749 21.07219251],1
r4,1,6.6e-05,15.925115,[274  31] ; [51 20],[263.63031915  41.36968085] ; [61.36968085  9.63031915],1
n4,1,8.6e-05,15.420694,[229  74] ; [37 34],[215.5026738  87.4973262] ; [50.4973262 20.5026738],1
r3,1,0.000104,15.060306,[294   9] ; [60 10],[287.56568365  15.43431635] ; [66.43431635  3.56568365],1
p10,1,0.000761,11.334307,[244  57] ; [43 26],[233.47837838  67.52162162] ; [53.52162162 15.47837838],1
a5,1,0.000812,11.212728,[214  91] ; [35 36],[201.98138298 103.01861702] ; [47.01861702 23.98138298],1
b1,1,0.007926,7.050031,[ 84 221] ; [31 40],[ 93.28457447 211.71542553] ; [21.71542553 49.28457447],0
p9,1,0.007944,7.046152,[253  46] ; [49 20],[245.375  53.625] ; [56.625 12.375],0
r2,1,0.007979,7.038277,[283  19] ; [58 11],[277.57951482  24.42048518] ; [63.42048518  5.57951482],0
d2,1,0.010138,6.610418,[136 167] ; [20 51],[126.38502674 176.61497326] ; [29.61497326 41.38502674],0
a2,1,0.019189,5.484183,[ 62 243] ; [ 6 65],[ 55.15957447 249.84042553] ; [12.84042553 58.15957447],0
u2,1,0.01951,5.455178,[46 52] ; [22  9],[51.65891473 46.34108527] ; [16.34108527 14.65891473],0
p11,1,0.019918,5.4191,[245  60] ; [48 23],[237.67287234  67.32712766] ; [55.32712766 15.67287234],0
v4,1,0.020389,5.378273,[293  11] ; [61  7],[289.29032258  14.70967742] ; [64.70967742  3.29032258],0
d1,1,0.022829,5.181477,[166 139] ; [28 43],[157.36702128 147.63297872] ; [36.63297872 34.36702128],0
s2,1,0.033379,4.526216,[146 156] ; [24 46],[138.01075269 163.98924731] ; [31.98924731 38.01075269],0
a4,1,0.038828,4.268383,[126 178] ; [20 51],[118.35733333 185.64266667] ; [27.64266667 43.35733333],0
r1,1,0.04759,3.9244,[242  61] ; [49 22],[235.75668449  67.24331551] ; [55.24331551 15.75668449],0
a3,1,0.068053,3.329359,[206  98] ; [40 31],[199.424 104.576] ; [46.576 24.424],0
s5,1,0.085718,2.953003,[ 86 210] ; [13 56],[ 80.28493151 215.71506849] ; [18.71506849 50.28493151],0
s6,1,0.106181,2.610166,[191 108] ; [38 33],[185.05675676 113.94324324] ; [43.94324324 27.05675676],0
p8,1,0.127444,2.323367,[135 162] ; [24 44],[129.37808219 167.62191781] ; [29.62191781 38.37808219],0
b2,1,0.154165,2.030548,[ 59 108] ; [ 8 27],[ 55.39108911 111.60891089] ; [11.60891089 23.39108911],0
b3,1,0.154165,2.030548,[ 59 108] ; [ 8 27],[ 55.39108911 111.60891089] ; [11.60891089 23.39108911],0
d4,1,0.171119,1.87311,[244  60] ; [51 19],[239.78609626  64.21390374] ; [55.21390374 14.78609626],0
v3,1,0.186607,1.744206,[ 96 203] ; [16 51],[ 91.49726776 207.50273224] ; [20.50273224 46.49726776],0
v2,1,0.224223,1.477137,[153 140] ; [29 37],[148.54038997 144.45961003] ; [33.45961003 32.54038997],0
s1,1,0.249205,1.327754,[  6 292] ; [ 3 65],[  7.32786885 290.67213115] ; [ 1.67213115 66.32786885],0
s8,1,0.24931,1.327164,[112 192] ; [21 50],[107.81866667 196.18133333] ; [25.18133333 45.81866667],0
p6,1,0.27282,1.202513,[ 85 216] ; [15 54],[ 81.35135135 219.64864865] ; [18.64864865 50.35135135],0
a8,1,0.282489,1.155076,[ 45 231] ; [ 7 57],[ 42.21176471 233.78823529] ; [ 9.78823529 54.21176471],0
u1,1,0.310669,1.027828,[ 39 266] ; [ 6 65],[ 36.50265957 268.49734043] ; [ 8.49734043 62.50265957],0
p7,1,0.356053,0.851768,[168 127] ; [34 33],[164.61325967 130.38674033] ; [37.38674033 29.61325967],0
s7,1,0.360413,0.836455,[122 176] ; [23 43],[118.70879121 179.29120879] ; [26.29120879 39.70879121],0
p4,1,0.374711,0.787981,[128 174] ; [26 45],[124.68632708 177.31367292] ; [29.31367292 41.68632708],0
d5,1,0.394229,0.725858,[237  67] ; [52 19],[234.28266667  69.71733333] ; [54.71733333 16.28266667],0
v1,1,0.397657,0.715399,[144 154] ; [29 39],[140.8579235 157.1420765] ; [32.1420765 35.8579235],0
b4,1,0.438082,0.601302,[178 127] ; [45 26],[180.89095745 124.10904255] ; [42.10904255 28.89095745],0
p5,1,0.45477,0.558736,[ 15 290] ; [ 2 68],[ 13.82666667 291.17333333] ; [ 3.17333333 66.82666667],0
u3,1,0.461179,0.543032,[48 50] ; [17 13],[49.765625 48.234375] ; [15.234375 14.765625],0
s4,1,0.489843,0.47687,[ 45 255] ; [13 58],[ 46.90026954 253.09973046] ; [11.09973046 59.90026954],0
d3,1,0.511843,0.430298,[212  92] ; [46 24],[209.71122995  94.28877005] ; [48.28877005 21.71122995],0
a1,1,0.54651,0.363607,[  8 297] ; [ 1 70],[  7.30053191 297.69946809] ; [ 1.69946809 69.30053191],0
p1,1,0.58535,0.297665,[ 13 291] ; [ 2 68],[ 12.19251337 291.80748663] ; [ 2.80748663 67.19251337],0
s3,1,0.603882,0.269181,[162 137] ; [35 34],[160.0625 138.9375] ; [36.9375 32.0625],0
b5,1,0.6087,0.262073,[192 113] ; [47 24],[193.86968085 111.13031915] ; [45.13031915 25.86968085],0
n2,1,0.626503,0.236833,[66 20] ; [18  7],[65.08108108 20.91891892] ; [18.91891892  6.08108108],0
a7,1,0.628064,0.234695,[222  81] ; [50 21],[220.36363636  82.63636364] ; [51.63636364 19.36363636],0
p12,1,0.675738,0.174963,[ 12 291] ; [ 2 67],[ 11.40322581 291.59677419] ; [ 2.59677419 66.40322581],0
n1,1,0.752451,0.099483,[28 58] ; [ 7 17],[27.36363636 58.63636364] ; [ 7.63636364 16.36363636],0
a6,1,0.824901,0.04895,[202 103] ; [48 23],[202.79255319 102.20744681] ; [47.20744681 23.79255319],0
n3,1,0.96749,0.001661,[63 24] ; [18  7],[62.91964286 24.08035714] ; [18.08035714  6.91964286],0
