Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.2e-05,19.166925,[66  7] ; [25 20],[56.29661017 16.70338983] ; [34.70338983 10.29661017],1
r4,1,1.7e-05,18.511028,[59 14] ; [19 26],[48.25423729 24.74576271] ; [29.74576271 15.25423729],1
p11,1,9.9e-05,15.150614,[48 25] ; [13 32],[37.73728814 35.26271186] ; [23.26271186 21.73728814],1
s6,1,0.000209,13.750962,[38 35] ; [ 8 37],[28.45762712 44.54237288] ; [17.54237288 27.45762712],1
r3,1,0.000218,13.667284,[65  8] ; [27 18],[56.91525424 16.08474576] ; [35.08474576  9.91525424],1
p7,1,0.000281,13.19018,[39 31] ; [ 9 34],[29.73451327 40.26548673] ; [18.26548673 24.73451327],1
p3,1,0.000668,11.575378,[30 43] ; [ 5 39],[21.83760684 51.16239316] ; [13.16239316 30.83760684],1
a1,1,0.001734,9.81152,[ 2 71] ; [ 9 36],[ 6.80508475 66.19491525] ; [ 4.19491525 40.80508475],0
n3,1,0.003937,8.312641,[19  4] ; [ 8 12],[14.44186047  8.55813953] ; [12.55813953  7.44186047],0
p9,1,0.004078,8.248953,[49 23] ; [18 26],[41.5862069 30.4137931] ; [25.4137931 18.5862069],0
v1,1,0.004958,7.894811,[32 38] ; [ 9 36],[24.95652174 45.04347826] ; [16.04347826 28.95652174],0
n2,1,0.006184,7.496007,[19  4] ; [ 9 12],[14.63636364  8.36363636] ; [13.36363636  7.63636364],0
b5,1,0.009793,6.672085,[50 23] ; [20 25],[43.30508475 29.69491525] ; [26.69491525 18.30508475],0
p10,1,0.011272,6.421972,[42 30] ; [15 29],[35.37931034 36.62068966] ; [21.62068966 22.37931034],0
a7,1,0.011301,6.417294,[54 19] ; [23 22],[47.63559322 25.36440678] ; [29.36440678 15.63559322],0
p4,1,0.014573,5.967392,[33 40] ; [10 34],[26.82905983 46.17094017] ; [16.17094017 27.82905983],0
s8,1,0.019417,5.463562,[17 56] ; [ 3 42],[12.37288136 60.62711864] ; [ 7.62711864 37.37288136],0
r2,1,0.023173,5.155504,[65  8] ; [32 12],[60.52136752 12.47863248] ; [36.47863248  7.52136752],0
s1,1,0.026655,4.912996,[ 2 69] ; [ 6 38],[ 4.93913043 66.06086957] ; [ 3.06086957 40.93913043],0
s4,1,0.037279,4.337634,[10 63] ; [ 1 44],[ 6.80508475 66.19491525] ; [ 4.19491525 40.80508475],0
p8,1,0.037312,4.336124,[30 42] ; [10 34],[24.82758621 47.17241379] ; [15.17241379 28.82758621],0
d5,1,0.03885,4.267423,[54 19] ; [25 20],[48.87288136 24.12711864] ; [30.12711864 14.87288136],0
a6,1,0.040753,4.186236,[51 22] ; [23 22],[45.77966102 27.22033898] ; [28.22033898 16.77966102],0
r1,1,0.043846,4.0625,[53 19] ; [25 20],[48. 24.] ; [30. 15.],0
p6,1,0.046805,3.952373,[17 53] ; [ 4 39],[13.00884956 56.99115044] ; [ 7.99115044 35.00884956],0
d3,1,0.065019,3.404494,[43 29] ; [19 26],[38.15384615 33.84615385] ; [23.84615385 21.15384615],0
b4,1,0.097099,2.752561,[47 26] ; [22 23],[42.68644068 30.31355932] ; [26.31355932 18.68644068],0
u1,1,0.122072,2.390533,[ 7 66] ; [ 1 44],[ 4.94915254 68.05084746] ; [ 3.05084746 41.94915254],0
d1,1,0.128746,2.307557,[33 40] ; [14 31],[29.07627119 43.92372881] ; [17.92372881 27.07627119],0
v2,1,0.143499,2.140032,[30 38] ; [13 30],[26.34234234 41.65765766] ; [16.65765766 26.34234234],0
s5,1,0.171072,1.873528,[11 59] ; [ 3 40],[ 8.67256637 61.32743363] ; [ 5.32743363 37.67256637],0
d4,1,0.178145,1.81303,[54 19] ; [28 17],[50.72881356 22.27118644] ; [31.27118644 13.72881356],0
b3,1,0.249208,1.32774,[10 30] ; [11 18],[12.17391304 27.82608696] ; [ 8.82608696 20.17391304],0
b2,1,0.249208,1.32774,[10 30] ; [11 18],[12.17391304 27.82608696] ; [ 8.82608696 20.17391304],0
