Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,70.745786,[134   7] ; [11 21],[118.17919075  22.82080925] ; [26.82080925  5.17919075],1
n6,1,7.7e-05,15.637684,[134   6] ; [23  8],[128.5380117  11.4619883] ; [28.4619883  2.5380117],1
a4,1,0.004426,8.100011,[75 67] ; [ 8 24],[67.73563218 74.26436782] ; [15.26436782 16.73563218],0
a3,1,0.006154,7.504618,[112  29] ; [18 14],[105.95375723  35.04624277] ; [24.04624277  7.95375723],0
b1,1,0.011014,6.463053,[61 81] ; [ 6 26],[54.67816092 87.32183908] ; [12.32183908 19.67816092],0
v1,1,0.011488,6.388245,[102  40] ; [15 16],[96.03468208 45.96531792] ; [20.96531792 10.03468208],0
p4,1,0.018716,5.527854,[115  26] ; [20 12],[110.02890173  30.97109827] ; [24.97109827  7.02890173],0
d2,1,0.024999,5.023956,[75 66] ; [10 22],[69.27745665 71.72254335] ; [15.72254335 16.27745665],0
p5,1,0.025466,4.991943,[47 95] ; [ 4 27],[ 41.86127168 100.13872832] ; [ 9.13872832 21.86127168],0
s7,1,0.034238,4.482762,[97 39] ; [16 15],[92.0239521 43.9760479] ; [20.9760479 10.0239521],0
r4,1,0.041957,4.136931,[139   3] ; [29  3],[137.10344828   4.89655172] ; [30.89655172  1.10344828],0
a2,1,0.058879,3.568678,[ 35 107] ; [ 3 29],[ 31.01149425 110.98850575] ; [ 6.98850575 25.01149425],0
r1,1,0.061751,3.489729,[127  14] ; [25  7],[123.88439306  17.11560694] ; [28.11560694  3.88439306],0
p6,1,0.064727,3.411934,[89 52] ; [14 17],[84.43604651 56.56395349] ; [18.56395349 12.43604651],0
p9,1,0.071198,3.255182,[135   6] ; [28  4],[132.84971098   8.15028902] ; [30.15028902  1.84971098],0
v2,1,0.084678,2.972745,[91 49] ; [15 16],[86.78362573 53.21637427] ; [19.21637427 11.78362573],0
u1,1,0.093405,2.814689,[ 32 110] ; [ 3 29],[ 28.56321839 113.43678161] ; [ 6.43678161 25.56321839],0
s4,1,0.098884,2.72345,[ 29 111] ; [11 21],[ 32.55813953 107.44186047] ; [ 7.44186047 24.55813953],0
p10,1,0.099279,2.717081,[135   7] ; [27  4],[132.97109827   9.02890173] ; [29.02890173  1.97109827],0
d5,1,0.172843,1.858114,[119  21] ; [24  8],[116.39534884  23.60465116] ; [26.60465116  5.39534884],0
v3,1,0.200809,1.63648,[77 64] ; [13 18],[73.77906977 67.22093023] ; [16.22093023 14.77906977],0
s6,1,0.282528,1.154891,[120  18] ; [30  2],[121.76470588  16.23529412] ; [28.23529412  3.76470588],0
a5,1,0.285395,1.141217,[118  24] ; [24  8],[115.88505747  26.11494253] ; [26.11494253  5.88505747],0
p7,1,0.30019,1.073349,[130  11] ; [25  4],[128.55882353  12.44117647] ; [26.44117647  2.55882353],0
r2,1,0.3363,0.924484,[138   4] ; [30  2],[137.10344828   4.89655172] ; [30.89655172  1.10344828],0
p2,1,0.355289,0.854475,[131  11] ; [27  4],[129.68786127  12.31213873] ; [28.31213873  2.68786127],0
n2,1,0.360505,0.836132,[21  2] ; [8 2],[20.21212121  2.78787879] ; [8.78787879 1.21212121],0
d1,1,0.374278,0.789413,[96 46] ; [19 13],[93.85057471 48.14942529] ; [21.14942529 10.85057471],0
n1,1,0.382797,0.761701,[13 10] ; [4 6],[11.84848485 11.15151515] ; [5.15151515 4.84848485],0
p11,1,0.494264,0.46723,[126  16] ; [27  5],[124.86206897  17.13793103] ; [28.13793103  3.86206897],0
p3,1,0.501117,0.45257,[101  40] ; [21 11],[99.43352601 41.56647399] ; [22.56647399  9.43352601],0
u2,1,0.517413,0.419048,[14 16] ; [8 6],[15. 15.] ; [7. 7.],0
b2,1,0.545137,0.366102,[42 48] ; [ 7 11],[40.83333333 49.16666667] ; [8.16666667 9.83333333],0
b3,1,0.545137,0.366102,[42 48] ; [ 7 11],[40.83333333 49.16666667] ; [8.16666667 9.83333333],0
s3,1,0.612024,0.257238,[98 41] ; [24  8],[99.16959064 39.83040936] ; [22.83040936  9.16959064],0
p12,1,0.657458,0.196627,[ 22 119] ; [ 4 28],[ 21.19075145 119.80924855] ; [ 4.80924855 27.19075145],0
s8,1,0.657709,0.196319,[89 51] ; [19 13],[87.90697674 52.09302326] ; [20.09302326 11.90697674],0
a7,1,0.75074,0.100911,[98 44] ; [23  9],[98.74712644 43.25287356] ; [22.25287356  9.74712644],0
a1,1,0.759636,0.093611,[ 11 131] ; [ 3 29],[ 11.42528736 130.57471264] ; [ 2.57471264 29.42528736],0
u3,1,0.785671,0.07395,[18 12] ; [9 5],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
p1,1,0.826146,0.048245,[ 21 120] ; [ 4 26],[ 20.61403509 120.38596491] ; [ 4.38596491 25.61403509],0
d4,1,0.84623,0.037609,[120  20] ; [27  5],[119.65116279  20.34883721] ; [27.34883721  4.65116279],0
a6,1,0.851748,0.034927,[85 55] ; [20 12],[85.46511628 54.53488372] ; [19.53488372 12.46511628],0
b5,1,0.853054,0.034307,[64 78] ; [15 17],[64.47126437 77.52873563] ; [14.52873563 17.47126437],0
n3,1,0.873631,0.025296,[16  6] ; [7 3],[15.8125  6.1875] ; [7.1875 2.8125],0
s2,1,0.892723,0.018187,[103  38] ; [23  9],[102.69364162  38.30635838] ; [23.30635838  8.69364162],0
s1,1,0.930012,0.007714,[  4 137] ; [ 1 31],[  4.07514451 136.92485549] ; [ 0.92485549 31.07514451],0
b4,1,0.959759,0.002546,[85 57] ; [19 13],[84.87356322 57.12643678] ; [19.12643678 12.87356322],0
d3,1,0.977955,0.000764,[101  40] ; [23  9],[101.06358382  39.93641618] ; [22.93641618  9.06358382],0
