Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,28.420194,[ 18 323] ; [10 22],[ 25.59785523 315.40214477] ; [ 2.40214477 29.59785523],1
p3,1,0.0,27.417293,[117 225] ; [26  6],[130.76470588 211.23529412] ; [12.23529412 19.76470588],1
s5,1,1e-06,24.900827,[ 64 272] ; [18 13],[ 75.07356948 260.92643052] ; [ 6.92643052 24.07356948],1
s6,1,4.5e-05,16.627838,[159 181] ; [25  4],[169.53929539 170.46070461] ; [14.46070461 14.53929539],1
p6,1,5.2e-05,16.369574,[ 75 265] ; [17 14],[ 84.31266846 255.68733154] ; [ 7.68733154 23.31266846],1
p4,1,8.4e-05,15.466965,[149 191] ; [25  6],[159.46091644 180.53908356] ; [14.53908356 16.46091644],1
s7,1,0.00017,14.131443,[110 215] ; [20  9],[119.35028249 205.64971751] ; [10.64971751 18.35028249],1
p8,1,0.000844,11.142866,[136 204] ; [22  9],[144.79784367 195.20215633] ; [13.20215633 17.79784367],1
p7,1,0.005571,7.683969,[174 164] ; [24  7],[181.36585366 156.63414634] ; [16.63414634 14.36585366],0
a1,1,0.009909,6.651137,[ 16 327] ; [ 5 27],[ 19.208 323.792] ; [ 1.792 30.208],0
p12,1,0.033621,4.513866,[ 14 328] ; [ 4 28],[ 16.45989305 325.54010695] ; [ 1.54010695 30.45989305],0
a5,1,0.051341,3.797113,[220 123] ; [26  6],[225.008 117.992] ; [20.992 11.008],0
p9,1,0.05415,3.708069,[239  98] ; [27  4],[243.5923913  93.4076087] ; [22.4076087  8.5923913],0
n5,1,0.057314,3.613459,[219 120] ; [26  6],[223.86792453 115.13207547] ; [21.13207547 10.86792453],0
n6,1,0.064751,3.411311,[259  83] ; [28  3],[263.14745308  78.85254692] ; [23.85254692  7.14745308],0
n4,1,0.09088,2.858719,[241 102] ; [27  5],[245.13066667  97.86933333] ; [22.86933333  9.13066667],0
s8,1,0.131152,2.278816,[103 240] ; [13 17],[106.67024129 236.32975871] ; [ 9.32975871 20.67024129],0
