Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.01351,6.101127,[68  4] ; [1 1],[67.13513514  4.86486486] ; [1.86486486 0.13513514],0
a8,1,0.035397,4.425906,[ 5 62] ; [1 1],[ 5.82608696 61.17391304] ; [0.17391304 1.82608696],0
r4,1,0.096963,2.754796,[64  8] ; [1 1],[63.24324324  8.75675676] ; [1.75675676 0.24324324],0
p10,1,0.199543,1.645714,[59 11] ; [1 1],[58.33333333 11.66666667] ; [1.66666667 0.33333333],0
d4,1,0.35697,0.848527,[56 16] ; [1 1],[55.45945946 16.54054054] ; [1.54054054 0.45945946],0
a7,1,0.390892,0.736166,[55 17] ; [1 1],[54.48648649 17.51351351] ; [1.51351351 0.48648649],0
s2,1,0.458297,0.550051,[53 19] ; [1 1],[52.54054054 19.45945946] ; [1.45945946 0.54054054],0
d5,1,0.458297,0.550051,[53 19] ; [1 1],[52.54054054 19.45945946] ; [1.45945946 0.54054054],0
r1,1,0.458297,0.550051,[53 19] ; [1 1],[52.54054054 19.45945946] ; [1.45945946 0.54054054],0
d3,1,0.590547,0.289491,[49 23] ; [1 1],[48.64864865 23.35135135] ; [1.35135135 0.64864865],0
a4,1,0.590547,0.289491,[23 49] ; [1 1],[23.35135135 48.64864865] ; [0.64864865 1.35135135],0
p6,1,0.590547,0.289491,[23 49] ; [1 1],[23.35135135 48.64864865] ; [0.64864865 1.35135135],0
a3,1,0.655289,0.199297,[47 25] ; [1 1],[46.7027027 25.2972973] ; [1.2972973 0.7027027],0
b5,1,0.687338,0.161982,[46 26] ; [1 1],[45.72972973 26.27027027] ; [1.27027027 0.72972973],0
a5,1,0.687338,0.161982,[46 26] ; [1 1],[45.72972973 26.27027027] ; [1.27027027 0.72972973],0
p7,1,0.702608,0.145773,[43 25] ; [1 1],[42.74285714 25.25714286] ; [1.25714286 0.74285714],0
n6,1,0.731309,0.117913,[44 27] ; [1 1],[43.76712329 27.23287671] ; [1.23287671 0.76712329],0
b1,1,0.782369,0.076305,[29 43] ; [1 1],[29.18918919 42.81081081] ; [0.81081081 1.18918919],0
n5,1,0.813732,0.055514,[30 42] ; [1 1],[30.16216216 41.83783784] ; [0.83783784 1.16216216],0
p4,1,0.84497,0.038236,[41 31] ; [1 1],[40.86486486 31.13513514] ; [1.13513514 0.86486486],0
p3,1,0.969079,0.001503,[35 37] ; [1 1],[35.02702703 36.97297297] ; [0.97297297 1.02702703],0
