Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2.2e-05,18.015897,[110  15] ; [40 25],[98.68421053 26.31578947] ; [51.31578947 13.68421053],1
p7,1,7.7e-05,15.639363,[77 46] ; [21 44],[64.11702128 58.88297872] ; [33.88297872 31.11702128],1
p9,1,0.000297,13.091883,[104  22] ; [36 26],[93.82978723 32.17021277] ; [46.17021277 15.82978723],1
n6,1,0.000962,10.898539,[93 34] ; [32 33],[82.68229167 44.31770833] ; [42.31770833 22.68229167],1
p10,1,0.002121,9.442011,[95 30] ; [34 29],[85.7712766 39.2287234] ; [43.2287234 19.7712766],0
r3,1,0.005535,7.695772,[124   3] ; [58  8],[119.76165803   7.23834197] ; [62.23834197  3.76165803],0
n4,1,0.00954,6.718898,[57 70] ; [17 49],[48.69430052 78.30569948] ; [25.30569948 40.69430052],0
p8,1,0.010899,6.481699,[61 65] ; [19 46],[52.77486911 73.22513089] ; [27.22513089 37.77486911],0
r4,1,0.011134,6.443826,[111  16] ; [48 18],[104.62694301  22.37305699] ; [54.37305699 11.62694301],0
b1,1,0.021852,5.257521,[35 92] ; [29 37],[42.11398964 84.88601036] ; [21.88601036 44.11398964],0
a2,1,0.026679,4.911478,[ 18 109] ; [18 48],[ 23.68911917 103.31088083] ; [12.31088083 53.68911917],0
s4,1,0.047552,3.925753,[ 18 109] ; [17 49],[ 23.03108808 103.96891192] ; [11.96891192 54.03108808],0
p4,1,0.047809,3.91668,[62 65] ; [22 43],[55.5625 71.4375] ; [28.4375 36.5625],0
s8,1,0.055804,3.657894,[46 81] ; [15 51],[40.13989637 86.86010363] ; [20.86010363 45.13989637],0
p5,1,0.072122,3.234051,[ 10 116] ; [ 1 64],[  7.2565445 118.7434555] ; [ 3.7434555 61.2565445],0
n3,1,0.092799,2.825128,[27  5] ; [17  9],[24.27586207  7.72413793] ; [19.72413793  6.27586207],0
v4,1,0.111116,2.538283,[118   7] ; [58  8],[115.18324607   9.81675393] ; [60.81675393  5.18324607],0
p6,1,0.125501,2.347293,[36 88] ; [12 52],[31.65957447 92.34042553] ; [16.34042553 47.65957447],0
p12,1,0.137103,2.210182,[  8 118] ; [ 1 64],[  5.93717277 120.06282723] ; [ 3.06282723 61.93717277],0
d2,1,0.148003,2.092717,[46 81] ; [31 35],[50.66839378 76.33160622] ; [26.33160622 39.66839378],0
p3,1,0.156347,2.00921,[51 76] ; [19 45],[46.54450262 80.45549738] ; [23.45549738 40.54450262],0
s1,1,0.166541,1.913803,[  4 123] ; [ 5 61],[  5.92227979 121.07772021] ; [ 3.07772021 62.92227979],0
b3,1,0.181696,1.7837,[23 51] ; [ 5 23],[20.31372549 53.68627451] ; [ 7.68627451 20.31372549],0
b2,1,0.181696,1.7837,[23 51] ; [ 5 23],[20.31372549 53.68627451] ; [ 7.68627451 20.31372549],0
d1,1,0.213781,1.545633,[67 60] ; [41 25],[71.06735751 55.93264249] ; [36.93264249 29.06735751],0
s2,1,0.273611,1.198554,[47 79] ; [30 36],[50.53125 75.46875] ; [26.46875 39.53125],0
a5,1,0.281127,1.161635,[85 42] ; [39 27],[81.59585492 45.40414508] ; [42.40414508 23.59585492],0
a4,1,0.315534,1.00737,[39 88] ; [25 41],[42.11398964 84.88601036] ; [21.88601036 44.11398964],0
u3,1,0.344595,0.893261,[30 14] ; [13 10],[28.23880597 15.76119403] ; [14.76119403  8.23880597],0
b5,1,0.353808,0.859751,[78 49] ; [45 21],[80.93782383 46.06217617] ; [42.06217617 23.93782383],0
a1,1,0.357776,0.845685,[  5 122] ; [ 1 65],[  3.94818653 123.05181347] ; [ 2.05181347 63.94818653],0
n2,1,0.413452,0.668852,[20 11] ; [14 12],[18.49122807 12.50877193] ; [15.50877193 10.49122807],0
u1,1,0.439582,0.597374,[ 16 111] ; [11 55],[ 17.76683938 109.23316062] ; [ 9.23316062 56.76683938],0
d5,1,0.446528,0.57945,[100  27] ; [55 11],[101.99481865  25.00518135] ; [53.00518135 12.99481865],0
a6,1,0.473495,0.513808,[91 36] ; [44 22],[88.83419689 38.16580311] ; [46.16580311 19.83419689],0
s3,1,0.4851,0.487377,[54 71] ; [32 34],[56.28272251 68.71727749] ; [29.71727749 36.28272251],0
n1,1,0.530628,0.393189,[ 7 25] ; [ 4 22],[ 6.06896552 25.93103448] ; [ 4.93103448 21.06896552],0
d4,1,0.539264,0.376906,[110  17] ; [55 11],[108.57512953  18.42487047] ; [56.42487047  9.57512953],0
r2,1,0.570598,0.321683,[113  10] ; [59  7],[111.93650794  11.06349206] ; [60.06349206  5.93650794],0
p1,1,0.583528,0.300566,[  7 117] ; [ 5 60],[  7.87301587 116.12698413] ; [ 4.12698413 60.87301587],0
b4,1,0.596968,0.279593,[80 47] ; [39 27],[78.30569948 48.69430052] ; [40.69430052 25.30569948],0
s7,1,0.607585,0.263707,[42 82] ; [23 38],[43.56756757 80.43243243] ; [21.43243243 39.56756757],0
v2,1,0.639537,0.219348,[65 58] ; [30 31],[63.50543478 59.49456522] ; [31.49456522 29.50543478],0
a3,1,0.656632,0.197641,[83 44] ; [41 25],[81.59585492 45.40414508] ; [42.40414508 23.59585492],0
s6,1,0.6745,0.176383,[68 57] ; [38 28],[69.37172775 55.62827225] ; [36.62827225 29.37172775],0
u2,1,0.749543,0.101915,[25 19] ; [14  9],[25.6119403 18.3880597] ; [13.3880597  9.6119403],0
d3,1,0.8147,0.054928,[100  27] ; [51 15],[99.3626943 27.6373057] ; [51.6373057 14.3626943],0
s5,1,0.838235,0.041678,[32 91] ; [17 45],[32.57837838 90.42162162] ; [16.42162162 45.57837838],0
v1,1,0.883316,0.02154,[46 75] ; [24 41],[45.53763441 75.46236559] ; [24.46236559 40.53763441],0
v3,1,0.894342,0.017639,[36 86] ; [18 45],[35.61081081 86.38918919] ; [18.38918919 44.61081081],0
r1,1,0.956572,0.002965,[94 32] ; [49 17],[93.84375 32.15625] ; [49.15625 16.84375],0
