Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.656619,[164  59] ; [63 78],[139.06868132  83.93131868] ; [87.93131868 53.06868132],1
v3,1,0.0,27.307484,[133  89] ; [44 95],[108.84764543 113.15235457] ; [68.15235457 70.84764543],1
n5,1,0.001327,10.305095,[210  18] ; [114  27],[200.19512195  27.80487805] ; [123.80487805  17.19512195],0
s8,1,0.00158,9.982754,[132  94] ; [58 82],[117.32240437 108.67759563] ; [72.67759563 67.32240437],0
n1,1,0.003388,8.585676,[18  8] ; [ 9 21],[12.53571429 13.46428571] ; [14.46428571 15.53571429],0
p10,1,0.004369,8.123728,[207  19] ; [115  26],[198.28882834  27.71117166] ; [123.71117166  17.28882834],0
r4,1,0.006367,7.443503,[218  10] ; [125  17],[211.36216216  16.63783784] ; [131.63783784  10.36216216],0
d1,1,0.011382,6.404697,[158  70] ; [80 62],[146.65945946  81.34054054] ; [91.34054054 50.65945946],0
d5,1,0.011742,6.34939,[201  26] ; [112  30],[192.5501355  34.4498645] ; [120.4498645  21.5501355],0
n2,1,0.016457,5.753396,[23  3] ; [18 12],[19.03571429  6.96428571] ; [21.96428571  8.03571429],0
r3,1,0.020421,5.375526,[222   6] ; [129  11],[217.4673913  10.5326087] ; [133.5326087   6.4673913],0
p2,1,0.021255,5.305785,[208  19] ; [119  23],[201.16260163  25.83739837] ; [125.83739837  16.16260163],0
b5,1,0.022245,5.226505,[140  88] ; [70 72],[129.40540541  98.59459459] ; [80.59459459 61.40540541],0
r2,1,0.041263,4.165175,[220   6] ; [130  10],[216.12021858   9.87978142] ; [133.87978142   6.12021858],0
p12,1,0.050048,3.839843,[ 31 195] ; [ 10 131],[ 25.2479564 200.7520436] ; [ 15.7520436 125.2479564],0
p9,1,0.050627,3.820586,[208  19] ; [120  21],[202.32608696  24.67391304] ; [125.67391304  15.32608696],0
d3,1,0.062144,3.47923,[167  61] ; [91 51],[158.98378378  69.01621622] ; [99.01621622 42.98378378],0
s5,1,0.065476,3.392941,[ 95 121] ; [46 89],[ 86.76923077 129.23076923] ; [54.23076923 80.76923077],0
p11,1,0.075701,3.154859,[196  32] ; [112  30],[189.79459459  38.20540541] ; [118.20540541  23.79459459],0
u4,1,0.088579,2.900017,[  8 220] ; [  1 141],[  5.54594595 222.45405405] ; [  3.45405405 138.54594595],0
a7,1,0.097002,2.754149,[170  57] ; [95 47],[163.02168022  63.97831978] ; [101.97831978  40.02168022],0
d4,1,0.122135,2.389723,[196  31] ; [114  28],[190.70460705  36.29539295] ; [119.29539295  22.70460705],0
p7,1,0.137074,2.210505,[178  47] ; [102  39],[172.13114754  52.86885246] ; [107.86885246  33.13114754],0
b2,1,0.147189,2.101142,[68 87] ; [31 59],[62.63265306 92.36734694] ; [36.36734694 53.63265306],0
b3,1,0.147189,2.101142,[68 87] ; [31 59],[62.63265306 92.36734694] ; [36.36734694 53.63265306],0
n3,1,0.155286,2.019539,[23  3] ; [22  8],[20.89285714  5.10714286] ; [24.10714286  5.89285714],0
s2,1,0.164844,1.929218,[130  95] ; [71 70],[123.56557377 101.43442623] ; [77.43442623 63.56557377],0
p4,1,0.175985,1.831206,[191  37] ; [111  31],[186.0972973  41.9027027] ; [115.9027027  26.0972973],0
a8,1,0.183933,1.765554,[ 33 167] ; [ 15 118],[ 28.82882883 171.17117117] ; [ 19.17117117 113.82882883],0
p8,1,0.186732,1.743215,[157  68] ; [89 52],[151.2295082  73.7704918] ; [94.7704918 46.2295082],0
v4,1,0.218475,1.514359,[221   7] ; [133   8],[218.73170732   9.26829268] ; [135.26829268   5.73170732],0
s3,1,0.218741,1.512611,[129  97] ; [89 51],[134.61202186  91.38797814] ; [83.38797814 56.61202186],0
a3,1,0.223045,1.484673,[178  48] ; [104  38],[173.18478261  52.81521739] ; [108.81521739  33.18478261],0
p1,1,0.228514,1.450085,[ 24 203] ; [ 21 121],[ 27.68292683 199.31707317] ; [ 17.31707317 124.68292683],0
p5,1,0.271737,1.207957,[ 49 178] ; [ 24 118],[ 44.90785908 182.09214092] ; [ 28.09214092 113.90785908],0
p6,1,0.296766,1.088672,[119 105] ; [67 74],[114.14794521 109.85205479] ; [71.85205479 69.14794521],0
s6,1,0.312505,1.020061,[162  61] ; [92 44],[157.77715877  65.22284123] ; [96.22284123 39.77715877],0
u3,1,0.320593,0.986525,[31 19] ; [19 18],[28.73563218 21.26436782] ; [21.26436782 15.73563218],0
r1,1,0.358884,0.841793,[193  35] ; [115  27],[189.79459459  38.20540541] ; [118.20540541  23.79459459],0
a5,1,0.363795,0.824749,[184  44] ; [109  33],[180.55135135  47.44864865] ; [112.44864865  29.55135135],0
u1,1,0.377676,0.778253,[ 59 169] ; [ 31 111],[ 55.45945946 172.54054054] ; [ 34.54054054 107.45945946],0
s7,1,0.392665,0.730674,[130  83] ; [75 58],[126.19942197  86.80057803] ; [78.80057803 54.19942197],0
n6,1,0.45696,0.553331,[209  19] ; [126  15],[206.99186992  21.00813008] ; [128.00813008  12.99186992],0
d2,1,0.461727,0.541704,[127 101] ; [73 68],[123.57723577 104.42276423] ; [76.42276423 64.57723577],0
a4,1,0.494521,0.466674,[117 110] ; [68 74],[113.80758808 113.19241192] ; [71.19241192 70.80758808],0
s4,1,0.557422,0.344187,[ 36 188] ; [ 26 115],[ 38.04931507 185.95068493] ; [ 23.95068493 117.04931507],0
b4,1,0.644764,0.212565,[134  94] ; [80 62],[131.87027027  96.12972973] ; [82.12972973 59.87027027],0
a2,1,0.649069,0.207076,[ 66 162] ; [ 38 104],[ 64.08648649 163.91351351] ; [ 39.91351351 102.08648649],0
s1,1,0.737894,0.111986,[  8 218] ; [  6 136],[  8.59782609 217.40217391] ; [  5.40217391 136.59782609],0
a6,1,0.75562,0.096869,[158  69] ; [101  41],[159.33062331  67.66937669] ; [99.66937669 42.33062331],0
