Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.091083,[23 77] ; [18  8],[32.53968254 67.46031746] ; [ 8.46031746 17.53968254],1
p6,1,4.3e-05,16.746578,[12 89] ; [13 15],[19.57364341 81.42635659] ; [ 5.42635659 22.57364341],1
p5,1,0.001331,10.298851,[ 5 95] ; [ 7 21],[ 9.375 90.625] ; [ 2.625 25.375],0
p4,1,0.005451,7.723406,[23 79] ; [13 13],[28.6875 73.3125] ; [ 7.3125 18.6875],0
p3,1,0.010186,6.602153,[30 73] ; [15 12],[35.65384615 67.34615385] ; [ 9.34615385 17.65384615],0
p10,1,0.010335,6.576176,[52 49] ; [22  6],[57.9379845 43.0620155] ; [16.0620155 11.9379845],0
s5,1,0.016015,5.801187,[18 79] ; [11 16],[22.68548387 74.31451613] ; [ 6.31451613 20.68548387],0
n6,1,0.035532,4.419404,[75 28] ; [24  2],[79.04651163 23.95348837] ; [19.95348837  6.04651163],0
p9,1,0.037928,4.308267,[57 43] ; [22  6],[61.71875 38.28125] ; [17.28125 10.71875],0
v4,1,0.038301,4.291625,[77 26] ; [26  2],[80.98473282 22.01526718] ; [22.01526718  5.98473282],0
v1,1,0.051176,3.802488,[33 66] ; [15 13],[37.41732283 61.58267717] ; [10.58267717 17.41732283],0
p11,1,0.073084,3.212352,[58 45] ; [21  7],[62.11450382 40.88549618] ; [16.88549618 11.11450382],0
d4,1,0.094531,2.795473,[77 25] ; [16 11],[73.53488372 28.46511628] ; [19.46511628  7.53488372],0
u2,1,0.147248,2.100533,[19 16] ; [4 9],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
v2,1,0.156305,2.009616,[43 55] ; [16 11],[46.256 51.744] ; [12.744 14.256],0
a1,1,0.169309,1.889049,[13 90] ; [ 1 27],[11.00763359 91.99236641] ; [ 2.99236641 25.00763359],0
r2,1,0.171111,1.873186,[87 13] ; [26  1],[88.97637795 11.02362205] ; [24.02362205  2.97637795],0
d5,1,0.202653,1.623152,[70 32] ; [15 12],[67.20930233 34.79069767] ; [17.79069767  9.20930233],0
p12,1,0.205126,1.605497,[ 7 96] ; [ 4 24],[ 8.64885496 94.35114504] ; [ 2.35114504 25.64885496],0
b5,1,0.205699,1.601443,[58 45] ; [12 16],[55.03816794 47.96183206] ; [14.96183206 13.03816794],0
