Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.202421,[11 23] ; [26  3],[19.96825397 14.03174603] ; [17.03174603 11.96825397],1
d2,1,1e-05,19.483965,[ 8 26] ; [23  6],[16.73015873 17.26984127] ; [14.26984127 14.73015873],1
a4,1,0.00042,12.439284,[ 5 29] ; [17 13],[11.6875 22.3125] ; [10.3125 19.6875],1
a2,1,0.000562,11.899045,[ 1 33] ; [11 19],[ 6.375 27.625] ; [ 5.625 24.375],1
v2,1,0.006318,7.457185,[15 18] ; [23  6],[20.22580645 12.77419355] ; [17.77419355 11.22580645],0
s7,1,0.008597,6.904762,[10 20] ; [19  9],[15. 15.] ; [14. 14.],0
p1,1,0.067121,3.352066,[ 6 28] ; [ 1 29],[ 3.71875 30.28125] ; [ 3.28125 26.71875],0
s8,1,0.071195,3.255258,[10 24] ; [15 14],[13.49206349 20.50793651] ; [11.50793651 17.49206349],0
r1,1,0.07306,3.21289,[23 11] ; [26  4],[26.03125  7.96875] ; [22.96875  7.03125],0
p10,1,0.083205,3.001162,[16 17] ; [21  9],[19.38095238 13.61904762] ; [17.61904762 12.38095238],0
n6,1,0.084723,2.971894,[23 11] ; [25  4],[25.9047619  8.0952381] ; [22.0952381  6.9047619],0
a6,1,0.09731,2.749094,[19 15] ; [22  7],[22.12698413 11.87301587] ; [18.87301587 10.12698413],0
a7,1,0.129239,2.301626,[20 14] ; [23  7],[22.84375 11.15625] ; [20.15625  9.84375],0
p9,1,0.134196,2.243282,[17 16] ; [21  9],[19.9047619 13.0952381] ; [18.0952381 11.9047619],0
r3,1,0.152246,2.049601,[26  8] ; [27  3],[28.15625  5.84375] ; [24.84375  5.15625],0
b4,1,0.162762,1.94838,[18 16] ; [21  9],[20.71875 13.28125] ; [18.28125 11.71875],0
p8,1,0.174464,1.84416,[12 22] ; [ 6 24],[ 9.5625 24.4375] ; [ 8.4375 21.5625],0
s3,1,0.179599,1.800936,[11 22] ; [15 15],[13.61904762 19.38095238] ; [12.38095238 17.61904762],0
s4,1,0.179749,1.799696,[ 3 31] ; [ 6 23],[ 4.85714286 29.14285714] ; [ 4.14285714 24.85714286],0
a5,1,0.199321,1.647344,[21 13] ; [23  7],[23.375 10.625] ; [20.625  9.375],0
n1,1,0.210075,1.570909,[3 3] ; [2 8],[1.875 4.125] ; [3.125 6.875],0
u3,1,0.215508,1.534035,[7 5] ; [6 1],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
r2,1,0.223544,1.481472,[30  4] ; [28  1],[31.3015873  2.6984127] ; [26.6984127  2.3015873],0
v4,1,0.244355,1.355294,[27  7] ; [27  3],[28.6875  5.3125] ; [25.3125  4.6875],0
b2,1,0.247669,1.336405,[10 11] ; [ 6 14],[ 8.19512195 12.80487805] ; [ 7.80487805 12.19512195],0
b3,1,0.247669,1.336405,[10 11] ; [ 6 14],[ 8.19512195 12.80487805] ; [ 7.80487805 12.19512195],0
n4,1,0.264177,1.246735,[23 11] ; [24  6],[24.96875  9.03125] ; [22.03125  7.96875],0
a3,1,0.295967,1.092278,[22 12] ; [23  7],[23.90625 10.09375] ; [21.09375  8.90625],0
s1,1,0.303812,1.057389,[ 5 29] ; [ 2 28],[ 3.71875 30.28125] ; [ 3.28125 26.71875],0
a8,1,0.309915,1.03104,[ 4 30] ; [ 1 23],[ 2.93103448 31.06896552] ; [ 2.06896552 21.93103448],0
p12,1,0.34376,0.896359,[ 3 31] ; [ 5 25],[ 4.25 29.75] ; [ 3.75 26.25],0
a1,1,0.34376,0.896359,[ 3 31] ; [ 5 25],[ 4.25 29.75] ; [ 3.75 26.25],0
b5,1,0.422571,0.643153,[17 17] ; [18 12],[18.59375 15.40625] ; [16.40625 13.59375],0
p4,1,0.478045,0.50332,[ 9 24] ; [10 18],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],0
p7,1,0.478045,0.50332,[ 9 24] ; [10 18],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],0
s2,1,0.479182,0.500724,[14 20] ; [15 15],[15.40625 18.59375] ; [13.59375 16.40625],0
s6,1,0.48881,0.479144,[21 13] ; [21  9],[22.3125 11.6875] ; [19.6875 10.3125],0
v1,1,0.516072,0.421736,[17 16] ; [13 17],[15.71428571 17.28571429] ; [14.28571429 15.71428571],0
p5,1,0.635292,0.224953,[ 6 28] ; [ 4 26],[ 5.3125 28.6875] ; [ 4.6875 25.3125],0
p11,1,0.739243,0.110793,[19 15] ; [18 12],[19.65625 14.34375] ; [17.34375 12.65625],0
s5,1,0.753989,0.09821,[ 9 25] ; [ 9 21],[ 9.5625 24.4375] ; [ 8.4375 21.5625],0
r4,1,0.790938,0.070275,[27  7] ; [23  7],[26.5625  7.4375] ; [23.4375  6.5625],0
p6,1,0.790938,0.070275,[ 7 27] ; [ 7 23],[ 7.4375 26.5625] ; [ 6.5625 23.4375],0
u2,1,0.829454,0.046398,[8 4] ; [5 2],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
p3,1,0.910781,0.012556,[11 23] ; [ 9 20],[10.79365079 23.20634921] ; [ 9.20634921 19.79365079],0
b1,1,0.923815,0.009145,[14 20] ; [12 18],[13.8125 20.1875] ; [12.1875 17.8125],0
n5,1,0.959007,0.002642,[24 10] ; [21  9],[23.90625 10.09375] ; [21.09375  8.90625],0
n3,1,1.0,0.0,[3 3] ; [5 5],[3. 3.] ; [5. 5.],0
