Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001022,10.78687,[39 79] ; [16  7],[46.02836879 71.97163121] ; [ 8.97163121 14.02836879],0
p7,1,0.002362,9.244218,[51 66] ; [18  5],[57.66428571 59.33571429] ; [11.33571429 11.66428571],0
p8,1,0.002455,9.174133,[42 76] ; [16  7],[48.53900709 69.46099291] ; [ 9.46099291 13.53900709],0
b2,1,0.03154,4.623323,[12 44] ; [7 7],[15.2 40.8] ; [ 3.8 10.2],0
b3,1,0.03154,4.623323,[12 44] ; [7 7],[15.2 40.8] ; [ 3.8 10.2],0
n2,1,0.044045,4.054834,[23 20] ; [11  2],[26.10714286 16.89285714] ; [7.89285714 5.10714286],0
a4,1,0.045461,4.001466,[32 87] ; [11 12],[36.03521127 82.96478873] ; [ 6.96478873 16.03521127],0
b1,1,0.079996,3.064978,[44 75] ; [13 10],[47.76760563 71.23239437] ; [ 9.23239437 13.76760563],0
p3,1,0.091337,2.850658,[31 88] ; [10 13],[34.35915493 84.64084507] ; [ 6.64084507 16.35915493],0
p5,1,0.094908,2.789096,[  5 113] ; [ 3 20],[  6.69503546 111.30496454] ; [ 1.30496454 21.69503546],0
s4,1,0.095442,2.780108,[ 15 104] ; [ 6 17],[ 17.59859155 101.40140845] ; [ 3.40140845 19.59859155],0
n3,1,0.10706,2.597099,[26 17] ; [11  2],[28.41071429 14.58928571] ; [8.58928571 4.41071429],0
p1,1,0.14437,2.130754,[  3 115] ; [ 2 21],[  4.18439716 113.81560284] ; [ 0.81560284 22.18439716],0
n1,1,0.185108,1.75613,[ 9 35] ; [5 8],[10.80701754 33.19298246] ; [3.19298246 9.80701754],0
a1,1,0.191291,1.707647,[  1 118] ; [ 1 22],[  1.67605634 117.32394366] ; [ 0.32394366 22.67605634],0
r2,1,0.214921,1.537965,[95 23] ; [21  2],[97.07801418 20.92198582] ; [18.92198582  4.07801418],0
u2,1,0.269762,1.217955,[26 25] ; [7 3],[27.59016393 23.40983607] ; [5.40983607 4.59016393],0
b4,1,0.29274,1.106977,[71 48] ; [11 12],[68.71830986 50.28169014] ; [13.28169014  9.71830986],0
s3,1,0.320716,0.986024,[26 91] ; [ 3 20],[24.23571429 92.76428571] ; [ 4.76428571 18.23571429],0
r1,1,0.322843,0.977394,[80 39] ; [13 10],[77.93661972 41.06338028] ; [15.06338028  7.93661972],0
s5,1,0.324873,0.969228,[ 17 101] ; [ 5 17],[18.54285714 99.45714286] ; [ 3.45714286 18.54285714],0
d4,1,0.35476,0.856359,[88 30] ; [15  8],[86.19858156 31.80141844] ; [16.80141844  6.19858156],0
s7,1,0.410933,0.676101,[21 92] ; [ 6 17],[22.43382353 90.56617647] ; [ 4.56617647 18.43382353],0
r4,1,0.453946,0.560779,[84 35] ; [18  5],[85.47887324 33.52112676] ; [16.52112676  6.47887324],0
v4,1,0.45515,0.557795,[100  17] ; [21  2],[101.12142857  15.87857143] ; [19.87857143  3.12142857],0
v3,1,0.46726,0.528449,[29 85] ; [ 4 18],[27.66176471 86.33823529] ; [ 5.33823529 16.66176471],0
d5,1,0.480133,0.498562,[79 40] ; [17  6],[80.45070423 38.54929577] ; [15.54929577  7.45070423],0
a6,1,0.50101,0.452795,[66 53] ; [11 12],[64.52816901 54.47183099] ; [12.47183099 10.52816901],0
p11,1,0.501223,0.452346,[74 45] ; [16  7],[75.42253521 43.57746479] ; [14.57746479  8.42253521],0
d2,1,0.501886,0.450946,[38 81] ; [ 9 14],[39.38732394 79.61267606] ; [ 7.61267606 15.38732394],0
d3,1,0.543006,0.369996,[73 46] ; [15  7],[74.26950355 44.73049645] ; [13.73049645  8.26950355],0
n6,1,0.549516,0.358186,[75 44] ; [16  7],[76.26056338 42.73943662] ; [14.73943662  8.26056338],0
p2,1,0.562479,0.335429,[80 38] ; [17  6],[81.17730496 36.82269504] ; [15.82269504  7.17730496],0
r3,1,0.58968,0.290845,[98 21] ; [20  3],[98.88732394 20.11267606] ; [19.11267606  3.88732394],0
u1,1,0.612202,0.256981,[  7 112] ; [ 2 21],[  7.54225352 111.45774648] ; [ 1.45774648 21.54225352],0
a5,1,0.643809,0.213795,[61 58] ; [13 10],[62.01408451 56.98591549] ; [11.98591549 11.01408451],0
d1,1,0.664834,0.187705,[46 73] ; [10 13],[46.92957746 72.07042254] ; [ 9.07042254 13.92957746],0
a2,1,0.768581,0.086572,[ 13 106] ; [ 3 20],[ 13.4084507 105.5915493] ; [ 2.5915493 20.4084507],0
b5,1,0.837525,0.04205,[70 49] ; [13 10],[69.55633803 49.44366197] ; [13.44366197  9.55633803],0
a8,1,0.838432,0.041575,[  4 106] ; [ 1 21],[  4.16666667 105.83333333] ; [ 0.83333333 21.16666667],0
p9,1,0.847846,0.036813,[79 38] ; [16  7],[79.39285714 37.60714286] ; [15.60714286  7.39285714],0
s6,1,0.862114,0.030166,[42 77] ; [ 7 14],[41.65 77.35] ; [ 7.35 13.65],0
a7,1,0.887593,0.01998,[81 38] ; [16  7],[81.28873239 37.71126761] ; [15.71126761  7.28873239],0
a3,1,0.921864,0.009621,[68 50] ; [13 10],[67.78723404 50.21276596] ; [13.21276596  9.78723404],0
s8,1,0.936079,0.006432,[ 17 102] ; [ 3 19],[ 16.87943262 102.12056738] ; [ 3.12056738 18.87943262],0
