Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000825,11.184571,[6 1] ; [ 6 24],[2.27027027 4.72972973] ; [ 9.72972973 20.27027027],1
v3,1,0.007349,7.185614,[5 2] ; [ 6 24],[2.08108108 4.91891892] ; [ 8.91891892 21.08108108],0
d3,1,0.029335,4.74787,[6 1] ; [12 18],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
r4,1,0.064527,3.417027,[5 2] ; [10 20],[2.83783784 4.16216216] ; [12.16216216 17.83783784],0
v2,1,0.07515,3.166784,[5 2] ; [10 19],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
p5,1,0.081187,3.040986,[3 4] ; [ 4 25],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
s3,1,0.085898,2.949617,[1 6] ; [15 15],[3.02702703 3.97297297] ; [12.97297297 17.02702703],0
d5,1,0.085898,2.949617,[6 1] ; [15 15],[3.97297297 3.02702703] ; [17.02702703 12.97297297],0
a4,1,0.120903,2.405587,[4 3] ; [ 8 22],[2.27027027 4.72972973] ; [ 9.72972973 20.27027027],0
b2,1,0.2113,1.5625,[2 3] ; [ 3 17],[1. 4.] ; [ 4. 16.],0
b3,1,0.2113,1.5625,[2 3] ; [ 3 17],[1. 4.] ; [ 4. 16.],0
n6,1,0.237893,1.393038,[5 2] ; [14 16],[3.59459459 3.40540541] ; [15.40540541 14.59459459],0
u1,1,0.248539,1.331497,[1 6] ; [ 1 29],[0.37837838 6.62162162] ; [ 1.62162162 28.37837838],0
v1,1,0.320428,0.987201,[4 3] ; [11 19],[2.83783784 4.16216216] ; [12.16216216 17.83783784],0
p9,1,0.3208,0.985681,[6 1] ; [20 10],[4.91891892 2.08108108] ; [21.08108108  8.91891892],0
n4,1,0.384206,0.7572,[5 2] ; [16 14],[3.97297297 3.02702703] ; [17.02702703 12.97297297],0
r1,1,0.409727,0.679592,[4 3] ; [12 18],[3.02702703 3.97297297] ; [12.97297297 17.02702703],0
s7,1,0.421671,0.645652,[1 5] ; [ 9 18],[1.81818182 4.18181818] ; [ 8.18181818 18.81818182],0
p8,1,0.433627,0.613089,[5 2] ; [16 13],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
b4,1,0.473805,0.513088,[2 5] ; [13 17],[2.83783784 4.16216216] ; [12.16216216 17.83783784],0
a5,1,0.473805,0.513088,[5 2] ; [17 13],[4.16216216 2.83783784] ; [17.83783784 12.16216216],0
p11,1,0.491776,0.472638,[6 1] ; [22  8],[5.2972973 1.7027027] ; [22.7027027  7.2972973],0
s1,1,0.506061,0.442204,[1 6] ; [ 2 28],[0.56756757 6.43243243] ; [ 2.43243243 27.56756757],0
s6,1,0.509151,0.435812,[3 4] ; [17 13],[3.78378378 3.21621622] ; [16.21621622 13.78378378],0
b5,1,0.509151,0.435812,[3 4] ; [17 13],[3.78378378 3.21621622] ; [16.21621622 13.78378378],0
s5,1,0.600556,0.274158,[1 6] ; [ 7 23],[1.51351351 5.48648649] ; [ 6.48648649 23.51351351],0
p3,1,0.617536,0.249346,[4 3] ; [14 16],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
p6,1,0.634592,0.225885,[3 4] ; [10 20],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
s2,1,0.634592,0.225885,[3 4] ; [10 20],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
u3,1,0.671373,0.18,[1 2] ; [7 8],[1.33333333 1.66666667] ; [6.66666667 8.33333333],0
b1,1,0.686225,0.163202,[5 2] ; [19 11],[4.54054054 2.45945946] ; [19.45945946 10.54054054],0
a6,1,0.733508,0.115915,[4 3] ; [15 15],[3.59459459 3.40540541] ; [15.40540541 14.59459459],0
a3,1,0.733508,0.115915,[4 3] ; [15 15],[3.59459459 3.40540541] ; [15.40540541 14.59459459],0
p12,1,0.742298,0.108117,[1 6] ; [ 3 27],[0.75675676 6.24324324] ; [ 3.24324324 26.75675676],0
n5,1,0.761057,0.092473,[4 3] ; [19 11],[4.35135135 2.64864865] ; [18.64864865 11.35135135],0
s4,1,0.771159,0.084599,[2 5] ; [ 7 23],[1.7027027 5.2972973] ; [ 7.2972973 22.7027027],0
p4,1,0.808514,0.05873,[5 2] ; [20 10],[4.72972973 2.27027027] ; [20.27027027  9.72972973],0
u2,1,0.813945,0.055385,[2 1] ; [11  4],[2.16666667 0.83333333] ; [10.83333333  4.16666667],0
n2,1,0.825498,0.048611,[1 1] ; [7 5],[1.14285714 0.85714286] ; [6.85714286 5.14285714],0
a7,1,0.855494,0.033165,[3 4] ; [14 16],[3.21621622 3.78378378] ; [13.78378378 16.21621622],0
r3,1,0.918613,0.010441,[5 2] ; [22  8],[5.10810811 1.89189189] ; [21.89189189  8.10810811],0
s8,1,0.940643,0.005544,[2 5] ; [ 9 21],[2.08108108 4.91891892] ; [ 8.91891892 21.08108108],0
