Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000833,11.166171,[ 8 16] ; [72 31],[15.11811024  8.88188976] ; [64.88188976 38.11811024],1
r1,1,0.006292,7.464687,[12 12] ; [80 23],[17.38582677  6.61417323] ; [74.61417323 28.38582677],0
p10,1,0.028854,4.776324,[14 10] ; [82 21],[18.14173228  5.85826772] ; [77.85826772 25.14173228],0
b1,1,0.029666,4.728546,[ 6 18] ; [51 52],[10.77165354 13.22834646] ; [46.22834646 56.77165354],0
s1,1,0.040625,4.191606,[ 3 20] ; [ 3 99],[ 1.104 21.896] ; [ 4.896 97.104],0
n4,1,0.04176,4.144904,[22  2] ; [74 29],[18.14173228  5.85826772] ; [77.85826772 25.14173228],0
n1,1,0.045219,4.010462,[6 4] ; [ 7 21],[3.42105263 6.57894737] ; [ 9.57894737 18.42105263],0
p5,1,0.099721,2.710003,[ 1 23] ; [18 85],[ 3.59055118 20.40944882] ; [15.40944882 87.59055118],0
r3,1,0.10193,2.675088,[21  3] ; [97  4],[22.656  1.344] ; [95.344  5.656],0
a3,1,0.115347,2.479387,[20  4] ; [69 34],[16.81889764  7.18110236] ; [72.18110236 30.81889764],0
p3,1,0.143251,2.142682,[12 12] ; [68 35],[15.11811024  8.88188976] ; [64.88188976 38.11811024],0
b4,1,0.160663,1.967976,[15  9] ; [48 55],[11.90551181 12.09448819] ; [51.09448819 51.90551181],0
p2,1,0.17702,1.822467,[19  5] ; [92 11],[20.97637795  3.02362205] ; [90.02362205 12.97637795],0
d1,1,0.177921,1.814905,[16  8] ; [53 50],[13.03937008 10.96062992] ; [55.96062992 47.03937008],0
p11,1,0.187474,1.737356,[15  9] ; [78 25],[17.57480315  6.42519685] ; [75.42519685 27.57480315],0
d2,1,0.18778,1.734952,[15  9] ; [49 54],[12.09448819 11.90551181] ; [51.90551181 51.09448819],0
a4,1,0.19518,1.678075,[14 10] ; [45 58],[11.1496063 12.8503937] ; [47.8503937 55.1496063],0
s6,1,0.20299,1.620729,[14 10] ; [71 28],[16.58536585  7.41463415] ; [68.41463415 30.58536585],0
b3,1,0.248672,1.330747,[4 9] ; [29 31],[5.87671233 7.12328767] ; [27.12328767 32.87671233],0
b2,1,0.248672,1.330747,[4 9] ; [29 31],[5.87671233 7.12328767] ; [27.12328767 32.87671233],0
a7,1,0.294578,1.098578,[18  6] ; [65 37],[15.80952381  8.19047619] ; [67.19047619 34.80952381],0
u1,1,0.330438,0.94718,[ 6 18] ; [17 86],[ 4.34645669 19.65354331] ; [18.65354331 84.34645669],0
n5,1,0.36448,0.822399,[19  5] ; [72 31],[17.19685039  6.80314961] ; [73.80314961 29.19685039],0
d4,1,0.373051,0.793476,[20  4] ; [77 26],[18.33070866  5.66929134] ; [78.66929134 24.33070866],0
r4,1,0.413108,0.669837,[20  4] ; [92 11],[21.16535433  2.83464567] ; [90.83464567 12.16535433],0
d5,1,0.450549,0.56927,[19  5] ; [73 29],[17.52380952  6.47619048] ; [74.47619048 27.52380952],0
v2,1,0.463651,0.537065,[ 7 16] ; [39 62],[ 8.53225806 14.46774194] ; [37.46774194 63.53225806],0
u3,1,0.463846,0.536598,[3 1] ; [19 15],[2.31578947 1.68421053] ; [19.68421053 14.31578947],0
s2,1,0.485765,0.485893,[12 12] ; [59 43],[13.52380952 10.47619048] ; [57.47619048 44.52380952],0
s8,1,0.485765,0.485893,[12 12] ; [43 59],[10.47619048 13.52380952] ; [44.52380952 57.47619048],0
p9,1,0.488154,0.480594,[21  3] ; [84 19],[19.84251969  4.15748031] ; [85.15748031 17.84251969],0
a8,1,0.499892,0.455165,[ 2 22] ; [13 84],[ 2.97520661 21.02479339] ; [12.02479339 84.97520661],0
v4,1,0.509066,0.435986,[22  2] ; [97  5],[22.66666667  1.33333333] ; [96.33333333  5.66666667],0
a2,1,0.607893,0.263255,[ 4 20] ; [22 81],[ 4.91338583 19.08661417] ; [21.08661417 81.91338583],0
r2,1,0.61851,0.247967,[21  2] ; [96  6],[21.528  1.472] ; [95.472  6.528],0
p4,1,0.618891,0.24743,[17  7] ; [78 25],[17.95275591  6.04724409] ; [77.04724409 25.95275591],0
n3,1,0.649273,0.206818,[9 2] ; [21  7],[8.46153846 2.53846154] ; [21.53846154  6.46153846],0
s5,1,0.679342,0.170867,[ 7 14] ; [37 60],[ 7.83050847 13.16949153] ; [36.16949153 60.83050847],0
u2,1,0.681442,0.168507,[3 1] ; [22 12],[2.63157895 1.36842105] ; [22.36842105 11.63157895],0
n6,1,0.707456,0.140832,[21  3] ; [87 16],[20.40944882  3.59055118] ; [87.59055118 15.40944882],0
v3,1,0.712446,0.135846,[ 7 17] ; [26 76],[ 6.28571429 17.71428571] ; [26.71428571 75.28571429],0
p12,1,0.722472,0.126136,[ 2 22] ; [11 91],[ 2.47619048 21.52380952] ; [10.52380952 91.47619048],0
s3,1,0.741289,0.108997,[15  9] ; [60 42],[14.28571429  9.71428571] ; [60.71428571 41.28571429],0
p1,1,0.794112,0.068108,[ 3 21] ; [15 88],[ 3.4015748 20.5984252] ; [14.5984252 88.4015748],0
a6,1,0.811256,0.057028,[16  8] ; [66 37],[15.49606299  8.50393701] ; [66.50393701 36.49606299],0
s4,1,0.928994,0.007941,[ 6 17] ; [27 73],[ 6.17073171 16.82926829] ; [26.82926829 73.17073171],0
n2,1,0.935359,0.006578,[8 3] ; [20  8],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
s7,1,0.972291,0.001207,[13 10] ; [55 43],[12.92561983 10.07438017] ; [55.07438017 42.92561983],0
d3,1,0.975454,0.000947,[16  8] ; [67 34],[15.936  8.064] ; [67.064 33.936],0
a5,1,0.975789,0.000921,[16  8] ; [69 34],[16.06299213  7.93700787] ; [68.93700787 34.06299213],0
b5,1,0.985707,0.000321,[13 11] ; [56 47],[13.03937008 10.96062992] ; [55.96062992 47.03937008],0
