Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000374,12.658333,[22  9] ; [ 8 23],[15. 16.] ; [15. 16.],1
a5,1,0.008638,6.896281,[28  5] ; [17 14],[23.203125  9.796875] ; [21.796875  9.203125],0
v3,1,0.032097,4.593301,[15 15] ; [ 7 23],[11. 19.] ; [11. 19.],0
p5,1,0.036516,4.372848,[ 1 32] ; [ 6 25],[ 3.609375 29.390625] ; [ 3.390625 27.609375],0
p11,1,0.046137,3.976574,[21 12] ; [12 19],[17.015625 15.984375] ; [15.984375 15.015625],0
s8,1,0.046137,3.976574,[21 12] ; [12 19],[17.015625 15.984375] ; [15.984375 15.015625],0
a8,1,0.059937,3.53914,[ 9 17] ; [ 4 26],[ 6.03571429 19.96428571] ; [ 6.96428571 23.03571429],0
d2,1,0.063684,3.438745,[23 10] ; [14 16],[19.38095238 13.61904762] ; [17.61904762 12.38095238],0
p1,1,0.072389,3.228009,[ 1 32] ; [ 5 26],[ 3.09375 29.90625] ; [ 2.90625 28.09375],0
b4,1,0.078259,3.100701,[25  8] ; [17 14],[21.65625 11.34375] ; [20.34375 10.65625],0
d1,1,0.08279,3.009265,[23 10] ; [15 16],[19.59375 13.40625] ; [18.40625 12.59375],0
d4,1,0.096993,2.754298,[31  2] ; [24  6],[28.80952381  4.19047619] ; [26.19047619  3.80952381],0
n1,1,0.09769,2.742857,[5 7] ; [9 3],[7. 5.] ; [7. 5.],0
n3,1,0.09769,2.742857,[9 3] ; [5 7],[7. 5.] ; [7. 5.],0
d5,1,0.156828,2.004545,[28  5] ; [21  9],[25.66666667  7.33333333] ; [23.33333333  6.66666667],0
a3,1,0.204412,1.61057,[26  7] ; [20 11],[23.71875  9.28125] ; [22.28125  8.71875],0
a2,1,0.205742,1.601141,[11 22] ; [ 6 25],[ 8.765625 24.234375] ; [ 8.234375 22.765625],0
b1,1,0.21594,1.531152,[13 20] ; [17 14],[15.46875 17.53125] ; [14.53125 16.46875],0
p9,1,0.251859,1.312964,[19 12] ; [14 16],[16.7704918 14.2295082] ; [16.2295082 13.7704918],0
r2,1,0.270816,1.212608,[31  1] ; [27  3],[29.93548387  2.06451613] ; [28.06451613  1.93548387],0
s5,1,0.28445,1.145706,[13 19] ; [ 8 21],[11.01639344 20.98360656] ; [ 9.98360656 19.01639344],0
r1,1,0.317358,0.999803,[26  7] ; [21 10],[24.234375  8.765625] ; [22.765625  8.234375],0
a4,1,0.320633,0.986362,[19 14] ; [14 17],[17.015625 15.984375] ; [15.984375 15.015625],0
a7,1,0.332412,0.939478,[23 10] ; [18 13],[21.140625 11.859375] ; [19.859375 11.140625],0
u4,1,0.332685,0.938416,[ 3 30] ; [ 1 30],[ 2.0625 30.9375] ; [ 1.9375 29.0625],0
r3,1,0.347958,0.880889,[31  2] ; [27  4],[29.90625  3.09375] ; [28.09375  2.90625],0
p7,1,0.442235,0.590476,[15 16] ; [12 19],[13.5 17.5] ; [13.5 17.5],0
r4,1,0.446669,0.579091,[28  5] ; [24  7],[26.8125  6.1875] ; [25.1875  5.8125],0
s6,1,0.460885,0.543745,[27  6] ; [23  8],[25.78125  7.21875] ; [24.21875  6.78125],0
s4,1,0.47027,0.521342,[ 7 26] ; [ 9 22],[ 8.25 24.75] ; [ 7.75 23.25],0
u2,1,0.473812,0.513071,[5 2] ; [6 5],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
s2,1,0.479167,0.50076,[23 10] ; [19 12],[21.65625 11.34375] ; [20.34375 10.65625],0
n4,1,0.482124,0.494055,[27  5] ; [24  7],[25.9047619  6.0952381] ; [25.0952381  5.9047619],0
u3,1,0.494125,0.467532,[4 3] ; [8 3],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
a6,1,0.572258,0.318919,[21 12] ; [17 13],[19.9047619 13.0952381] ; [18.0952381 11.9047619],0
s3,1,0.613251,0.255468,[23  9] ; [24  7],[23.87301587  8.12698413] ; [23.12698413  7.87301587],0
p4,1,0.632007,0.22935,[19 14] ; [16 15],[18.046875 14.953125] ; [16.953125 14.046875],0
n2,1,0.653368,0.201681,[9 3] ; [8 4],[8.5 3.5] ; [8.5 3.5],0
u1,1,0.689269,0.159878,[10 23] ; [ 8 23],[ 9.28125 23.71875] ; [ 8.71875 22.28125],0
n6,1,0.707204,0.141086,[26  6] ; [24  7],[25.3968254  6.6031746] ; [24.6031746  6.3968254],0
