Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,59.535881,[96 15] ; [ 4 25],[79.28571429 31.71428571] ; [20.71428571  8.28571429],1
r3,1,0.0,30.941381,[102  11] ; [13 16],[91.51408451 21.48591549] ; [23.48591549  5.51408451],1
p11,1,0.0,26.825116,[94 20] ; [10 19],[82.90909091 31.09090909] ; [21.09090909  7.90909091],1
p2,1,9e-06,19.776253,[92 20] ; [12 17],[82.60992908 29.39007092] ; [21.39007092  7.60992908],1
r4,1,9.1e-05,15.310589,[77 37] ; [ 8 21],[67.76223776 46.23776224] ; [17.23776224 11.76223776],1
v4,1,0.00058,11.837761,[98 15] ; [17 12],[91.51408451 21.48591549] ; [23.48591549  5.51408451],1
p4,1,0.001136,10.592443,[65 47] ; [ 7 22],[57.19148936 54.80851064] ; [14.80851064 14.19148936],0
n3,1,0.002213,9.36366,[26  3] ; [6 7],[22.0952381  6.9047619] ; [9.9047619 3.0952381],0
s6,1,0.002508,9.134598,[65 45] ; [ 8 21],[57.76978417 52.23021583] ; [15.23021583 13.76978417],0
s2,1,0.005331,7.763643,[52 62] ; [ 5 24],[45.44055944 68.55944056] ; [11.55944056 17.44055944],0
s8,1,0.006079,7.526669,[42 72] ; [ 3 26],[35.87412587 78.12587413] ; [ 9.12587413 19.87412587],0
n6,1,0.007868,7.063278,[98 16] ; [18 10],[93.12676056 20.87323944] ; [22.87323944  5.12676056],0
s7,1,0.011619,6.36814,[47 60] ; [ 5 23],[41.21481481 65.78518519] ; [10.78518519 17.21481481],0
p8,1,0.013701,6.076244,[51 60] ; [ 6 23],[45.19285714 65.80714286] ; [11.80714286 17.19285714],0
a5,1,0.013974,6.041377,[72 42] ; [11 18],[66.16783217 47.83216783] ; [16.83216783 12.16783217],0
p3,1,0.013975,6.041354,[56 57] ; [ 7 22],[50.13380282 62.86619718] ; [12.86619718 16.13380282],0
u3,1,0.01411,6.024375,[15 21] ; [ 1 14],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
s3,1,0.022371,5.216725,[59 53] ; [ 8 20],[53.6 58.4] ; [13.4 14.6],0
p7,1,0.036549,4.371295,[63 49] ; [10 19],[57.9858156 54.0141844] ; [15.0141844 13.9858156],0
n2,1,0.048819,3.881562,[24  5] ; [7 6],[21.4047619  7.5952381] ; [9.5952381 3.4047619],0
v1,1,0.052076,3.773314,[52 57] ; [ 8 21],[47.39130435 61.60869565] ; [12.60869565 16.39130435],0
a3,1,0.054117,3.70909,[77 37] ; [14 15],[72.54545455 41.45454545] ; [18.45454545 10.54545455],0
d5,1,0.056082,3.649614,[87 27] ; [17 12],[82.90909091 31.09090909] ; [21.09090909  7.90909091],0
d4,1,0.071619,3.245529,[86 28] ; [17 12],[82.11188811 31.88811189] ; [20.88811189  8.11188811],0
