Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,6.1e-05,16.085637,[41 58] ; [40 13],[52.75657895 46.24342105] ; [28.24342105 24.75657895],1
r3,1,0.000415,12.463171,[66 33] ; [49  4],[74.90131579 24.09868421] ; [40.09868421 12.90131579],1
p6,1,0.000736,11.397174,[ 9 89] ; [16 36],[16.33333333 81.66666667] ; [ 8.66666667 43.33333333],1
s3,1,0.002109,9.451964,[36 61] ; [33 19],[44.91946309 52.08053691] ; [24.08053691 27.91946309],0
p10,1,0.009359,6.752924,[39 56] ; [33 19],[46.53061224 48.46938776] ; [25.46938776 26.53061224],0
n3,1,0.009932,6.647122,[22 26] ; [18  5],[27.04225352 20.95774648] ; [12.95774648 10.04225352],0
n6,1,0.013722,6.073564,[54 44] ; [40 13],[61.00662252 36.99337748] ; [32.99337748 20.00662252],0
p9,1,0.015342,5.876758,[45 48] ; [36 16],[51.95172414 41.04827586] ; [29.04827586 22.95172414],0
p4,1,0.020788,5.344437,[22 76] ; [21 31],[28.09333333 69.90666667] ; [14.90666667 37.09333333],0
p8,1,0.025119,5.015674,[17 82] ; [17 34],[22.44 76.56] ; [11.56 39.44],0
r4,1,0.027822,4.83906,[59 40] ; [41 12],[65.13157895 33.86842105] ; [34.86842105 18.13157895],0
v4,1,0.030149,4.700787,[75 24] ; [47  5],[79.98675497 19.01324503] ; [42.01324503  9.98675497],0
b3,1,0.038666,4.275502,[23 32] ; [ 4 19],[19.03846154 35.96153846] ; [ 7.96153846 15.03846154],0
b2,1,0.038666,4.275502,[23 32] ; [ 4 19],[19.03846154 35.96153846] ; [ 7.96153846 15.03846154],0
n2,1,0.038924,4.264186,[27 24] ; [18  5],[31.01351351 19.98648649] ; [13.98648649  9.01351351],0
s2,1,0.046618,3.95911,[34 65] ; [27 26],[39.73026316 59.26973684] ; [21.26973684 31.73026316],0
s6,1,0.064243,3.424306,[42 56] ; [30 21],[47.3557047 50.6442953] ; [24.6442953 26.3557047],0
r2,1,0.100121,2.703618,[80 17] ; [48  4],[83.32885906 13.67114094] ; [44.67114094  7.32885906],0
v2,1,0.100487,2.697789,[32 65] ; [23 26],[36.54109589 60.45890411] ; [18.45890411 30.54109589],0
a5,1,0.109708,2.558424,[54 45] ; [36 17],[58.61842105 40.38157895] ; [31.38157895 21.61842105],0
a1,1,0.168007,1.900638,[10 89] ; [ 2 51],[ 7.81578947 91.18421053] ; [ 4.18421053 48.81578947],0
b4,1,0.190119,1.716692,[54 45] ; [23 30],[50.15131579 48.84868421] ; [26.84868421 26.15131579],0
s5,1,0.190244,1.715724,[20 75] ; [16 36],[23.26530612 71.73469388] ; [12.73469388 39.26530612],0
a8,1,0.199299,1.647506,[ 7 84] ; [ 7 41],[ 9.16546763 81.83453237] ; [ 4.83453237 43.16546763],0
b5,1,0.309088,1.034569,[57 42] ; [35 18],[59.92105263 39.07894737] ; [32.07894737 20.92105263],0
v3,1,0.335579,0.927249,[29 66] ; [12 40],[26.49659864 68.50340136] ; [14.50340136 37.49659864],0
d1,1,0.359324,0.840253,[45 54] ; [20 33],[42.33552632 56.66447368] ; [22.66447368 30.33552632],0
v1,1,0.377488,0.778868,[31 68] ; [20 32],[33.43708609 65.56291391] ; [17.56291391 34.43708609],0
r1,1,0.394532,0.724928,[63 36] ; [36 15],[65.34 33.66] ; [33.66 17.34],0
p1,1,0.411776,0.673668,[ 7 92] ; [ 2 51],[ 5.86184211 93.13815789] ; [ 3.13815789 49.86184211],0
a6,1,0.413085,0.669905,[56 43] ; [33 19],[58.35099338 40.64900662] ; [30.64900662 21.35099338],0
n5,1,0.430619,0.621154,[57 42] ; [34 19],[59.26973684 39.73026316] ; [31.73026316 21.26973684],0
s8,1,0.468901,0.524564,[25 74] ; [16 36],[26.8807947 72.1192053] ; [14.1192053 37.8807947],0
n4,1,0.479616,0.499736,[55 44] ; [32 20],[57.0397351 41.9602649] ; [29.9602649 22.0397351],0
b1,1,0.609626,0.26072,[48 51] ; [28 25],[49.5 49.5] ; [26.5 26.5],0
n1,1,0.614927,0.253062,[19 31] ; [ 7 15],[18.05555556 31.94444444] ; [ 7.94444444 14.05555556],0
u1,1,0.62395,0.240354,[14 85] ; [ 6 47],[13.02631579 85.97368421] ; [ 6.97368421 46.02631579],0
s4,1,0.630078,0.231955,[20 79] ; [ 9 44],[18.88815789 80.11184211] ; [10.11184211 42.88815789],0
u4,1,0.65125,0.204328,[ 1 98] ; [ 1 52],[ 1.30263158 97.69736842] ; [ 0.69736842 52.30263158],0
a3,1,0.661629,0.191551,[58 39] ; [33 19],[59.24161074 37.75838926] ; [31.75838926 20.24161074],0
s1,1,0.749395,0.10204,[ 8 91] ; [ 5 47],[ 8.52317881 90.47682119] ; [ 4.47682119 47.52317881],0
d4,1,0.792328,0.069321,[70 29] ; [35 16],[69.3 29.7] ; [35.7 15.3],0
d5,1,0.792328,0.069321,[70 29] ; [35 16],[69.3 29.7] ; [35.7 15.3],0
a7,1,0.838474,0.041553,[65 34] ; [35 17],[65.56291391 33.43708609] ; [34.43708609 17.56291391],0
a4,1,0.847417,0.037024,[40 57] ; [21 32],[39.44666667 57.55333333] ; [21.55333333 31.44666667],0
s7,1,0.861144,0.030597,[34 60] ; [17 32],[33.52447552 60.47552448] ; [17.47552448 31.52447552],0
d2,1,0.937651,0.006119,[44 54] ; [23 29],[43.77333333 54.22666667] ; [23.22666667 28.77333333],0
d3,1,0.945382,0.004693,[58 41] ; [29 21],[57.80536913 41.19463087] ; [29.19463087 20.80536913],0
a2,1,0.947442,0.004345,[21 78] ; [11 42],[20.84210526 78.15789474] ; [11.15789474 41.84210526],0
p5,1,0.953697,0.003371,[ 4 95] ; [ 2 50],[ 3.93377483 95.06622517] ; [ 2.06622517 49.93377483],0
u2,1,0.962584,0.002201,[17 24] ; [ 8 11],[17.08333333 23.91666667] ; [ 7.91666667 11.08333333],0
u3,1,0.99216,9.7e-05,[16 25] ; [ 7 11],[15.98305085 25.01694915] ; [ 7.01694915 10.98305085],0
