Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.018603,5.538462,[6 3] ; [10 29],[3. 6.] ; [13. 26.],0
b4,1,0.022434,5.211776,[2 7] ; [25 14],[5.0625 3.9375] ; [21.9375 17.0625],0
p7,1,0.039136,4.254945,[8 1] ; [20 19],[5.25 3.75] ; [22.75 16.25],0
b5,1,0.046657,3.957726,[2 7] ; [23 16],[4.6875 4.3125] ; [20.3125 18.6875],0
p8,1,0.064458,3.418803,[7 2] ; [17 22],[4.5 4.5] ; [19.5 19.5],0
a5,1,0.065297,3.397459,[3 6] ; [26 13],[5.4375 3.5625] ; [23.5625 15.4375],0
r4,1,0.069653,3.291168,[1 8] ; [17 22],[3.375 5.625] ; [14.625 24.375],0
v4,1,0.090757,2.860896,[8 1] ; [23 16],[5.8125 3.1875] ; [25.1875 13.8125],0
r1,1,0.090757,2.860896,[1 8] ; [16 23],[3.1875 5.8125] ; [13.8125 25.1875],0
d1,1,0.148163,2.091064,[1 8] ; [14 25],[2.8125 6.1875] ; [12.1875 26.8125],0
a3,1,0.164046,1.936525,[3 6] ; [23 16],[4.875 4.125] ; [21.125 17.875],0
n5,1,0.186141,1.747899,[8 1] ; [26 13],[6.375 2.625] ; [27.625 11.375],0
n1,1,0.210209,1.569986,[2 1] ; [ 4 10],[1.05882353 1.94117647] ; [4.94117647 9.05882353],0
d2,1,0.237384,1.396063,[2 7] ; [17 22],[3.5625 5.4375] ; [15.4375 23.5625],0
n4,1,0.237384,1.396063,[7 2] ; [22 17],[5.4375 3.5625] ; [23.5625 15.4375],0
s1,1,0.247424,1.337793,[1 8] ; [ 1 38],[0.375 8.625] ; [ 1.625 37.375],0
u3,1,0.262193,1.257143,[3 3] ; [ 4 12],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
n6,1,0.263275,1.251454,[5 4] ; [29 10],[6.375 2.625] ; [27.625 11.375],0
s7,1,0.272019,1.206538,[4 5] ; [ 9 26],[2.65909091 6.34090909] ; [10.34090909 24.65909091],0
p2,1,0.349868,0.873937,[8 1] ; [29 10],[6.9375 2.0625] ; [30.0625  8.9375],0
a7,1,0.428339,0.627323,[4 5] ; [23 16],[5.0625 3.9375] ; [21.9375 17.0625],0
s8,1,0.432768,0.615385,[2 7] ; [14 25],[3. 6.] ; [13. 26.],0
p4,1,0.484642,0.4884,[6 3] ; [21 18],[5.0625 3.9375] ; [21.9375 17.0625],0
r3,1,0.49222,0.471669,[7 2] ; [33  5],[7.65957447 1.34042553] ; [32.34042553  5.65957447],0
d3,1,0.516074,0.421732,[4 5] ; [22 17],[4.875 4.125] ; [21.125 17.875],0
a6,1,0.516074,0.421732,[4 5] ; [22 17],[4.875 4.125] ; [21.125 17.875],0
s5,1,0.521839,0.410256,[3 6] ; [ 9 30],[2.25 6.75] ; [ 9.75 29.25],0
a4,1,0.611108,0.258565,[2 7] ; [12 27],[2.625 6.375] ; [11.375 27.625],0
p6,1,0.639723,0.219104,[3 6] ; [10 29],[2.4375 6.5625] ; [10.5625 28.4375],0
n3,1,0.659118,0.194597,[2 1] ; [11  3],[2.29411765 0.70588235] ; [10.70588235  3.29411765],0
u2,1,0.695895,0.152778,[4 2] ; [12  4],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
b1,1,0.711531,0.136752,[5 4] ; [19 20],[4.5 4.5] ; [19.5 19.5],0
v1,1,0.74077,0.109451,[4 5] ; [15 24],[3.5625 5.4375] ; [15.4375 23.5625],0
d5,1,0.74077,0.109451,[5 4] ; [24 15],[5.4375 3.5625] ; [23.5625 15.4375],0
v2,1,0.764336,0.089875,[4 5] ; [19 19],[4.40425532 4.59574468] ; [18.59574468 19.40425532],0
s3,1,0.795862,0.066929,[3 6] ; [11 27],[2.68085106 6.31914894] ; [11.31914894 26.68085106],0
s2,1,0.795862,0.066929,[3 6] ; [11 27],[2.68085106 6.31914894] ; [11.31914894 26.68085106],0
p10,1,0.80008,0.064133,[7 2] ; [28 10],[6.70212766 2.29787234] ; [28.29787234  9.70212766],0
d4,1,0.881087,0.022378,[6 3] ; [27 12],[6.1875 2.8125] ; [26.8125 12.1875],0
p9,1,0.938552,0.005943,[7 2] ; [30  8],[7.08510638 1.91489362] ; [29.91489362  8.08510638],0
s6,1,0.96284,0.002171,[5 4] ; [22 17],[5.0625 3.9375] ; [21.9375 17.0625],0
