Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3.6e-05,17.077002,[180  35] ; [18 16],[170.96385542  44.03614458] ; [27.03614458  6.96385542],1
v4,1,4.8e-05,16.517952,[207   7] ; [27  7],[201.91935484  12.08064516] ; [32.08064516  1.91935484],1
s1,1,0.000192,13.904629,[  4 211] ; [ 5 29],[  7.77108434 207.22891566] ; [ 1.22891566 32.77108434],1
p11,1,0.000366,12.697305,[175  42] ; [18 16],[166.85657371  50.14342629] ; [26.14342629  7.85657371],1
d3,1,0.000492,12.147049,[151  64] ; [13 20],[142.17741935  72.82258065] ; [21.82258065 11.17741935],1
n6,1,0.000581,11.834609,[180  36] ; [19 14],[172.62650602  43.37349398] ; [26.37349398  6.62650602],1
p10,1,0.001773,9.770355,[174  43] ; [19 15],[166.85657371  50.14342629] ; [26.14342629  7.85657371],0
p4,1,0.003113,8.739846,[140  76] ; [13 21],[132.192  83.808] ; [20.808 13.192],0
r1,1,0.013621,6.086626,[170  47] ; [20 14],[164.26294821  52.73705179] ; [25.73705179  8.26294821],0
b1,1,0.017634,5.632124,[ 87 130] ; [21 13],[ 93.37051793 123.62948207] ; [14.62948207 19.37051793],0
s6,1,0.018854,5.515016,[143  68] ; [16 18],[136.93469388  74.06530612] ; [22.06530612 11.93469388],0
s8,1,0.026307,4.935756,[ 87 128] ; [ 7 27],[ 81.16465863 133.83534137] ; [12.83534137 21.16465863],0
a2,1,0.027514,4.858281,[ 48 169] ; [ 2 32],[ 43.22709163 173.77290837] ; [ 6.77290837 27.22709163],0
s7,1,0.031315,4.635602,[106  99] ; [10 22],[100.33755274 104.66244726] ; [15.66244726 16.33755274],0
u1,1,0.058213,3.587575,[ 32 185] ; [ 1 33],[ 28.52988048 188.47011952] ; [ 4.47011952 29.52988048],0
s2,1,0.065033,3.404139,[113 103] ; [12 22],[108. 108.] ; [17. 17.],0
n4,1,0.083285,2.999604,[159  58] ; [20 14],[154.75298805  62.24701195] ; [24.24701195  9.75298805],0
p8,1,0.087131,2.926599,[137  77] ; [16 17],[132.55870445  81.44129555] ; [20.44129555 12.55870445],0
s5,1,0.092758,2.825841,[ 69 142] ; [ 6 27],[ 64.85655738 146.14344262] ; [10.14344262 22.85655738],0
r4,1,0.095025,2.787125,[194  23] ; [27  7],[191.06374502  25.93625498] ; [29.93625498  4.06374502],0
v2,1,0.127603,2.321429,[ 88 122] ; [18 14],[ 91.98347107 118.01652893] ; [14.01652893 17.98347107],0
r3,1,0.132265,2.265718,[203  11] ; [30  4],[201.05645161  12.94354839] ; [31.94354839  2.05645161],0
