Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.013823,6.060606,[ 3 41] ; [4 8],[ 5.5 38.5] ; [ 1.5 10.5],0
p6,1,0.023098,5.161143,[20 23] ; [ 1 10],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
b3,1,0.028877,4.774908,[ 2 22] ; [3 4],[ 3.87096774 20.12903226] ; [1.12903226 5.87096774],0
b2,1,0.028877,4.774908,[ 2 22] ; [3 4],[ 3.87096774 20.12903226] ; [1.12903226 5.87096774],0
b5,1,0.065063,3.403367,[31 13] ; [5 7],[28.28571429 15.71428571] ; [7.71428571 4.28571429],0
p11,1,0.083387,2.997615,[27 17] ; [4 8],[24.35714286 19.64285714] ; [6.64285714 5.35714286],0
d1,1,0.093121,2.81958,[21 23] ; [9 3],[23.57142857 20.42857143] ; [6.42857143 5.57142857],0
s6,1,0.100966,2.690217,[28 16] ; [4 7],[25.6 18.4] ; [6.4 4.6],0
a4,1,0.114295,2.493808,[ 6 38] ; [4 8],[ 7.85714286 36.14285714] ; [2.14285714 9.85714286],0
u1,1,0.139649,2.181818,[ 4 40] ; [3 9],[ 5.5 38.5] ; [ 1.5 10.5],0
v2,1,0.148972,2.082743,[19 25] ; [8 4],[21.21428571 22.78571429] ; [5.78571429 6.21428571],0
a5,1,0.154212,2.030088,[27 17] ; [10  2],[29.07142857 14.92857143] ; [7.92857143 4.07142857],0
a6,1,0.154212,2.030088,[27 17] ; [10  2],[29.07142857 14.92857143] ; [7.92857143 4.07142857],0
a3,1,0.192685,1.69697,[20 24] ; [8 4],[22. 22.] ; [6. 6.],0
u3,1,0.215869,1.531624,[14 10] ; [1 3],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
p4,1,0.243958,1.357576,[30 14] ; [6 6],[28.28571429 15.71428571] ; [7.71428571 4.28571429],0
n3,1,0.248213,1.333333,[5 7] ; [3 1],[6. 6.] ; [2. 2.],0
n1,1,0.248213,1.333333,[5 7] ; [3 1],[6. 6.] ; [2. 2.],0
p1,1,0.288918,1.124658,[ 3 41] ; [ 2 10],[ 3.92857143 40.07142857] ; [ 1.07142857 10.92857143],0
d5,1,0.303077,1.060606,[30 14] ; [10  2],[31.42857143 12.57142857] ; [8.57142857 3.42857143],0
r1,1,0.303077,1.060606,[30 14] ; [10  2],[31.42857143 12.57142857] ; [8.57142857 3.42857143],0
p2,1,0.348936,0.877324,[35  9] ; [8 4],[33.78571429 10.21428571] ; [9.21428571 2.78571429],0
s4,1,0.367033,0.813684,[ 9 34] ; [ 1 10],[ 7.96296296 35.03703704] ; [2.03703704 8.96296296],0
s8,1,0.449102,0.572917,[13 31] ; [2 9],[12. 32.] ; [3. 8.],0
s5,1,0.449931,0.570825,[ 8 35] ; [ 1 10],[ 7.16666667 35.83333333] ; [1.83333333 9.16666667],0
p10,1,0.46114,0.543127,[16 28] ; [3 9],[14.92857143 29.07142857] ; [4.07142857 7.92857143],0
b1,1,0.478161,0.503054,[27 17] ; [6 6],[25.92857143 18.07142857] ; [7.07142857 4.92857143],0
p3,1,0.498404,0.458333,[21 23] ; [4 7],[20. 24.] ; [5. 6.],0
d2,1,0.514828,0.424242,[21 23] ; [7 5],[22. 22.] ; [6. 6.],0
s7,1,0.517075,0.419724,[15 28] ; [5 6],[15.92592593 27.07407407] ; [4.07407407 6.92592593],0
n4,1,0.538756,0.37785,[25 19] ; [8 4],[25.92857143 18.07142857] ; [7.07142857 4.92857143],0
b4,1,0.538756,0.37785,[25 19] ; [8 4],[25.92857143 18.07142857] ; [7.07142857 4.92857143],0
d4,1,0.544467,0.367323,[33 11] ; [10  2],[33.78571429 10.21428571] ; [9.21428571 2.78571429],0
r4,1,0.544467,0.367323,[33 11] ; [10  2],[33.78571429 10.21428571] ; [9.21428571 2.78571429],0
v3,1,0.552665,0.352564,[12 32] ; [4 7],[12.8 31.2] ; [3.2 7.8],0
n5,1,0.709039,0.139239,[23 21] ; [7 5],[23.57142857 20.42857143] ; [6.42857143 5.57142857],0
u2,1,0.755189,0.097222,[14 10] ; [2 2],[13.71428571 10.28571429] ; [2.28571429 1.71428571],0
r2,1,0.763536,0.090505,[39  5] ; [11  1],[39.28571429  4.71428571] ; [10.71428571  1.28571429],0
s3,1,0.888927,0.019505,[23 21] ; [6 6],[22.78571429 21.21428571] ; [6.21428571 5.78571429],0
a7,1,0.920647,0.009924,[30 14] ; [8 4],[29.85714286 14.14285714] ; [8.14285714 3.85714286],0
v4,1,0.934983,0.006655,[40  4] ; [11  1],[40.07142857  3.92857143] ; [10.92857143  1.07142857],0
n6,1,0.959642,0.002561,[29 14] ; [8 4],[28.92727273 14.07272727] ; [8.07272727 3.92727273],0
v1,1,0.960815,0.002414,[15 29] ; [4 8],[14.92857143 29.07142857] ; [4.07142857 7.92857143],0
d3,1,1.0,0.0,[33 11] ; [9 3],[33. 11.] ; [9. 3.],0
s2,1,1.0,0.0,[20 24] ; [5 6],[20. 24.] ; [5. 6.],0
