Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.1e-05,15.312325,[ 3 15] ; [25  9],[9.69230769 8.30769231] ; [18.30769231 15.69230769],1
d5,1,0.048942,3.877342,[11  7] ; [29  5],[13.84615385  4.15384615] ; [26.15384615  7.84615385],0
n6,1,0.067532,3.342014,[ 7 11] ; [21 11],[10.08  7.92] ; [17.92 14.08],0
s8,1,0.06867,3.314535,[ 1 17] ; [ 9 25],[ 3.46153846 14.53846154] ; [ 6.53846154 27.46153846],0
p10,1,0.146959,2.103535,[ 6 12] ; [18 15],[8.47058824 9.52941176] ; [15.52941176 17.47058824],0
d2,1,0.244013,1.357258,[9 9] ; [22 11],[10.94117647  7.05882353] ; [20.05882353 12.94117647],0
d1,1,0.322409,0.979147,[ 8 10] ; [20 14],[9.69230769 8.30769231] ; [18.30769231 15.69230769],0
r4,1,0.339797,0.911197,[ 5 13] ; [14 20],[ 6.57692308 11.42307692] ; [12.42307692 21.57692308],0
p6,1,0.365853,0.817701,[ 2 16] ; [ 7 26],[ 3.17647059 14.82352941] ; [ 5.82352941 27.17647059],0
b2,1,0.388741,0.742877,[3 8] ; [11 15],[4.16216216 6.83783784] ; [ 9.83783784 16.16216216],0
b3,1,0.388741,0.742877,[3 8] ; [11 15],[4.16216216 6.83783784] ; [ 9.83783784 16.16216216],0
a5,1,0.388997,0.742075,[10  8] ; [23 11],[11.42307692  6.57692308] ; [21.57692308 12.42307692],0
s4,1,0.399679,0.709292,[ 3 15] ; [ 3 31],[ 2.07692308 15.92307692] ; [ 3.92307692 30.07692308],0
s7,1,0.406175,0.68997,[ 6 10] ; [ 8 23],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
p9,1,0.422536,0.643251,[ 8 10] ; [18 14],[9.36 8.64] ; [16.64 15.36],0
b1,1,0.432239,0.6168,[ 8 10] ; [19 15],[9.34615385 8.65384615] ; [17.65384615 16.34615385],0
b5,1,0.432239,0.6168,[ 8 10] ; [19 15],[9.34615385 8.65384615] ; [17.65384615 16.34615385],0
a4,1,0.432862,0.615132,[ 8 10] ; [11 22],[ 6.70588235 11.29411765] ; [12.29411765 20.70588235],0
v3,1,0.483756,0.490385,[ 3 14] ; [ 9 25],[ 4. 13.] ; [ 8. 26.],0
p2,1,0.510443,0.433159,[ 7 11] ; [16 17],[8.11764706 9.88235294] ; [14.88235294 18.11764706],0
v2,1,0.57253,0.318468,[ 7 11] ; [16 18],[ 7.96153846 10.03846154] ; [15.03846154 18.96153846],0
s5,1,0.597331,0.27904,[ 5 13] ; [ 7 26],[ 4.23529412 13.76470588] ; [ 7.76470588 25.23529412],0
r3,1,0.603293,0.270058,[12  6] ; [25  9],[12.80769231  5.19230769] ; [24.19230769  9.80769231],0
p8,1,0.649542,0.206478,[ 5 12] ; [ 8 26],[ 4.33333333 12.66666667] ; [ 8.66666667 25.33333333],0
s1,1,0.673951,0.177015,[ 1 17] ; [ 3 31],[ 1.38461538 16.61538462] ; [ 2.61538462 31.38461538],0
n3,1,0.681777,0.168132,[2 2] ; [8 5],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
p3,1,0.733801,0.11565,[ 5 13] ; [11 23],[ 5.53846154 12.46153846] ; [10.46153846 23.53846154],0
a3,1,0.770675,0.084967,[12  6] ; [24 10],[12.46153846  5.53846154] ; [23.53846154 10.46153846],0
s2,1,0.781894,0.076647,[ 5 13] ; [ 8 25],[ 4.58823529 13.41176471] ; [ 8.41176471 24.58823529],0
u2,1,0.789726,0.071111,[2 4] ; [4 6],[2.25 3.75] ; [3.75 6.25],0
p1,1,0.79008,0.070866,[ 2 16] ; [ 3 31],[ 1.73076923 16.26923077] ; [ 3.26923077 30.73076923],0
n2,1,0.813945,0.055385,[3 2] ; [7 6],[2.77777778 2.22222222] ; [7.22222222 5.77777778],0
d3,1,0.820481,0.051495,[10  8] ; [20 14],[10.38461538  7.61538462] ; [19.61538462 14.38461538],0
r2,1,0.834309,0.043755,[11  7] ; [18 13],[10.65306122  7.34693878] ; [18.34693878 12.65306122],0
a7,1,0.839955,0.040784,[9 9] ; [16 18],[8.65384615 9.34615385] ; [16.34615385 17.65384615],0
v1,1,0.849982,0.035774,[ 5 13] ; [10 23],[ 5.29411765 12.70588235] ; [ 9.70588235 23.29411765],0
p7,1,0.887559,0.019992,[ 6 12] ; [12 22],[ 6.23076923 11.76923077] ; [11.76923077 22.23076923],0
p4,1,0.887559,0.019992,[ 6 12] ; [12 22],[ 6.23076923 11.76923077] ; [11.76923077 22.23076923],0
b4,1,0.901528,0.015309,[13  5] ; [24 10],[12.80769231  5.19230769] ; [24.19230769  9.80769231],0
a2,1,0.944048,0.004926,[ 2 16] ; [ 4 30],[ 2.07692308 15.92307692] ; [ 3.92307692 30.07692308],0
n1,1,0.95218,0.003596,[2 3] ; [5 8],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
u1,1,0.96165,0.002312,[ 1 17] ; [ 2 32],[ 1.03846154 16.96153846] ; [ 1.96153846 32.03846154],0
s3,1,0.962128,0.002255,[ 8 10] ; [14 18],[ 7.92 10.08] ; [14.08 17.92],0
s6,1,0.971838,0.001246,[ 7 11] ; [13 20],[ 7.05882353 10.94117647] ; [12.94117647 20.05882353],0
p11,1,0.981991,0.00051,[10  8] ; [19 15],[10.03846154  7.96153846] ; [18.96153846 15.03846154],0
a6,1,1.0,0.0,[9 9] ; [17 17],[9. 9.] ; [17. 17.],0
r1,1,1.0,0.0,[9 9] ; [17 17],[9. 9.] ; [17. 17.],0
