Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.030754,4.666667,[5 1] ; [2 6],[3. 3.] ; [4. 4.],0
n4,1,0.053019,3.743316,[3 8] ; [11  6],[5.5 5.5] ; [8.5 8.5],0
r3,1,0.102069,2.672919,[8 3] ; [ 7 10],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
p10,1,0.118268,2.440107,[6 5] ; [ 4 12],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
b1,1,0.119362,2.425668,[9 2] ; [9 8],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
u3,1,0.124283,2.3625,[3 3] ; [1 7],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
b4,1,0.183535,1.768767,[5 6] ; [12  5],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
n2,1,0.196706,1.666667,[1 3] ; [4 2],[2. 2.] ; [3. 3.],0
d3,1,0.225041,1.471933,[5 6] ; [ 4 13],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
s6,1,0.225041,1.471933,[5 6] ; [ 4 13],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
b3,1,0.240575,1.377219,[3 3] ; [ 3 10],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
b2,1,0.240575,1.377219,[3 3] ; [ 3 10],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
p4,1,0.263978,1.247772,[4 7] ; [ 3 14],[2.75 8.25] ; [ 4.25 12.75],0
r1,1,0.263978,1.247772,[4 7] ; [ 3 14],[2.75 8.25] ; [ 4.25 12.75],0
s3,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
a1,1,0.304103,1.056114,[2 9] ; [ 1 16],[1.17857143 9.82142857] ; [ 1.82142857 15.17857143],0
p8,1,0.331567,0.942769,[3 8] ; [ 2 14],[2.03703704 8.96296296] ; [ 2.96296296 13.03703704],0
p9,1,0.339039,0.914062,[5 5] ; [ 5 11],[3.84615385 6.15384615] ; [6.15384615 9.84615385],0
v2,1,0.420113,0.65,[4 6] ; [ 4 12],[3.07692308 6.92307692] ; [ 4.92307692 11.07692308],0
p7,1,0.462832,0.539037,[4 7] ; [ 4 13],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
d5,1,0.488462,0.479912,[6 5] ; [ 7 10],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
s1,1,0.527458,0.399287,[ 1 10] ; [ 3 14],[1.57142857 9.42857143] ; [ 2.42857143 14.57142857],0
p1,1,0.527458,0.399287,[ 1 10] ; [ 3 14],[1.57142857 9.42857143] ; [ 2.42857143 14.57142857],0
s2,1,0.544356,0.367526,[3 8] ; [ 3 14],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
d1,1,0.544356,0.367526,[3 8] ; [ 3 14],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
b5,1,0.57649,0.311943,[7 4] ; [9 8],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
a3,1,0.581206,0.304289,[5 6] ; [9 7],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
p11,1,0.590826,0.289056,[5 6] ; [ 6 11],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
d2,1,0.65714,0.197017,[3 8] ; [ 6 11],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
a5,1,0.698791,0.149733,[5 6] ; [9 8],[5.5 5.5] ; [8.5 8.5],0
a7,1,0.698791,0.149733,[6 5] ; [8 9],[5.5 5.5] ; [8.5 8.5],0
a4,1,0.700472,0.147981,[4 7] ; [ 5 12],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
s5,1,0.74748,0.103661,[ 1 10] ; [ 1 16],[ 0.78571429 10.21428571] ; [ 1.21428571 15.78571429],0
s4,1,0.823218,0.049911,[ 1 10] ; [ 2 15],[1.17857143 9.82142857] ; [ 1.82142857 15.17857143],0
s8,1,0.823218,0.049911,[ 1 10] ; [ 2 15],[1.17857143 9.82142857] ; [ 1.82142857 15.17857143],0
a6,1,0.823218,0.049911,[5 6] ; [ 7 10],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
v1,1,0.823218,0.049911,[3 8] ; [ 4 13],[2.75 8.25] ; [ 4.25 12.75],0
p3,1,0.879193,0.023102,[2 8] ; [ 3 14],[1.85185185 8.14814815] ; [ 3.14814815 13.85185185],0
a8,1,0.879193,0.023102,[2 8] ; [ 3 14],[1.85185185 8.14814815] ; [ 3.14814815 13.85185185],0
n6,1,0.933748,0.006911,[5 6] ; [8 9],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
d4,1,0.954001,0.003327,[7 4] ; [11  6],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
n5,1,0.954001,0.003327,[7 4] ; [11  6],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
v3,1,0.971216,0.001302,[2 9] ; [ 3 14],[1.96428571 9.03571429] ; [ 3.03571429 13.96428571],0
n3,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
