Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000291,13.129787,[82 12] ; [3 5],[78.33333333 15.66666667] ; [6.66666667 1.33333333],1
r2,1,0.002823,8.918405,[91  3] ; [5 2],[89.34653465  4.65346535] ; [6.65346535 0.34653465],0
a5,1,0.009263,6.771346,[74 20] ; [3 5],[70.96078431 23.03921569] ; [6.03921569 1.96078431],0
v1,1,0.012049,6.3036,[55 39] ; [1 7],[51.60784314 42.39215686] ; [4.39215686 3.60784314],0
p1,1,0.017473,5.648264,[ 4 89] ; [2 6],[ 5.52475248 87.47524752] ; [0.47524752 7.52475248],0
p12,1,0.026992,4.891304,[ 1 91] ; [1 7],[ 1.84 90.16] ; [0.16 7.84],0
d3,1,0.032389,4.577793,[69 25] ; [3 5],[66.35294118 27.64705882] ; [5.64705882 2.35294118],0
s2,1,0.061662,3.492113,[55 38] ; [2 6],[52.48514851 40.51485149] ; [4.51485149 3.48514851],0
p9,1,0.089098,2.890588,[62 30] ; [3 5],[59.8 32.2] ; [5.2 2.8],0
b1,1,0.099079,2.720301,[42 52] ; [6 2],[44.23529412 49.76470588] ; [3.76470588 4.23529412],0
a6,1,0.108029,2.582824,[62 32] ; [3 5],[59.90196078 34.09803922] ; [5.09803922 2.90196078],0
s3,1,0.118282,2.439925,[50 43] ; [2 6],[47.88118812 45.11881188] ; [4.11881188 3.88118812],0
s6,1,0.138068,2.199362,[67 23] ; [4 4],[65.20408163 24.79591837] ; [5.79591837 2.20408163],0
a7,1,0.183093,1.77234,[68 26] ; [4 4],[66.35294118 27.64705882] ; [5.64705882 2.35294118],0
a1,1,0.19288,1.695479,[ 3 91] ; [1 7],[ 3.68627451 90.31372549] ; [0.31372549 7.68627451],0
p5,1,0.196826,1.665769,[ 3 90] ; [1 7],[ 3.68316832 89.31683168] ; [0.31683168 7.68316832],0
n4,1,0.20487,1.607314,[61 32] ; [7 1],[62.61386139 30.38613861] ; [5.38613861 2.61386139],0
s7,1,0.215053,1.53708,[45 40] ; [2 5],[43.42391304 41.57608696] ; [3.57608696 3.42391304],0
r1,1,0.217835,1.518575,[76 18] ; [5 3],[74.64705882 19.35294118] ; [6.35294118 1.64705882],0
p7,1,0.22858,1.449674,[48 44] ; [2 5],[46.46464646 45.53535354] ; [3.53535354 3.46464646],0
s8,1,0.269778,1.217877,[42 51] ; [2 6],[40.51485149 52.48514851] ; [3.48514851 4.51485149],0
n3,1,0.276271,1.185345,[22  7] ; [2 2],[21.09090909  7.90909091] ; [2.90909091 1.09090909],0
s1,1,0.29981,1.075038,[ 4 90] ; [1 7],[ 4.60784314 89.39215686] ; [0.39215686 7.60784314],0
b4,1,0.305992,1.047895,[53 41] ; [6 2],[54.37254902 39.62745098] ; [4.62745098 3.37254902],0
n6,1,0.335492,0.92758,[66 26] ; [7 1],[67.16 24.84] ; [5.84 2.16],0
p2,1,0.341816,0.903608,[62 31] ; [4 4],[60.77227723 32.22772277] ; [5.22772277 2.77227723],0
b5,1,0.489622,0.477357,[59 35] ; [6 2],[59.90196078 34.09803922] ; [5.09803922 2.90196078],0
p10,1,0.547221,0.362319,[56 36] ; [4 4],[55.2 36.8] ; [4.8 3.2],0
p4,1,0.634454,0.226069,[48 44] ; [3 4],[47.39393939 44.60606061] ; [3.60606061 3.39393939],0
n1,1,0.643297,0.214456,[11 18] ; [2 2],[11.42424242 17.57575758] ; [1.57575758 2.42424242],0
a2,1,0.685741,0.163735,[30 64] ; [2 6],[29.49019608 64.50980392] ; [2.50980392 5.49019608],0
d2,1,0.737355,0.112465,[53 41] ; [5 3],[53.45098039 40.54901961] ; [4.54901961 3.45098039],0
p3,1,0.743215,0.107321,[40 52] ; [3 5],[39.56 52.44] ; [3.44 4.56],0
u1,1,0.747854,0.103343,[19 75] ; [2 6],[19.35294118 74.64705882] ; [1.64705882 6.35294118],0
a3,1,0.775432,0.081383,[66 28] ; [6 2],[66.35294118 27.64705882] ; [5.64705882 2.35294118],0
p8,1,0.777784,0.079641,[30 62] ; [3 5],[30.36 61.64] ; [2.64 5.36],0
d4,1,0.796299,0.066636,[79 15] ; [7 1],[79.25490196 14.74509804] ; [6.74509804 1.25490196],0
n2,1,0.805539,0.060607,[20  9] ; [3 1],[20.21212121  8.78787879] ; [2.78787879 1.21212121],0
s4,1,0.818258,0.052801,[20 73] ; [2 6],[20.25742574 72.74257426] ; [1.74257426 6.25742574],0
p6,1,0.889893,0.019166,[36 54] ; [3 5],[35.81632653 54.18367347] ; [3.18367347 4.81632653],0
v3,1,0.904033,0.014537,[43 47] ; [4 4],[43.16326531 46.83673469] ; [3.83673469 4.16326531],0
u3,1,0.922085,0.009566,[15 13] ; [1 1],[14.93333333 13.06666667] ; [1.06666667 0.93333333],0
s5,1,0.949585,0.003998,[34 54] ; [3 5],[33.91666667 54.08333333] ; [3.08333333 4.91666667],0
a4,1,0.953922,0.003339,[48 46] ; [4 4],[47.92156863 46.07843137] ; [4.07843137 3.92156863],0
d1,1,0.964442,0.001987,[58 36] ; [5 3],[58.05882353 35.94117647] ; [4.94117647 3.05882353],0
b3,1,0.97161,0.001267,[15 31] ; [2 4],[15.03846154 30.96153846] ; [1.96153846 4.03846154],0
b2,1,0.97161,0.001267,[15 31] ; [2 4],[15.03846154 30.96153846] ; [1.96153846 4.03846154],0
