Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000532,12.0,[14  2] ; [18 30],[8. 8.] ; [24. 24.],1
b3,1,0.055633,3.663004,[1 9] ; [13 17],[3.5 6.5] ; [10.5 19.5],0
b2,1,0.055633,3.663004,[1 9] ; [13 17],[3.5 6.5] ; [10.5 19.5],0
p12,1,0.055906,3.654868,[ 3 13] ; [ 2 47],[ 1.23076923 14.76923077] ; [ 3.76923077 45.23076923],0
v1,1,0.080856,3.047619,[10  6] ; [18 30],[7. 9.] ; [21. 27.],0
p5,1,0.08341,2.997175,[ 2 14] ; [ 1 48],[ 0.73846154 15.26153846] ; [ 2.26153846 46.73846154],0
a6,1,0.108998,2.568694,[13  3] ; [29 20],[10.33846154  5.66153846] ; [31.66153846 17.33846154],0
b4,1,0.122067,2.3906,[12  4] ; [26 23],[9.35384615 6.64615385] ; [28.64615385 20.35384615],0
n6,1,0.145339,2.120503,[13  2] ; [33 16],[10.78125  4.21875] ; [35.21875 13.78125],0
b5,1,0.181675,1.783871,[13  3] ; [31 18],[10.83076923  5.16923077] ; [33.16923077 15.83076923],0
n4,1,0.221416,1.495173,[10  6] ; [22 27],[7.87692308 8.12307692] ; [24.12307692 24.87692308],0
s8,1,0.244493,1.354497,[9 7] ; [19 29],[7. 9.] ; [21. 27.],0
d1,1,0.271187,1.210731,[11  5] ; [26 23],[9.10769231 6.89230769] ; [27.89230769 21.10769231],0
d3,1,0.294894,1.097143,[14  2] ; [36 12],[12.5  3.5] ; [37.5 10.5],0
b1,1,0.347155,0.883829,[ 6 10] ; [25 24],[7.63076923 8.36923077] ; [23.36923077 25.63076923],0
n2,1,0.349445,0.87547,[2 2] ; [14  5],[2.7826087 1.2173913] ; [13.2173913  5.7826087],0
r1,1,0.357231,0.847604,[13  3] ; [34 15],[11.56923077  4.43076923] ; [35.43076923 13.56923077],0
s6,1,0.364423,0.822595,[11  4] ; [29 19],[9.52380952 5.47619048] ; [30.47619048 17.52380952],0
u2,1,0.383988,0.757895,[3 2] ; [15  4],[3.75 1.25] ; [14.25  4.75],0
