Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.829627,[49  7] ; [ 4 13],[40.65753425 15.34246575] ; [12.34246575  4.65753425],1
r2,1,0.001159,10.555222,[52  4] ; [9 6],[48.11267606  7.88732394] ; [12.88732394  2.11267606],0
r3,1,0.003109,8.742084,[52  4] ; [11  6],[48.32876712  7.67123288] ; [14.67123288  2.32876712],0
n6,1,0.01056,6.537948,[33 23] ; [ 4 13],[28.38356164 27.61643836] ; [8.61643836 8.38356164],0
p10,1,0.013144,6.149691,[28 26] ; [ 3 14],[23.57746479 30.42253521] ; [7.42253521 9.57746479],0
d2,1,0.034167,4.486349,[20 36] ; [11  6],[23.78082192 32.21917808] ; [7.21917808 9.78082192],0
p9,1,0.050415,3.827591,[28 25] ; [ 4 12],[24.57971014 28.42028986] ; [7.42028986 8.57971014],0
s6,1,0.051042,3.806881,[30 23] ; [ 5 12],[26.5 26.5] ; [8.5 8.5],0
r1,1,0.088545,2.900625,[39 17] ; [8 9],[36.05479452 19.94520548] ; [10.94520548  6.05479452],0
s2,1,0.107191,2.595148,[25 30] ; [ 4 13],[22.15277778 32.84722222] ; [ 6.84722222 10.15277778],0
a6,1,0.13521,2.23164,[28 28] ; [ 5 12],[25.31506849 30.68493151] ; [7.68493151 9.31506849],0
b5,1,0.157948,1.993758,[37 19] ; [8 9],[34.52054795 21.47945205] ; [10.47945205  6.52054795],0
d4,1,0.179991,1.797701,[45 11] ; [16  1],[46.79452055  9.20547945] ; [14.20547945  2.79452055],0
p1,1,0.19356,1.690309,[ 2 54] ; [ 2 15],[ 3.06849315 52.93150685] ; [ 0.93150685 16.06849315],0
s1,1,0.197636,1.659755,[ 4 52] ; [ 3 14],[ 5.36986301 50.63013699] ; [ 1.63013699 15.36986301],0
p11,1,0.213782,1.545628,[26 30] ; [ 5 12],[23.78082192 32.21917808] ; [7.21917808 9.78082192],0
n1,1,0.277877,1.177444,[ 6 15] ; [4 4],[ 7.24137931 13.75862069] ; [2.75862069 5.24137931],0
s4,1,0.303413,1.059134,[17 39] ; [ 3 14],[15.34246575 40.65753425] ; [ 4.65753425 12.34246575],0
b1,1,0.318446,0.995317,[22 34] ; [9 8],[23.78082192 32.21917808] ; [7.21917808 9.78082192],0
a3,1,0.321068,0.984589,[32 24] ; [12  5],[33.75342466 22.24657534] ; [10.24657534  6.75342466],0
a5,1,0.348513,0.878865,[29 27] ; [11  6],[30.68493151 25.31506849] ; [9.31506849 7.68493151],0
v1,1,0.354335,0.857872,[21 35] ; [ 4 12],[19.44444444 36.55555556] ; [ 5.55555556 10.44444444],0
p7,1,0.368605,0.808361,[16 40] ; [ 3 14],[14.57534247 41.42465753] ; [ 4.42465753 12.57534247],0
d1,1,0.370622,0.801578,[26 30] ; [10  7],[27.61643836 28.38356164] ; [8.38356164 8.61643836],0
s5,1,0.37481,0.787656,[14 35] ; [ 3 14],[12.62121212 36.37878788] ; [ 4.37878788 12.62121212],0
b2,1,0.393231,0.728926,[ 9 20] ; [5 6],[10.15 18.85] ; [3.85 7.15],0
b3,1,0.393231,0.728926,[ 9 20] ; [5 6],[10.15 18.85] ; [3.85 7.15],0
a4,1,0.399496,0.709844,[20 36] ; [8 9],[21.47945205 34.52054795] ; [ 6.52054795 10.47945205],0
b4,1,0.417729,0.656695,[30 26] ; [11  6],[31.45205479 24.54794521] ; [9.54794521 7.45205479],0
p6,1,0.440392,0.59526,[11 44] ; [ 2 15],[ 9.93055556 45.06944444] ; [ 3.06944444 13.93055556],0
a7,1,0.464358,0.535371,[32 24] ; [8 9],[30.68493151 25.31506849] ; [9.31506849 7.68493151],0
p4,1,0.49784,0.459537,[18 38] ; [ 4 13],[16.87671233 39.12328767] ; [ 5.12328767 11.87671233],0
s3,1,0.558185,0.342857,[22 34] ; [ 5 11],[21. 35.] ; [ 6. 10.],0
n2,1,0.560714,0.338469,[13  8] ; [4 4],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
a8,1,0.674198,0.176731,[ 2 54] ; [ 1 16],[ 2.30136986 53.69863014] ; [ 0.69863014 16.30136986],0
u1,1,0.688771,0.160419,[ 5 51] ; [ 1 16],[ 4.60273973 51.39726027] ; [ 1.39726027 15.60273973],0
d5,1,0.716535,0.131837,[42 14] ; [12  5],[41.42465753 14.57534247] ; [12.57534247  4.42465753],0
v3,1,0.735888,0.113773,[14 38] ; [ 5 11],[14.52941176 37.47058824] ; [ 4.47058824 11.52941176],0
d3,1,0.759758,0.093513,[32 24] ; [9 8],[31.45205479 24.54794521] ; [9.54794521 7.45205479],0
u2,1,0.811414,0.056931,[13 11] ; [3 2],[13.24137931 10.75862069] ; [2.75862069 2.24137931],0
s7,1,0.85041,0.035568,[16 36] ; [ 5 10],[16.29850746 35.70149254] ; [ 4.70149254 10.29850746],0
v2,1,0.885969,0.020565,[26 27] ; [8 9],[25.74285714 27.25714286] ; [8.25714286 8.74285714],0
n3,1,0.89466,0.017532,[12  8] ; [4 3],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
a2,1,0.903347,0.014746,[ 6 50] ; [ 2 15],[ 6.1369863 49.8630137] ; [ 1.8630137 15.1369863],0
n4,1,0.917233,0.010799,[19 37] ; [ 6 11],[19.17808219 36.82191781] ; [ 5.82191781 11.17808219],0
p8,1,0.97852,0.000725,[13 43] ; [ 4 13],[13.04109589 42.95890411] ; [ 3.95890411 13.04109589],0
p3,1,0.992759,8.2e-05,[13 42] ; [ 4 13],[12.98611111 42.01388889] ; [ 4.01388889 12.98611111],0
