Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.006459,7.417582,[8 1] ; [ 6 12],[4.66666667 4.33333333] ; [9.33333333 8.66666667],0
s4,1,0.0109,6.481476,[7 7] ; [ 7 36],[ 3.43859649 10.56140351] ; [10.56140351 32.43859649],0
p7,1,0.033224,4.534186,[9 4] ; [15 27],[5.67272727 7.32727273] ; [18.32727273 23.67272727],0
s8,1,0.039537,4.237623,[6 8] ; [ 7 36],[ 3.19298246 10.80701754] ; [ 9.80701754 33.19298246],0
p8,1,0.049925,3.843984,[6 8] ; [ 7 34],[ 3.30909091 10.69090909] ; [ 9.69090909 31.30909091],0
r3,1,0.051491,3.792228,[11  3] ; [21 22],[7.85964912 6.14035088] ; [24.14035088 18.85964912],0
n4,1,0.051491,3.792228,[ 3 11] ; [22 21],[6.14035088 7.85964912] ; [18.85964912 24.14035088],0
b5,1,0.104854,2.630122,[10  4] ; [20 23],[7.36842105 6.63157895] ; [22.63157895 20.36842105],0
p11,1,0.106322,2.60805,[9 5] ; [17 26],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
s5,1,0.123794,2.368648,[4 8] ; [ 6 37],[2.18181818 9.81818182] ; [ 7.81818182 35.18181818],0
p2,1,0.14047,2.172807,[10  4] ; [21 22],[7.61403509 6.38596491] ; [23.38596491 19.61403509],0
a3,1,0.144403,2.130399,[5 9] ; [25 18],[7.36842105 6.63157895] ; [22.63157895 20.36842105],0
r4,1,0.156293,2.009734,[6 8] ; [10 33],[ 3.92982456 10.07017544] ; [12.07017544 30.92982456],0
s7,1,0.173477,1.852638,[6 7] ; [11 31],[4.01818182 8.98181818] ; [12.98181818 29.01818182],0
d5,1,0.184425,1.761603,[10  4] ; [22 21],[7.85964912 6.14035088] ; [24.14035088 18.85964912],0
v2,1,0.189005,1.725353,[6 8] ; [10 31],[4.07272727 9.92727273] ; [11.92727273 29.07272727],0
v4,1,0.197703,1.659259,[11  3] ; [25 17],[9. 5.] ; [27. 15.],0
b2,1,0.230549,1.437471,[4 4] ; [ 8 21],[2.59459459 5.40540541] ; [ 9.40540541 19.59459459],0
b3,1,0.230549,1.437471,[4 4] ; [ 8 21],[2.59459459 5.40540541] ; [ 9.40540541 19.59459459],0
p3,1,0.264349,1.245839,[5 9] ; [ 9 34],[ 3.43859649 10.56140351] ; [10.56140351 32.43859649],0
p4,1,0.38412,0.757475,[6 8] ; [13 30],[4.66666667 9.33333333] ; [14.33333333 28.66666667],0
s2,1,0.38412,0.757475,[6 8] ; [13 30],[4.66666667 9.33333333] ; [14.33333333 28.66666667],0
u1,1,0.394866,0.723905,[ 1 13] ; [ 1 42],[ 0.49122807 13.50877193] ; [ 1.50877193 41.49122807],0
n5,1,0.399051,0.711185,[6 8] ; [24 19],[7.36842105 6.63157895] ; [22.63157895 20.36842105],0
p5,1,0.405703,0.691358,[ 1 13] ; [ 1 41],[ 0.5 13.5] ; [ 1.5 40.5],0
v3,1,0.422539,0.643242,[ 1 12] ; [ 7 35],[ 1.89090909 11.10909091] ; [ 6.10909091 35.89090909],0
n3,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
n2,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
n1,1,0.469064,0.524179,[5 3] ; [7 8],[4.17391304 3.82608696] ; [7.82608696 7.17391304],0
a5,1,0.479477,0.500052,[5 9] ; [20 23],[6.14035088 7.85964912] ; [18.85964912 24.14035088],0
d4,1,0.577097,0.310952,[9 5] ; [24 19],[8.10526316 5.89473684] ; [24.89473684 18.10526316],0
d2,1,0.577097,0.310952,[5 9] ; [19 24],[5.89473684 8.10526316] ; [18.10526316 24.89473684],0
d1,1,0.579166,0.307585,[5 9] ; [12 31],[4.1754386 9.8245614] ; [12.8245614 30.1754386],0
u3,1,0.585957,0.296703,[5 4] ; [ 8 10],[4.33333333 4.66666667] ; [8.66666667 9.33333333],0
s3,1,0.641509,0.216774,[7 7] ; [18 24],[6.25 7.75] ; [18.75 23.25],0
r2,1,0.660549,0.192857,[10  4] ; [26 14],[9.33333333 4.66666667] ; [26.66666667 13.33333333],0
v1,1,0.701105,0.147325,[ 4 10] ; [14 27],[4.58181818 9.41818182] ; [13.41818182 27.58181818],0
s6,1,0.706153,0.14215,[6 8] ; [16 27],[5.40350877 8.59649123] ; [16.59649123 26.40350877],0
d3,1,0.714757,0.133572,[5 8] ; [19 24],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
p9,1,0.752044,0.099822,[9 5] ; [25 17],[8.5 5.5] ; [25.5 16.5],0
p1,1,0.792425,0.069255,[ 2 12] ; [ 5 38],[ 1.71929825 12.28070175] ; [ 5.28070175 37.71929825],0
b4,1,0.820387,0.05155,[7 7] ; [20 23],[6.63157895 7.36842105] ; [20.36842105 22.63157895],0
a8,1,0.85842,0.031822,[ 1 12] ; [ 4 39],[ 1.16071429 11.83928571] ; [ 3.83928571 39.16071429],0
p10,1,0.877293,0.02384,[7 7] ; [20 22],[6.75 7.25] ; [20.25 21.75],0
a4,1,0.906067,0.013924,[ 4 10] ; [13 30],[4.1754386 9.8245614] ; [12.8245614 30.1754386],0
b1,1,0.919772,0.010145,[9 5] ; [27 16],[8.84210526 5.15789474] ; [27.15789474 15.84210526],0
a6,1,0.930645,0.007575,[8 6] ; [24 19],[7.85964912 6.14035088] ; [24.14035088 18.85964912],0
a7,1,0.939746,0.005714,[7 7] ; [22 21],[7.12280702 6.87719298] ; [21.87719298 21.12280702],0
