Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,41.359006,[42  5] ; [21 51],[24.88235294 22.11764706] ; [38.11764706 33.88235294],1
s6,1,6e-05,16.117583,[38  9] ; [32 41],[27.41666667 19.58333333] ; [42.58333333 30.41666667],1
s7,1,0.000329,12.898471,[25 20] ; [15 52],[16.07142857 28.92857143] ; [23.92857143 43.07142857],1
s8,1,0.000422,12.43223,[25 22] ; [16 57],[16.05833333 30.94166667] ; [24.94166667 48.05833333],1
u3,1,0.00553,7.697368,[17  2] ; [13 13],[12.66666667  6.33333333] ; [17.33333333  8.66666667],0
s4,1,0.008839,6.855144,[15 32] ; [ 9 64],[ 9.4 37.6] ; [14.6 58.4],0
s5,1,0.024753,5.04105,[15 30] ; [11 60],[10.0862069 34.9137931] ; [15.9137931 55.0862069],0
p10,1,0.034164,4.486496,[35 11] ; [41 31],[29.62711864 16.37288136] ; [46.37288136 25.62711864],0
d1,1,0.048377,3.896827,[26 21] ; [27 46],[20.75833333 26.24166667] ; [32.24166667 40.75833333],0
p4,1,0.067265,3.348535,[28 19] ; [31 42],[23.10833333 23.89166667] ; [35.89166667 37.10833333],0
d4,1,0.072758,3.219671,[40  7] ; [51 21],[35.94117647 11.05882353] ; [55.05882353 16.94117647],0
p9,1,0.076221,3.143699,[37  9] ; [47 25],[32.74576271 13.25423729] ; [51.25423729 20.74576271],0
r3,1,0.099024,2.7212,[44  2] ; [63 10],[41.36134454  4.63865546] ; [65.63865546  7.36134454],0
r2,1,0.121671,2.395677,[42  3] ; [61 12],[39.27966102  5.72033898] ; [63.72033898  9.27966102],0
d3,1,0.131597,2.27356,[35 12] ; [44 28],[31.20168067 15.79831933] ; [47.79831933 24.20168067],0
p6,1,0.159789,1.97622,[16 30] ; [16 54],[12.68965517 33.31034483] ; [19.31034483 50.68965517],0
p3,1,0.19495,1.67981,[23 24] ; [27 46],[19.58333333 27.41666667] ; [30.41666667 42.58333333],0
p5,1,0.240435,1.378041,[ 1 46] ; [ 5 67],[ 2.3697479 44.6302521] ; [ 3.6302521 68.3697479],0
v4,1,0.2745,1.194121,[44  2] ; [64  7],[42.46153846  3.53846154] ; [65.53846154  5.46153846],0
n4,1,0.316444,1.003587,[22 25] ; [41 32],[24.675 22.325] ; [38.325 34.675],0
u2,1,0.321466,0.982974,[15  4] ; [17  9],[13.51111111  5.48888889] ; [18.48888889  7.51111111],0
p12,1,0.336159,0.925026,[ 2 45] ; [ 1 70],[ 1.19491525 45.80508475] ; [ 1.80508475 69.19491525],0
n5,1,0.384581,0.756006,[22 24] ; [29 44],[19.71428571 26.28571429] ; [31.28571429 41.71428571],0
u1,1,0.396466,0.719019,[ 3 44] ; [ 8 65],[ 4.30833333 42.69166667] ; [ 6.69166667 66.30833333],0
p7,1,0.431066,0.619949,[24 20] ; [44 27],[26.0173913 17.9826087] ; [41.9826087 29.0173913],0
a3,1,0.445528,0.582003,[27 20] ; [47 26],[28.98333333 18.01666667] ; [45.01666667 27.98333333],0
a4,1,0.448952,0.573297,[13 34] ; [25 48],[14.88333333 32.11666667] ; [23.11666667 49.88333333],0
d5,1,0.449758,0.571262,[37 10] ; [53 20],[35.25 11.75] ; [54.75 18.25],0
n2,1,0.490021,0.47648,[9 2] ; [17  7],[8.17142857 2.82857143] ; [17.82857143  6.17142857],0
n1,1,0.538394,0.378524,[4 7] ; [ 6 17],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
d2,1,0.569671,0.323233,[15 32] ; [27 46],[16.45 30.55] ; [25.55 47.45],0
p11,1,0.596831,0.279802,[30 17] ; [50 23],[31.33333333 15.66666667] ; [48.66666667 24.33333333],0
v3,1,0.623874,0.24046,[12 32] ; [16 53],[10.90265487 33.09734513] ; [17.09734513 51.90265487],0
a7,1,0.653494,0.201524,[34 13] ; [50 23],[32.9 14.1] ; [51.1 21.9],0
r1,1,0.662757,0.190192,[33 13] ; [55 18],[34.01680672 11.98319328] ; [53.98319328 19.01680672],0
a8,1,0.721029,0.127509,[ 3 39] ; [ 6 60],[ 3.5 38.5] ; [ 5.5 60.5],0
b2,1,0.726558,0.122296,[ 6 23] ; [ 9 28],[ 6.59090909 22.40909091] ; [ 8.40909091 28.59090909],0
b3,1,0.726558,0.122296,[ 6 23] ; [ 9 28],[ 6.59090909 22.40909091] ; [ 8.40909091 28.59090909],0
p8,1,0.813566,0.055615,[19 26] ; [32 40],[19.61538462 25.38461538] ; [31.38461538 40.61538462],0
b4,1,0.824874,0.048965,[28 19] ; [42 31],[27.41666667 19.58333333] ; [42.58333333 30.41666667],0
a1,1,0.833959,0.043943,[ 1 46] ; [ 2 71],[ 1.175 45.825] ; [ 1.825 71.175],0
s1,1,0.838945,0.041308,[ 1 45] ; [ 2 70],[ 1.16949153 44.83050847] ; [ 1.83050847 70.16949153],0
v1,1,0.842713,0.039372,[21 23] ; [33 39],[20.48275862 23.51724138] ; [33.51724138 38.48275862],0
a2,1,0.854609,0.033577,[ 7 40] ; [10 63],[ 6.65833333 40.34166667] ; [10.34166667 62.65833333],0
b5,1,0.859947,0.031132,[31 16] ; [47 26],[30.55 16.45] ; [47.45 25.55],0
n3,1,0.886436,0.020396,[8 3] ; [18  6],[8.17142857 2.82857143] ; [17.82857143  6.17142857],0
v2,1,0.892214,0.018361,[20 23] ; [33 36],[20.34821429 22.65178571] ; [32.65178571 36.34821429],0
a6,1,0.904478,0.014402,[33 14] ; [52 21],[33.29166667 13.70833333] ; [51.70833333 21.29166667],0
p1,1,0.904827,0.014296,[ 3 44] ; [ 5 67],[ 3.15966387 43.84033613] ; [ 4.84033613 67.15966387],0
b1,1,0.915555,0.011243,[24 23] ; [38 35],[24.28333333 22.71666667] ; [37.71666667 35.28333333],0
r4,1,0.92357,0.009204,[37 10] ; [58 15],[37.20833333  9.79166667] ; [57.79166667 15.20833333],0
a5,1,0.941865,0.005318,[28 19] ; [43 30],[27.80833333 19.19166667] ; [43.19166667 29.80833333],0
