Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.336339,[ 6 11] ; [95 19],[13.10687023  3.89312977] ; [87.89312977 26.10687023],1
p3,1,1.2e-05,19.202924,[ 5 12] ; [91 23],[12.45801527  4.54198473] ; [83.54198473 30.45801527],1
p4,1,0.000346,12.805252,[9 8] ; [100  14],[14.14503817  2.85496183] ; [94.85496183 19.14503817],1
p2,1,0.000397,12.544018,[11  6] ; [107   8],[15.1969697  1.8030303] ; [102.8030303  12.1969697],1
r1,1,0.001524,10.049908,[9 8] ; [98 17],[13.78030303  3.21969697] ; [93.21969697 21.78030303],0
p10,1,0.001916,9.62814,[12  5] ; [107   7],[15.44274809  1.55725191] ; [103.55725191  10.44274809],0
p9,1,0.015608,5.84654,[14  3] ; [110   4],[16.09160305  0.90839695] ; [107.90839695   6.09160305],0
p5,1,0.025436,4.993924,[ 1 16] ; [37 78],[ 4.89393939 12.10606061] ; [33.10606061 81.89393939],0
s5,1,0.028846,4.776763,[ 3 12] ; [55 55],[6.96 8.04] ; [51.04 58.96],0
r4,1,0.031951,4.601106,[14  3] ; [110   5],[15.96969697  1.03030303] ; [108.03030303   6.96969697],0
v1,1,0.067973,3.331292,[9 7] ; [89 26],[11.96946565  4.03053435] ; [86.03053435 28.96946565],0
p11,1,0.102945,2.659317,[12  5] ; [99 16],[14.29545455  2.70454545] ; [96.70454545 18.29545455],0
d5,1,0.140759,2.16964,[12  5] ; [96 17],[14.12307692  2.87692308] ; [93.87692308 19.12307692],0
d3,1,0.148666,2.085883,[10  7] ; [86 28],[12.45801527  4.54198473] ; [83.54198473 30.45801527],0
s3,1,0.164889,1.928808,[7 9] ; [70 43],[9.5503876 6.4496124] ; [67.4496124 45.5503876],0
p1,1,0.196998,1.664489,[ 1 16] ; [21 93],[ 2.85496183 14.14503817] ; [19.14503817 94.85496183],0
a8,1,0.305889,1.048342,[ 1 15] ; [16 84],[ 2.34482759 13.65517241] ; [14.65517241 85.34482759],0
s4,1,0.313052,1.017754,[ 1 16] ; [17 97],[ 2.33587786 14.66412214] ; [15.66412214 98.33587786],0
d2,1,0.317958,0.997326,[11  6] ; [59 55],[9.08396947 7.91603053] ; [60.91603053 53.08396947],0
s7,1,0.332785,0.93803,[10  6] ; [80 28],[11.61290323  4.38709677] ; [78.38709677 29.61290323],0
s6,1,0.346964,0.88453,[11  6] ; [83 27],[12.58267717  4.41732283] ; [81.41732283 28.58267717],0
u3,1,0.347627,0.882102,[1 2] ; [16 10],[1.75862069 1.24137931] ; [15.24137931 10.75862069],0
u2,1,0.347627,0.882102,[1 2] ; [16 10],[1.75862069 1.24137931] ; [15.24137931 10.75862069],0
n2,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
a2,1,0.374834,0.787578,[ 3 14] ; [32 83],[ 4.50757576 12.49242424] ; [30.49242424 84.50757576],0
d4,1,0.375465,0.785499,[13  4] ; [96 17],[14.25384615  2.74615385] ; [94.74615385 18.25384615],0
a5,1,0.375615,0.785003,[12  5] ; [92 23],[13.39393939  3.60606061] ; [90.60606061 24.39393939],0
n5,1,0.381808,0.764871,[14  3] ; [103  12],[15.06818182  1.93181818] ; [101.93181818  13.06818182],0
n6,1,0.398957,0.711468,[15  2] ; [106   7],[15.82307692  1.17692308] ; [105.17692308   7.82307692],0
a1,1,0.44551,0.58205,[ 1 16] ; [ 14 101],[ 1.93181818 15.06818182] ; [ 13.06818182 101.93181818],0
v4,1,0.467397,0.528123,[16  1] ; [111   3],[16.48091603  0.51908397] ; [110.51908397   3.48091603],0
n1,1,0.509893,0.434286,[3 2] ; [6 8],[2.36842105 2.63157895] ; [6.63157895 7.36842105],0
b4,1,0.567702,0.326543,[12  5] ; [73 42],[10.9469697  6.0530303] ; [74.0530303 40.9469697],0
b5,1,0.568011,0.326021,[11  6] ; [66 49],[9.91666667 7.08333333] ; [67.08333333 47.91666667],0
s1,1,0.587709,0.293936,[ 1 15] ; [  4 111],[ 0.61068702 15.38931298] ; [  4.38931298 110.61068702],0
a7,1,0.59343,0.28502,[11  6] ; [81 33],[11.9389313  5.0610687] ; [80.0610687 33.9389313],0
b1,1,0.613927,0.254495,[ 6 11] ; [48 67],[ 6.95454545 10.04545455] ; [47.04545455 67.95454545],0
b2,1,0.620425,0.24527,[4 3] ; [36 40],[3.37349398 3.62650602] ; [36.62650602 39.37349398],0
b3,1,0.620425,0.24527,[4 3] ; [36 40],[3.37349398 3.62650602] ; [36.62650602 39.37349398],0
u4,1,0.627928,0.234882,[ 1 16] ; [  4 111],[ 0.64393939 16.35606061] ; [  4.35606061 110.64393939],0
r3,1,0.633731,0.227035,[16  1] ; [110   4],[16.35114504  0.64885496] ; [109.64885496   4.35114504],0
r2,1,0.633731,0.227035,[16  1] ; [110   4],[16.35114504  0.64885496] ; [109.64885496   4.35114504],0
a6,1,0.678554,0.171758,[12  5] ; [74 39],[11.24615385  5.75384615] ; [74.75384615 38.24615385],0
s8,1,0.696707,0.151921,[10  7] ; [72 41],[10.72307692  6.27692308] ; [71.27692308 41.72307692],0
a3,1,0.733575,0.115855,[14  3] ; [89 24],[13.46923077  3.53076923] ; [89.53076923 23.46923077],0
p12,1,0.816241,0.054001,[ 4 13] ; [24 90],[ 3.63358779 13.36641221] ; [24.36641221 89.63358779],0
v2,1,0.844314,0.038564,[13  3] ; [91 24],[12.70229008  3.29770992] ; [91.29770992 23.70229008],0
u1,1,0.880748,0.022506,[ 4 13] ; [29 86],[ 4.25 12.75] ; [28.75 86.25],0
a4,1,0.899698,0.015887,[8 9] ; [56 59],[8.24242424 8.75757576] ; [55.75757576 59.24242424],0
d1,1,0.910722,0.012573,[11  6] ; [76 39],[11.20454545  5.79545455] ; [75.79545455 39.20454545],0
s2,1,0.942296,0.005239,[10  7] ; [66 48],[9.86259542 7.13740458] ; [66.13740458 47.86259542],0
