Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.185112,[22 12] ; [ 7 33],[13.32432432 20.67567568] ; [15.67567568 24.32432432],1
p7,1,0.057663,3.603367,[19 12] ; [15 24],[15.05714286 15.94285714] ; [18.94285714 20.05714286],0
n3,1,0.05818,3.588517,[7 8] ; [12  3],[9.5 5.5] ; [9.5 5.5],0
d4,1,0.066812,3.359659,[18 15] ; [30 10],[21.69863014 11.30136986] ; [26.30136986 13.69863014],0
u3,1,0.08663,2.935912,[ 9 12] ; [17  8],[11.86956522  9.13043478] ; [14.13043478 10.86956522],0
d1,1,0.112691,2.516068,[ 7 27] ; [15 25],[10.10810811 23.89189189] ; [11.89189189 28.10810811],0
u2,1,0.113791,2.50077,[11 10] ; [18  6],[13.53333333  7.46666667] ; [15.46666667  8.53333333],0
s8,1,0.11908,2.429381,[ 5 29] ; [12 28],[ 7.81081081 26.18918919] ; [ 9.18918919 30.81081081],0
d5,1,0.120538,2.410312,[16 18] ; [26 14],[19.2972973 14.7027027] ; [22.7027027 17.2972973],0
p1,1,0.133285,2.253821,[ 1 33] ; [ 5 35],[ 2.75675676 31.24324324] ; [ 3.24324324 36.75675676],0
a7,1,0.172647,1.859806,[15 19] ; [24 16],[17.91891892 16.08108108] ; [21.08108108 18.91891892],0
v3,1,0.22186,1.492297,[ 3 31] ; [ 7 30],[ 4.78873239 29.21126761] ; [ 5.21126761 31.78873239],0
p8,1,0.221963,1.491635,[ 9 24] ; [16 23],[11.45833333 21.54166667] ; [13.54166667 25.45833333],0
s6,1,0.223993,1.478603,[17 17] ; [14 25],[14.43835616 19.56164384] ; [16.56164384 22.43835616],0
a8,1,0.228327,1.451255,[ 3 30] ; [ 1 38],[ 1.83333333 31.16666667] ; [ 2.16666667 36.83333333],0
p11,1,0.251042,1.317497,[19 15] ; [17 23],[16.54054054 17.45945946] ; [19.45945946 20.54054054],0
b5,1,0.292369,1.108681,[18 16] ; [26 14],[20.21621622 13.78378378] ; [23.78378378 16.21621622],0
