Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.005987,7.554098,[ 13 231] ; [3 9],[ 15.25 228.75] ; [ 0.75 11.25],0
p8,1,0.014841,5.935302,[ 79 164] ; [8 4],[ 82.90588235 160.09411765] ; [4.09411765 7.90588235],0
v1,1,0.036246,4.38551,[ 98 142] ; [8 3],[101.35458167 138.64541833] ; [4.64541833 6.35458167],0
a6,1,0.042741,4.105634,[135 111] ; [3 9],[131.58139535 114.41860465] ; [6.41860465 5.58139535],0
v3,1,0.043698,4.068206,[ 58 183] ; [6 6],[ 60.96442688 180.03557312] ; [3.03557312 8.96442688],0
p6,1,0.06781,3.33524,[ 48 195] ; [5 7],[ 50.50588235 192.49411765] ; [2.49411765 9.50588235],0
s1,1,0.086279,2.942464,[ 12 227] ; [ 2 10],[ 13.33067729 225.66932271] ; [ 0.66932271 11.33067729],0
p10,1,0.088164,2.907577,[159  81] ; [10  1],[161.5936255  78.4063745] ; [7.4063745 3.5936255],0
s5,1,0.118046,2.443053,[ 53 186] ; [5 7],[ 55.22709163 183.77290837] ; [2.77290837 9.22709163],0
s6,1,0.141413,2.162513,[128 112] ; [9 3],[130.47619048 109.52380952] ; [6.52380952 5.47619048],0
b4,1,0.154582,2.026441,[133 113] ; [9 3],[135.39534884 110.60465116] ; [6.60465116 5.39534884],0
a3,1,0.181161,1.788077,[129 114] ; [4 8],[126.74117647 116.25882353] ; [6.25882353 5.74117647],0
s3,1,0.183872,1.766048,[115 126] ; [3 8],[112.84920635 128.15079365] ; [5.15079365 5.84920635],0
p4,1,0.219525,1.507472,[ 69 175] ; [5 6],[ 70.80784314 173.19215686] ; [3.19215686 7.80784314],0
d5,1,0.231519,1.431505,[125 120] ; [4 8],[122.9766537 122.0233463] ; [6.0233463 5.9766537],0
a8,1,0.236971,1.398521,[ 33 198] ; [3 8],[ 34.36363636 196.63636364] ; [1.63636364 9.36363636],0
b5,1,0.256976,1.284976,[144 102] ; [9 3],[145.88372093 100.11627907] ; [7.11627907 4.88372093],0
s8,1,0.265268,1.241053,[ 66 179] ; [5 7],[ 67.6848249 177.3151751] ; [3.3151751 8.6848249],0
n4,1,0.340543,0.908384,[149  94] ; [9 3],[150.56470588  92.43529412] ; [7.43529412 4.56470588],0
n6,1,0.343732,0.896461,[171  71] ; [10  2],[172.4488189  69.5511811] ; [8.5511811 3.4488189],0
p9,1,0.359717,0.83888,[170  69] ; [10  2],[171.39442231  67.60557769] ; [8.60557769 3.39442231],0
s7,1,0.371296,0.799322,[ 76 158] ; [5 6],[ 77.36326531 156.63673469] ; [3.63673469 7.36326531],0
d2,1,0.376777,0.781192,[ 38 208] ; [3 9],[ 39.09302326 206.90697674] ; [ 1.90697674 10.09302326],0
a5,1,0.448997,0.573182,[116 130] ; [7 5],[117.27906977 128.72093023] ; [5.72093023 6.27906977],0
u2,1,0.450192,0.570168,[56 59] ; [5 3],[57.03252033 57.96747967] ; [3.96747967 4.03252033],0
r4,1,0.468554,0.525383,[182  64] ; [10  2],[183.06976744  62.93023256] ; [8.93023256 3.06976744],0
n5,1,0.488994,0.47874,[158  84] ; [9 3],[159.11023622  82.88976378] ; [7.88976378 4.11023622],0
d3,1,0.524678,0.404689,[104 140] ; [4 8],[102.9375 141.0625] ; [5.0625 6.9375],0
a4,1,0.570616,0.321653,[ 58 186] ; [ 2 10],[ 57.1875 186.8125] ; [2.8125 9.1875],0
u3,1,0.571575,0.320054,[55 60] ; [3 5],[54.22764228 60.77235772] ; [3.77235772 4.22764228],0
p11,1,0.571673,0.319892,[163  83] ; [7 5],[162.09302326  83.90697674] ; [7.90697674 4.09302326],0
r1,1,0.607125,0.264383,[160  84] ; [7 5],[159.171875  84.828125] ; [7.828125 4.171875],0
n2,1,0.614994,0.252967,[67 18] ; [2 1],[66.64772727 18.35227273] ; [2.35227273 0.64772727],0
a7,1,0.637034,0.222642,[146  98] ; [8 4],[146.78125  97.21875] ; [7.21875 4.78125],0
b2,1,0.676238,0.174392,[39 89] ; [3 5],[39.52941176 88.47058824] ; [2.47058824 5.52941176],0
b3,1,0.676238,0.174392,[39 89] ; [3 5],[39.52941176 88.47058824] ; [2.47058824 5.52941176],0
v4,1,0.702577,0.145805,[210  31] ; [10  2],[209.56521739  31.43478261] ; [10.43478261  1.56521739],0
p2,1,0.715239,0.1331,[176  70] ; [8 4],[175.44186047  70.55813953] ; [8.55813953 3.44186047],0
s2,1,0.752042,0.099823,[ 92 151] ; [4 8],[ 91.48235294 151.51764706] ; [4.51764706 7.48235294],0
n1,1,0.759388,0.093811,[33 51] ; [1 1],[33.20930233 50.79069767] ; [0.79069767 1.20930233],0
p7,1,0.791055,0.070194,[108 129] ; [5 7],[107.55421687 129.44578313] ; [5.44578313 6.55421687],0
b1,1,0.832362,0.044805,[ 95 151] ; [5 7],[ 95.34883721 150.65116279] ; [4.65116279 7.34883721],0
v2,1,0.83306,0.044428,[ 90 143] ; [5 7],[ 90.34693878 142.65306122] ; [4.65306122 7.34693878],0
r3,1,0.865209,0.028814,[206  36] ; [10  2],[205.79527559  36.20472441] ; [10.20472441  1.79527559],0
d4,1,0.878847,0.023235,[138 108] ; [7 5],[138.25581395 107.74418605] ; [6.74418605 5.25581395],0
r2,1,0.897208,0.01669,[205  37] ; [10  2],[204.84251969  37.15748031] ; [10.15748031  1.84251969],0
