Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,61.155852,[ 5 24] ; [97 12],[21.43478261  7.56521739] ; [80.56521739 28.43478261],1
p11,1,8e-05,15.562034,[10 19] ; [81 29],[18.98561151 10.01438849] ; [72.01438849 37.98561151],1
p2,1,0.00014,14.507778,[14 15] ; [90 19],[21.85507246  7.14492754] ; [82.14492754 26.85507246],1
b1,1,0.002163,9.405458,[17 12] ; [31 79],[10.01438849 18.98561151] ; [37.98561151 72.01438849],0
s8,1,0.015871,5.817094,[ 8 21] ; [58 52],[13.76978417 15.23021583] ; [52.23021583 57.76978417],0
v4,1,0.019489,5.457134,[24  5] ; [104   5],[26.89855072  2.10144928] ; [101.10144928   7.89855072],0
r3,1,0.028269,4.811573,[26  3] ; [108   2],[27.95683453  1.04316547] ; [106.04316547   3.95683453],0
n6,1,0.031135,4.645476,[14 15] ; [76 33],[18.91304348 10.08695652] ; [71.08695652 37.91304348],0
b3,1,0.044839,4.024682,[ 2 17] ; [20 38],[ 5.42857143 13.57142857] ; [16.57142857 41.42857143],0
b2,1,0.044839,4.024682,[ 2 17] ; [20 38],[ 5.42857143 13.57142857] ; [16.57142857 41.42857143],0
r4,1,0.065062,3.403409,[22  7] ; [98 12],[25.03597122  3.96402878] ; [94.96402878 15.03597122],0
r2,1,0.071571,3.246612,[24  5] ; [100   7],[26.44117647  2.55882353] ; [97.55882353  9.44117647],0
s3,1,0.074305,3.185257,[15 14] ; [75 33],[19.05109489  9.94890511] ; [70.94890511 37.05109489],0
a7,1,0.075342,3.162634,[18 11] ; [86 24],[21.69784173  7.30215827] ; [82.30215827 27.69784173],0
n3,1,0.118541,2.436497,[5 4] ; [29  7],[6.8 2.2] ; [27.2  8.8],0
b4,1,0.120643,2.408948,[15 14] ; [74 36],[18.56834532 10.43165468] ; [70.43165468 39.56834532],0
r1,1,0.133235,2.254406,[19 10] ; [86 23],[22.06521739  6.93478261] ; [82.93478261 26.06521739],0
p4,1,0.156282,2.009838,[18 11] ; [52 58],[14.60431655 14.39568345] ; [55.39568345 54.60431655],0
p7,1,0.164284,1.934344,[13 16] ; [64 44],[16.29927007 12.70072993] ; [60.70072993 47.29927007],0
u2,1,0.203463,1.617341,[7 6] ; [27 10],[8.84 4.16] ; [25.16 11.84],0
p6,1,0.210854,1.565551,[ 6 23] ; [35 72],[ 8.74264706 20.25735294] ; [32.25735294 74.74264706],0
v3,1,0.219944,1.504733,[11 17] ; [29 77],[ 8.35820896 19.64179104] ; [31.64179104 74.35820896],0
s7,1,0.279729,1.168407,[10 17] ; [53 56],[12.50735294 14.49264706] ; [50.49264706 58.50735294],0
a5,1,0.28142,1.160221,[19 10] ; [83 27],[21.28057554  7.71942446] ; [80.71942446 29.28057554],0
p1,1,0.306571,1.04539,[ 1 28] ; [10 98],[ 2.32846715 26.67153285] ; [ 8.67153285 99.32846715],0
a3,1,0.353436,0.861081,[16 13] ; [71 39],[18.15107914 10.84892086] ; [68.84892086 41.15107914],0
n4,1,0.376544,0.781955,[ 9 20] ; [44 66],[11.05755396 17.94244604] ; [41.94244604 68.05755396],0
s5,1,0.425556,0.634922,[10 19] ; [44 59],[11.86363636 17.13636364] ; [42.13636364 60.86363636],0
d2,1,0.436384,0.605772,[15 14] ; [48 62],[13.14388489 15.85611511] ; [49.85611511 60.14388489],0
s2,1,0.457757,0.551373,[16 13] ; [69 41],[17.73381295 11.26618705] ; [67.26618705 42.73381295],0
d4,1,0.485523,0.486432,[26  3] ; [93 17],[24.82733813  4.17266187] ; [94.17266187 15.82733813],0
u3,1,0.526599,0.40095,[10  3] ; [25 12],[9.1 3.9] ; [25.9 11.1],0
a4,1,0.528975,0.39636,[10 19] ; [45 65],[11.47482014 17.52517986] ; [43.52517986 66.47482014],0
