Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9.6e-05,15.21794,[28 36] ; [ 9 59],[17.93939394 46.06060606] ; [19.06060606 48.93939394],1
d5,1,0.003526,8.512952,[58  9] ; [47 25],[50.61151079 16.38848921] ; [54.38848921 17.61151079],0
v1,1,0.005217,7.802535,[38 28] ; [24 47],[29.86861314 36.13138686] ; [32.13138686 38.86861314],0
a3,1,0.012961,6.174488,[51 16] ; [41 32],[44.02857143 22.97142857] ; [47.97142857 25.02857143],0
r3,1,0.024027,5.092656,[63  3] ; [61 12],[58.87769784  7.12230216] ; [65.12230216  7.87769784],0
a5,1,0.026421,4.928226,[48 19] ; [39 34],[41.63571429 25.36428571] ; [45.36428571 27.63571429],0
d1,1,0.045599,3.996351,[37 30] ; [28 45],[31.10714286 35.89285714] ; [33.89285714 39.10714286],0
n5,1,0.068238,3.324903,[34 32] ; [26 46],[28.69565217 37.30434783] ; [31.30434783 40.69565217],0
p10,1,0.100417,2.698906,[44 19] ; [41 32],[39.375 23.625] ; [45.625 27.375],0
p7,1,0.152473,2.047335,[39 25] ; [33 35],[34.90909091 29.09090909] ; [37.09090909 30.90909091],0
u2,1,0.157299,2.0,[14  2] ; [22 10],[12.  4.] ; [24.  8.],0
d3,1,0.169906,1.88377,[48 19] ; [43 28],[44.18115942 22.81884058] ; [46.81884058 24.18115942],0
r1,1,0.17026,1.880656,[52 14] ; [50 23],[48.43165468 17.56834532] ; [53.56834532 19.43165468],0
p8,1,0.186034,1.748747,[29 35] ; [25 48],[25.22627737 38.77372263] ; [28.77372263 44.22627737],0
p5,1,0.192934,1.695071,[ 5 61] ; [ 2 71],[ 3.32374101 62.67625899] ; [ 3.67625899 69.32374101],0
n3,1,0.195431,1.67619,[17  5] ; [13  9],[15.  7.] ; [15.  7.],0
p4,1,0.223102,1.484306,[32 33] ; [28 44],[28.46715328 36.53284672] ; [31.53284672 40.46715328],0
s3,1,0.24129,1.373039,[31 35] ; [41 31],[34.43478261 31.56521739] ; [37.56521739 34.43478261],0
s7,1,0.263138,1.252171,[24 38] ; [20 48],[20.98461538 41.01538462] ; [23.01538462 44.98461538],0
s4,1,0.264482,1.245144,[ 9 58] ; [15 58],[11.48571429 55.51428571] ; [12.51428571 60.48571429],0
a4,1,0.289546,1.121729,[20 47] ; [28 45],[22.97142857 44.02857143] ; [25.02857143 47.97142857],0
s1,1,0.314322,1.012428,[ 2 62] ; [ 5 67],[ 3.29411765 60.70588235] ; [ 3.70588235 68.29411765],0
a2,1,0.331387,0.94347,[ 8 59] ; [13 60],[10.05 56.95] ; [10.95 62.05],0
p11,1,0.409542,0.680129,[44 23] ; [43 30],[41.63571429 25.36428571] ; [45.36428571 27.63571429],0
b2,1,0.433357,0.613811,[10 24] ; [10 36],[ 8.5 25.5] ; [11.5 34.5],0
b3,1,0.433357,0.613811,[10 24] ; [10 36],[ 8.5 25.5] ; [11.5 34.5],0
