Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.8e-05,17.536929,[100  45] ; [13 27],[88.56756757 56.43243243] ; [24.43243243 15.56756757],1
b1,1,7.4e-05,15.715274,[ 49 100] ; [27 13],[59.91534392 89.08465608] ; [16.08465608 23.91534392],1
n5,1,0.000842,11.145439,[128  19] ; [25 14],[120.91935484  26.08064516] ; [32.08064516  6.91935484],1
p7,1,0.004028,8.271174,[116  26] ; [24 16],[109.23076923  32.76923077] ; [30.76923077  9.23076923],0
a5,1,0.010353,6.573199,[127  22] ; [27 13],[121.40740741  27.59259259] ; [32.59259259  7.40740741],0
p5,1,0.011655,6.362668,[ 39 110] ; [ 3 37],[ 33.11111111 115.88888889] ; [ 8.88888889 31.11111111],0
n6,1,0.014712,5.950677,[135  11] ; [30  8],[130.92391304  15.07608696] ; [34.07608696  3.92391304],0
p10,1,0.037476,4.328649,[136  13] ; [31  8],[132.35638298  16.64361702] ; [34.64361702  4.35638298],0
b5,1,0.044655,4.031605,[74 75] ; [27 13],[79.62433862 69.37566138] ; [21.37566138 18.62433862],0
p2,1,0.05123,3.800736,[133  16] ; [31  9],[129.29100529  19.70899471] ; [34.70899471  5.29100529],0
n4,1,0.053227,3.736772,[129  20] ; [28 10],[125.09625668  23.90374332] ; [31.90374332  6.09625668],0
a3,1,0.078391,3.097959,[128  20] ; [30 10],[124.38297872  23.61702128] ; [33.61702128  6.38297872],0
p3,1,0.079459,3.075928,[93 55] ; [19 21],[88.17021277 59.82978723] ; [23.82978723 16.17021277],0
r3,1,0.080596,3.052836,[145   3] ; [37  3],[143.27659574   4.72340426] ; [38.72340426  1.27659574],0
p12,1,0.083659,2.99235,[ 23 126] ; [ 2 38],[ 19.70899471 129.29100529] ; [ 5.29100529 34.70899471],0
u3,1,0.109443,2.562245,[18  3] ; [6 4],[16.25806452  4.74193548] ; [7.74193548 2.25806452],0
s3,1,0.117539,2.449807,[121  24] ; [29 11],[117.56756757  27.43243243] ; [32.43243243  7.56756757],0
a8,1,0.120368,2.412528,[ 18 117] ; [ 8 25],[ 20.89285714 114.10714286] ; [ 5.10714286 27.89285714],0
p4,1,0.205424,1.603387,[107  40] ; [25 15],[103.76470588  43.23529412] ; [28.23529412 11.76470588],0
p9,1,0.214876,1.538267,[138  10] ; [34  5],[136.12834225  11.87165775] ; [35.87165775  3.12834225],0
n2,1,0.252703,1.308296,[29  4] ; [12  4],[27.6122449  5.3877551] ; [13.3877551  2.6122449],0
b4,1,0.29568,1.093576,[87 62] ; [27 13],[89.87301587 59.12698413] ; [24.12698413 15.87301587],0
a1,1,0.312435,1.020353,[ 10 139] ; [ 1 39],[  8.67195767 140.32804233] ; [ 2.32804233 37.67195767],0
v1,1,0.325719,0.965843,[94 54] ; [22 18],[91.31914894 56.68085106] ; [24.68085106 15.31914894],0
a4,1,0.32867,0.95413,[80 69] ; [18 22],[77.25925926 71.74074074] ; [20.74074074 19.25925926],0
b3,1,0.376988,0.7805,[49 56] ; [ 8 14],[47.12598425 57.87401575] ; [ 9.87401575 12.12598425],0
b2,1,0.376988,0.7805,[49 56] ; [ 8 14],[47.12598425 57.87401575] ; [ 9.87401575 12.12598425],0
u2,1,0.398025,0.714286,[15  5] ; [6 4],[14.  6.] ; [7. 3.],0
d1,1,0.400337,0.707314,[100  49] ; [24 16],[97.75661376 51.24338624] ; [26.24338624 13.75661376],0
d3,1,0.458141,0.550432,[106  42] ; [31  9],[107.85106383  40.14893617] ; [29.14893617 10.85106383],0
s1,1,0.472826,0.515365,[  8 139] ; [ 1 37],[  7.15135135 139.84864865] ; [ 1.84864865 36.15135135],0
r1,1,0.483265,0.491486,[128  20] ; [32  7],[126.63101604  21.36898396] ; [33.36898396  5.63101604],0
v3,1,0.588946,0.291994,[75 72] ; [18 21],[73.5 73.5] ; [19.5 19.5],0
s6,1,0.58921,0.29158,[140   8] ; [36  3],[139.29411765   8.70588235] ; [36.70588235  2.29411765],0
s2,1,0.601784,0.272314,[127  21] ; [33  7],[125.95744681  22.04255319] ; [34.04255319  5.95744681],0
p6,1,0.619117,0.247111,[80 67] ; [20 20],[78.60962567 68.39037433] ; [21.39037433 18.60962567],0
n3,1,0.653368,0.201681,[22 10] ; [12  4],[22.66666667  9.33333333] ; [11.33333333  4.66666667],0
a6,1,0.662662,0.190307,[90 57] ; [26 14],[91.18716578 55.81283422] ; [24.81283422 15.18716578],0
p1,1,0.666393,0.18585,[ 19 130] ; [ 6 33],[ 19.81382979 129.18617021] ; [ 5.18617021 33.81382979],0
a2,1,0.679865,0.170278,[ 46 103] ; [11 29],[ 44.93650794 104.06349206] ; [12.06349206 27.93650794],0
s4,1,0.690865,0.158151,[ 43 104] ; [13 27],[ 44.02139037 102.97860963] ; [11.97860963 28.02139037],0
r4,1,0.693491,0.155332,[139  10] ; [38  2],[139.53968254   9.46031746] ; [37.46031746  2.53968254],0
r2,1,0.774258,0.08226,[142   5] ; [39  1],[142.28342246   4.71657754] ; [38.71657754  1.28342246],0
v4,1,0.774258,0.08226,[142   5] ; [39  1],[142.28342246   4.71657754] ; [38.71657754  1.28342246],0
v2,1,0.817232,0.05341,[92 54] ; [26 14],[92.62365591 53.37634409] ; [25.37634409 14.62365591],0
d4,1,0.821186,0.051085,[127  20] ; [34  6],[126.56149733  20.43850267] ; [34.43850267  5.56149733],0
s8,1,0.845251,0.038096,[108  39] ; [30 10],[108.48128342  38.51871658] ; [29.51871658 10.48128342],0
d2,1,0.87244,0.02578,[83 65] ; [23 17],[83.44680851 64.55319149] ; [22.55319149 17.44680851],0
u1,1,0.880368,0.022651,[ 39 110] ; [10 30],[ 38.62962963 110.37037037] ; [10.37037037 29.62962963],0
d5,1,0.909272,0.012986,[126  21] ; [34  6],[125.77540107  21.22459893] ; [34.22459893  5.77540107],0
a7,1,0.915397,0.011286,[103  46] ; [28 12],[103.27513228  45.72486772] ; [27.72486772 12.27513228],0
n1,1,0.929924,0.007734,[19 14] ; [9 7],[18.85714286 14.14285714] ; [9.14285714 6.85714286],0
u4,1,0.948507,0.004171,[  4 145] ; [ 1 39],[  3.94179894 145.05820106] ; [ 1.05820106 38.94179894],0
