Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,24.635061,[14 72] ; [73 77],[31.70338983 54.29661017] ; [55.29661017 94.70338983],1
a3,1,2e-06,22.670128,[37 48] ; [112  38],[53.89361702 31.10638298] ; [95.10638298 54.89361702],1
d1,1,2.5e-05,17.759119,[30 56] ; [95 55],[45.55084746 40.44915254] ; [79.44915254 70.55084746],1
r1,1,7e-05,15.803062,[53 33] ; [126  23],[65.50638298 20.49361702] ; [113.49361702  35.50638298],1
a6,1,7.6e-05,15.643537,[39 47] ; [107  43],[53.20338983 32.79661017] ; [92.79661017 57.20338983],1
p3,1,0.000149,14.381704,[20 66] ; [72 77],[33.66808511 52.33191489] ; [58.33191489 90.66808511],1
d2,1,0.000167,14.165573,[22 64] ; [76 74],[35.71186441 50.28813559] ; [62.28813559 87.71186441],1
d5,1,0.000215,13.696288,[54 31] ; [127  23],[65.46808511 19.53191489] ; [115.53191489  34.46808511],1
u1,1,0.000251,13.402618,[ 1 85] ; [ 25 125],[ 9.47457627 76.52542373] ; [ 16.52542373 133.47457627],1
p4,1,0.000677,11.5527,[24 62] ; [75 73],[36.38461538 49.61538462] ; [62.61538462 85.38461538],1
n4,1,0.001392,10.21668,[22 64] ; [70 80],[33.52542373 52.47457627] ; [58.47457627 91.52542373],0
s6,1,0.001439,10.155711,[34 50] ; [92 56],[45.62068966 38.37931034] ; [80.37931034 67.62068966],0
r4,1,0.015326,5.878589,[70 16] ; [138  12],[75.79661017 10.20338983] ; [132.20338983  17.79661017],0
d4,1,0.015551,5.852912,[63 23] ; [129  21],[69.96610169 16.03389831] ; [122.03389831  27.96610169],0
p10,1,0.017484,5.647101,[45 37] ; [105  44],[53.24675325 28.75324675] ; [96.75324675 52.24675325],0
v2,1,0.020723,5.349954,[34 47] ; [83 60],[42.30803571 38.69196429] ; [74.69196429 68.30803571],0
s2,1,0.023999,5.094739,[28 58] ; [71 78],[36.22978723 49.77021277] ; [62.77021277 86.22978723],0
s7,1,0.024021,5.093118,[21 62] ; [57 85],[28.77333333 54.22666667] ; [49.22666667 92.77333333],0
r3,1,0.025538,4.987014,[78  8] ; [146   4],[81.62711864  4.37288136] ; [142.37288136   7.62711864],0
s8,1,0.049405,3.861529,[20 66] ; [53 96],[26.71489362 59.28510638] ; [ 46.28510638 102.71489362],0
p2,1,0.075231,3.165032,[57 28] ; [115  33],[62.74678112 22.25321888] ; [109.25321888  38.74678112],0
d3,1,0.079349,3.078177,[53 32] ; [110  40],[58.95744681 26.04255319] ; [104.04255319  45.95744681],0
v1,1,0.080591,3.052943,[25 57] ; [62 85],[31.15283843 50.84716157] ; [55.84716157 91.15283843],0
p5,1,0.10685,2.600208,[ 1 84] ; [  8 140],[ 3.2832618 81.7167382] ; [  5.7167382 142.2832618],0
v3,1,0.110788,2.542938,[18 62] ; [46 95],[23.16742081 56.83257919] ; [ 40.83257919 100.16742081],0
p6,1,0.118961,2.430941,[17 66] ; [ 44 103],[22.01304348 60.98695652] ; [ 38.98695652 108.01304348],0
b1,1,0.137299,2.207975,[25 61] ; [58 92],[30.24576271 55.75423729] ; [52.75423729 97.24576271],0
p12,1,0.15161,2.055975,[ 1 84] ; [  7 141],[ 2.91845494 82.08154506] ; [  5.08154506 142.91845494],0
p7,1,0.170904,1.875,[39 45] ; [82 65],[44. 40.] ; [77. 70.],0
u2,1,0.199503,1.646011,[30 17] ; [19 19],[27.09411765 19.90588235] ; [21.90588235 16.09411765],0
s3,1,0.211637,1.560195,[37 48] ; [77 71],[41.58798283 43.41201717] ; [72.41201717 75.58798283],0
s5,1,0.22974,1.44247,[19 62] ; [44 98],[22.88340807 58.11659193] ; [ 40.11659193 101.88340807],0
p9,1,0.229902,1.441468,[55 27] ; [111  38],[58.92640693 23.07359307] ; [107.07359307  41.92640693],0
p8,1,0.23381,1.417531,[30 55] ; [64 84],[34.29184549 50.70815451] ; [59.70815451 88.29184549],0
b2,1,0.252666,1.3085,[10 32] ; [29 57],[12.796875 29.203125] ; [26.203125 59.796875],0
b3,1,0.252666,1.3085,[10 32] ; [29 57],[12.796875 29.203125] ; [26.203125 59.796875],0
b5,1,0.379723,0.771597,[56 30] ; [89 61],[52.83898305 33.16101695] ; [92.16101695 57.83898305],0
v4,1,0.389302,0.74112,[78  7] ; [141   8],[79.55128205  5.44871795] ; [139.44871795   9.55128205],0
n1,1,0.422833,0.642427,[ 9 17] ; [11 32],[ 7.53623188 18.46376812] ; [12.46376812 30.53623188],0
s1,1,0.52465,0.404742,[ 5 81] ; [  6 144],[ 4.00847458 81.99152542] ; [  6.99152542 143.00847458],0
n3,1,0.577428,0.310411,[20  6] ; [29 12],[19.01492537  6.98507463] ; [29.98507463 11.01492537],0
a8,1,0.675513,0.175221,[ 6 76] ; [  8 128],[ 5.26605505 76.73394495] ; [  8.73394495 127.26605505],0
s4,1,0.68626,0.163164,[17 69] ; [ 33 117],[18.22033898 67.77966102] ; [ 31.77966102 118.22033898],0
a7,1,0.710118,0.138159,[61 24] ; [111  39],[62.21276596 22.78723404] ; [109.78723404  40.21276596],0
p1,1,0.761906,0.091796,[ 6 79] ; [ 12 135],[ 6.59482759 78.40517241] ; [ 11.40517241 135.59482759],0
n6,1,0.814125,0.055276,[55 31] ; [93 56],[54.16170213 31.83829787] ; [93.83829787 55.16170213],0
