Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,46.884214,[ 25 482] ; [19 47],[ 38.93193717 468.06806283] ; [ 5.06806283 60.93193717],1
p12,1,0.0,40.204297,[ 30 479] ; [19 46],[ 43.45121951 465.54878049] ; [ 5.54878049 59.45121951],1
s5,1,0.0,29.892729,[144 352] ; [37 20],[162.34358047 333.65641953] ; [18.65641953 38.34358047],1
p8,1,0.0,27.910523,[246 258] ; [55 11],[266.14736842 237.85263158] ; [34.85263158 31.14736842],1
p3,1,0.0,25.429261,[226 284] ; [51 15],[245.26041667 264.73958333] ; [31.73958333 34.26041667],1
p4,1,6e-06,20.496721,[290 219] ; [56  9],[306.81881533 202.18118467] ; [39.18118467 25.81881533],1
p6,1,2e-05,18.181795,[170 335] ; [39 25],[185.49209139 319.50790861] ; [23.50790861 40.49209139],1
s7,1,0.000117,14.839783,[217 272] ; [43 18],[231.16363636 257.83636364] ; [28.83636364 32.16363636],1
s8,1,0.000342,12.823694,[202 306] ; [41 24],[215.43455497 292.56544503] ; [27.56544503 37.43455497],1
a1,1,0.000668,11.574847,[ 20 491] ; [ 9 57],[ 25.68284229 485.31715771] ; [ 3.31715771 62.68284229],1
p10,1,0.001829,9.713565,[400 106] ; [61  3],[409.23859649  96.76140351] ; [51.76140351 12.23859649],0
v1,1,0.004135,8.223428,[253 246] ; [44 19],[263.70640569 235.29359431] ; [33.29359431 29.70640569],0
p7,1,0.005088,7.847744,[296 201] ; [49 14],[306.1875 190.8125] ; [38.8125 24.1875],0
s6,1,0.005266,7.785915,[333 172] ; [51 10],[342.61484099 162.38515901] ; [41.38515901 19.61484099],0
v3,1,0.00688,7.304035,[182 309] ; [34 28],[191.78300181 299.21699819] ; [24.21699819 37.78300181],0
n5,1,0.009814,6.668358,[352 154] ; [56 10],[360.92307692 145.07692308] ; [47.07692308 18.92307692],0
b5,1,0.009981,6.638202,[345 166] ; [34 32],[335.64818024 175.35181976] ; [43.35181976 22.64818024],0
p9,1,0.017178,5.678073,[413  88] ; [62  4],[419.70899471  81.29100529] ; [55.29100529 10.70899471],0
a6,1,0.019528,5.4536,[411  99] ; [45 21],[403.75 106.25] ; [52.25 13.75],0
n4,1,0.027325,4.870165,[377 133] ; [57  9],[384.27083333 125.72916667] ; [49.72916667 16.27083333],0
s1,1,0.029711,4.725911,[ 13 489] ; [ 5 61],[ 15.9084507 486.0915493] ; [ 2.0915493 63.9084507],0
n6,1,0.03724,4.339402,[416  91] ; [60  5],[421.90909091  85.09090909] ; [54.09090909 10.90909091],0
